ensemble_size,calibration_batches,edge_per_t,evidences_per_t,T,real_epsilon,mu,rho,estimated_epsilon,time_calibration,distance_epsilon
1,400,64,8,256,0.3321909848051983,0.17859210774627104,16,0.3743,37.40035963058472,0.0421090151948017
1,400,64,16,16,0.49381330088454123,0.1279604533183446,16,0.4585,5.853006601333618,0.03531330088454121
1,400,64,16,32,0.1651040168093481,0.017779012779955583,16,0.183,7.974817991256714,0.017895983190651887
1,400,64,16,64,0.0539934412796691,0.4011802613349442,16,0.08310000000000001,12.11032772064209,0.02910655872033091
1,400,64,16,128,0.17638466301393946,0.4639537549798257,16,0.2416,20.446168899536133,0.06521533698606055
1,400,64,16,256,0.4995157991777963,0.11613809907551775,16,0.40890000000000004,36.9663519859314,0.09061579917779627
1,400,1,2,16,0.43965712337111756,0.14255439976569784,16,0.4566,5.488432168960571,0.01694287662888244
1,400,1,2,32,0.18666308425247496,0.1764104999834989,16,0.2676,7.265290021896362,0.08093691574752504
1,400,1,2,64,0.4792229827224065,0.08321170704966602,16,0.49350000000000005,10.811209917068481,0.014277017277593562
1,400,1,2,128,0.42619344214226496,0.11909380680660092,16,0.4605,17.90330171585083,0.034306557857735065
1,400,1,2,256,0.41605576878603573,0.31282371184174057,16,0.46480000000000005,32.345582246780396,0.04874423121396432
1,400,1,4,16,0.21549950084055364,0.2846711129192476,16,0.1366,5.482173442840576,0.07889950084055364
1,400,1,4,32,0.4984399237584051,0.09112274517057317,16,0.3658,7.256140947341919,0.1326399237584051
1,400,1,4,64,0.08950888413495645,0.15571620130340347,16,0.047,10.80850863456726,0.042508884134956446
1,400,1,4,128,0.30359949434194805,0.20805782511276255,16,0.42650000000000005,17.93639326095581,0.122900505658052
1,400,1,4,256,0.2825599933381493,0.11894847643467632,16,0.2525,32.29802584648132,0.030059993338149293
1,400,1,8,16,0.3742794125110515,0.38369305160499545,16,0.45640000000000003,5.502767324447632,0.08212058748894852
1,400,1,8,32,0.16197130419564515,0.14874480717947114,16,0.268,7.293282985687256,0.10602869580435487
1,400,1,8,64,0.21599020367777688,0.13362239578780388,16,0.2646,10.819752216339111,0.04860979632222312
1,400,1,8,128,0.3682031839056806,0.00788796739885278,16,0.3694,17.965362548828125,0.0011968160943194306
1,400,1,8,256,0.28000456779551847,0.05507954606379767,16,0.2998,32.32143568992615,0.019795432204481545
1,400,1,16,16,0.23138282110595082,0.003574590899318164,16,0.30060000000000003,5.48002028465271,0.06921717889404921
1,400,1,16,32,0.05789514571711463,0.1006556692299545,16,0.20470000000000002,7.281619310379028,0.1468048542828854
1,400,1,16,64,0.18208657666067218,0.3968061388973253,16,0.18580000000000002,10.824201822280884,0.003713423339327837
1,400,1,16,128,0.13619550636887984,0.293545013305608,16,0.2514,17.963332653045654,0.11520449363112018
1,400,1,16,256,0.25043911718529754,0.020364975566111443,16,0.32120000000000004,32.33674240112305,0.0707608828147025
1,400,4,2,16,0.19732691795833812,0.2362403064925349,16,0.1303,5.795528173446655,0.06702691795833812
1,400,4,2,32,0.3552485501237527,0.1010406865748576,16,0.2823,7.855239629745483,0.07294855012375273
1,400,4,2,64,0.2641546549410452,0.21361877590368505,16,0.1733,12.018689393997192,0.09085465494104517
1,400,4,2,128,0.3345248857312643,0.007169728635014194,16,0.4425,20.363512992858887,0.10797511426873568
1,400,4,2,256,0.105944695339876,0.3580644059207426,16,0.0439,37.0306601524353,0.06204469533987599
1,400,4,4,16,0.19049638025601717,0.08857822662543308,16,0.23040000000000002,5.777052640914917,0.03990361974398285
1,400,4,4,32,0.0522193238306875,0.3950092308565504,16,0.2651,7.87175178527832,0.2128806761693125
1,400,4,4,64,0.0015611753411666762,0.31048094134355264,16,0.12660000000000002,12.030137062072754,0.12503882465883334
1,400,4,4,128,0.47184780280585914,0.2934260121887712,16,0.4883,20.35952115058899,0.016452197194140872
1,400,4,4,256,0.12924413969356563,0.3217047572073921,16,0.1034,37.18319654464722,0.025844139693565624
1,400,4,8,16,0.26138252547947444,0.3800502256630483,16,0.3946,5.800207138061523,0.13321747452052557
1,400,4,8,32,0.21019240950666762,0.030552388295250033,16,0.35710000000000003,7.824952840805054,0.1469075904933324
1,400,4,8,64,0.33930022266118187,0.2883191248703714,16,0.22460000000000002,11.963540077209473,0.11470022266118185
1,400,4,8,128,0.12141300073344408,0.2295960579777106,16,0.023700000000000002,20.296981811523438,0.09771300073344408
1,400,4,8,256,0.33355623338622403,0.46869027349033393,16,0.34400000000000003,36.92646527290344,0.010443766613775995
1,400,4,16,16,0.3766108907761419,0.41556967642290665,16,0.3917,5.777291774749756,0.015089109223858088
1,400,4,16,32,0.2959980572900162,0.2489172009672586,16,0.36010000000000003,7.857071399688721,0.06410194270998382
1,400,4,16,64,0.32483021708572307,0.49014525966018035,16,0.1864,11.995319843292236,0.13843021708572306
