,epsilon,distance_epsilon,sum_ab,evidences_per_t,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
1137,0.22410000000000002,0.014100000000000001,0.1,5,15.507667541503906,0.21000000000000002,0.37,50,100,4,1,400
1138,0.161,0.151,10.0,40,3.88569712638855,0.01,0.41000000000000003,50,100,16,1,100
1139,0.3796,0.009599999999999997,10.0,20,5.063324928283691,0.37,0.41000000000000003,25,100,64,1,200
1140,0.4728,0.06279999999999997,1.0,20,15.557470321655273,0.41000000000000003,0.13,50,100,64,1,400
1141,0.49260000000000004,0.0826,10.0,40,4.878916025161743,0.41000000000000003,0.29000000000000004,25,100,1,1,200
1142,0.37010000000000004,0.07989999999999997,1.0,5,15.78231167793274,0.45,0.01,50,100,16,1,400
1143,0.3437,0.05369999999999997,1.0,10,6.556297540664673,0.29000000000000004,0.21000000000000002,100,100,64,1,100
1144,0.3733,0.003300000000000025,1.0,40,6.6682305335998535,0.37,0.33,100,100,16,1,100
1145,0.039900000000000005,0.05009999999999999,0.1,10,7.093413829803467,0.09,0.01,50,100,1,1,200
1146,0.47690000000000005,0.026900000000000035,0.1,40,7.677888870239258,0.45,0.37,50,100,64,1,200
1147,0.3069,0.02310000000000001,0.1,20,2.4349727630615234,0.33,0.09,25,100,16,1,100
1148,0.3856,0.015600000000000003,1.0,40,2.4825971126556396,0.37,0.29000000000000004,25,100,64,1,100
1149,0.08120000000000001,0.008799999999999988,1.0,5,5.9019775390625,0.09,0.09,100,100,1,1,100
1150,0.09330000000000001,0.08330000000000001,1.0,10,9.47119426727295,0.01,0.17,25,100,1,1,400
1151,0.2409,0.19090000000000001,10.0,20,10.074304819107056,0.05,0.25,25,100,16,1,400
1152,0.055,0.045,1.0,5,7.755284786224365,0.01,0.05,50,100,16,1,200
1153,0.3074,0.09739999999999999,0.1,40,6.54063081741333,0.21000000000000002,0.09,100,100,4,1,100
1154,0.0494,0.0006000000000000033,1.0,20,9.494489431381226,0.05,0.41000000000000003,25,100,1,1,400
1155,0.0267,0.0167,0.1,5,13.408161640167236,0.01,0.45,100,100,4,1,200
1156,0.4359,0.2259,0.1,5,5.1322619915008545,0.21000000000000002,0.41000000000000003,25,100,4,1,200
1157,0.3788,0.00880000000000003,10.0,5,6.584140777587891,0.37,0.09,100,100,16,1,100
1158,0.0468,0.043199999999999995,1.0,20,7.724075078964233,0.09,0.01,50,100,16,1,200
1159,0.30960000000000004,0.17960000000000004,1.0,20,6.475361347198486,0.13,0.25,100,100,64,1,100
1160,0.188,0.178,1.0,5,7.618650436401367,0.01,0.09,50,100,64,1,200
1161,0.3678,0.0021999999999999797,10.0,5,15.649070024490356,0.37,0.13,50,100,64,1,400
1162,0.0533,0.0433,0.1,20,3.8748679161071777,0.01,0.29000000000000004,50,100,16,1,100
1163,0.25730000000000003,0.12730000000000002,1.0,5,2.6068942546844482,0.13,0.21000000000000002,25,100,4,1,100
1164,0.12660000000000002,0.03660000000000002,1.0,10,11.912079334259033,0.09,0.13,100,100,1,1,200
1165,0.2992,0.07079999999999997,10.0,40,26.42469835281372,0.37,0.13,100,100,64,1,400
1166,0.1222,0.04780000000000001,1.0,10,6.5248706340789795,0.17,0.37,100,100,4,1,100
1167,0.0324,0.017600000000000005,1.0,5,26.446311950683594,0.05,0.41000000000000003,100,100,64,1,400
1168,0.2404,0.009599999999999997,10.0,10,7.663293361663818,0.25,0.45,50,100,64,1,200
1169,0.021500000000000002,0.011500000000000002,1.0,40,26.318687915802002,0.01,0.45,100,100,16,1,400
1170,0.10650000000000001,0.18350000000000002,0.1,20,13.211137056350708,0.29000000000000004,0.33,100,100,64,1,200
1171,0.366,0.0040000000000000036,10.0,20,26.309640884399414,0.37,0.37,100,100,64,1,400
1172,0.3665,0.11649999999999999,1.0,10,2.4719996452331543,0.25,0.09,25,100,16,1,100
1173,0.49760000000000004,0.04760000000000003,0.1,5,10.062169075012207,0.45,0.21000000000000002,25,100,64,1,400
1174,0.1106,0.09940000000000002,1.0,20,6.542744159698486,0.21000000000000002,0.41000000000000003,100,100,4,1,100
1175,0.1821,0.06789999999999999,1.0,5,6.545454978942871,0.25,0.29000000000000004,100,100,4,1,100
1176,0.031200000000000002,0.0188,0.1,20,7.17002534866333,0.05,0.33,50,100,1,1,200
1177,0.055600000000000004,0.0456,0.1,5,10.01981258392334,0.01,0.29000000000000004,25,100,4,1,400
1178,0.0585,0.07150000000000001,0.1,40,6.5049073696136475,0.13,0.13,100,100,16,1,100
1179,0.1468,0.0632,10.0,40,13.344690561294556,0.21000000000000002,0.05,100,100,16,1,200
1180,0.059800000000000006,0.03019999999999999,0.1,20,15.61539340019226,0.09,0.41000000000000003,50,100,64,1,400
1181,0.059000000000000004,0.271,10.0,5,7.806563854217529,0.33,0.01,50,100,64,1,200
1182,0.2528,0.03720000000000001,0.1,40,7.7913079261779785,0.29000000000000004,0.01,50,100,64,1,200
1183,0.0177,0.15230000000000002,1.0,5,13.37229585647583,0.17,0.17,100,100,64,1,200
1184,0.08700000000000001,0.002999999999999989,0.1,5,3.5493345260620117,0.09,0.45,50,100,1,1,100
1185,0.41400000000000003,0.0040000000000000036,1.0,5,14.958300590515137,0.41000000000000003,0.25,50,100,1,1,400
1186,0.459,0.009000000000000008,0.1,5,7.039672374725342,0.45,0.17,50,100,1,1,200
1187,0.21880000000000002,0.08880000000000002,10.0,20,5.055173397064209,0.13,0.37,25,100,4,1,200
1188,0.005,0.005,10.0,40,6.638587474822998,0.01,0.01,100,100,16,1,100
1189,0.4743,0.18429999999999996,1.0,40,10.13042163848877,0.29000000000000004,0.21000000000000002,25,100,16,1,400
1190,0.0181,0.0319,1.0,5,15.48307752609253,0.05,0.37,50,100,64,1,400
1191,0.28750000000000003,0.07750000000000001,1.0,40,2.4848549365997314,0.21000000000000002,0.17,25,100,4,1,100
1192,0.3945,0.024500000000000022,10.0,40,13.179605484008789,0.37,0.17,100,100,64,1,200
1193,0.4955,0.16549999999999998,0.1,40,10.302552461624146,0.33,0.25,25,100,4,1,400
1194,0.0584,0.1116,1.0,40,13.022234439849854,0.17,0.33,100,100,4,1,200
1195,0.2296,0.0996,1.0,5,26.19974112510681,0.13,0.29000000000000004,100,100,16,1,400
1196,0.4792,0.10920000000000002,0.1,10,7.043020486831665,0.37,0.33,50,100,1,1,200
1197,0.21980000000000002,0.12980000000000003,0.1,10,7.095970392227173,0.09,0.29000000000000004,50,100,1,1,200
1198,0.0172,0.0728,0.1,40,10.003887414932251,0.09,0.13,25,100,16,1,400
1199,0.2442,0.07419999999999999,10.0,10,5.034543752670288,0.17,0.45,25,100,64,1,200
1200,0.20520000000000002,0.08480000000000001,1.0,10,4.978633165359497,0.29000000000000004,0.13,25,100,4,1,200
1201,0.2393,0.029299999999999993,1.0,5,16.23647379875183,0.21000000000000002,0.33,50,100,4,1,400
1202,0.0954,0.0854,10.0,40,2.493820905685425,0.01,0.09,25,100,64,1,100
1203,0.4429,0.032899999999999985,1.0,5,26.16271948814392,0.41000000000000003,0.05,100,100,4,1,400
1204,0.0239,0.06609999999999999,10.0,5,9.423717021942139,0.09,0.29000000000000004,25,100,1,1,400
1205,0.3301,0.1199,0.1,20,12.956417083740234,0.45,0.13,100,100,4,1,200
1206,0.42650000000000005,0.05650000000000005,0.1,10,6.473947048187256,0.37,0.25,100,100,4,1,100
1207,0.0453,0.004700000000000003,1.0,40,13.05387568473816,0.05,0.29000000000000004,100,100,4,1,200
1208,0.0089,0.0011000000000000003,1.0,20,13.089437246322632,0.01,0.37,100,100,16,1,200
1209,0.39580000000000004,0.025800000000000045,1.0,5,15.436601400375366,0.37,0.41000000000000003,50,100,64,1,400
1210,0.3306,0.0806,1.0,5,7.680041551589966,0.25,0.41000000000000003,50,100,16,1,200
1211,0.19340000000000002,0.1834,10.0,20,10.130314111709595,0.01,0.13,25,100,64,1,400
1212,0.2005,0.07050000000000001,10.0,40,26.242117643356323,0.13,0.17,100,100,64,1,400
1213,0.1297,0.0002999999999999947,0.1,20,6.5765416622161865,0.13,0.01,100,100,64,1,100
1214,0.49870000000000003,0.04870000000000002,1.0,20,9.867268323898315,0.45,0.33,25,100,16,1,400
1215,0.1647,0.04530000000000001,1.0,5,10.054699897766113,0.21000000000000002,0.05,25,100,64,1,400
1216,0.3285,0.1185,1.0,40,3.783299446105957,0.21000000000000002,0.45,50,100,16,1,100
1217,0.0901,0.0801,10.0,20,9.891390800476074,0.01,0.29000000000000004,25,100,64,1,400
1218,0.4975,0.1275,10.0,5,13.984860897064209,0.37,0.37,50,100,1,1,400
1219,0.2139,0.07610000000000003,10.0,40,4.98078179359436,0.29000000000000004,0.33,25,100,16,1,200
1220,0.2257,0.015699999999999992,1.0,5,4.939126968383789,0.21000000000000002,0.29000000000000004,25,100,16,1,200
1221,0.37060000000000004,0.0006000000000000449,1.0,5,26.139035940170288,0.37,0.25,100,100,64,1,400
1222,0.4645,0.014500000000000013,0.1,40,13.086782932281494,0.45,0.29000000000000004,100,100,4,1,200
1223,0.3527,0.022699999999999998,10.0,5,9.989552974700928,0.33,0.29000000000000004,25,100,4,1,400
1224,0.1338,0.043800000000000006,1.0,5,6.42515230178833,0.09,0.41000000000000003,100,100,16,1,100
1225,0.1442,0.0542,1.0,5,15.265310287475586,0.09,0.21000000000000002,50,100,16,1,400
1226,0.2994,0.009399999999999964,10.0,20,7.08189845085144,0.29000000000000004,0.25,50,100,1,1,200
1227,0.3755,0.005500000000000005,0.1,20,26.082346439361572,0.37,0.17,100,100,4,1,400
1228,0.11280000000000001,0.022800000000000015,1.0,5,23.77355170249939,0.09,0.41000000000000003,100,100,1,1,400
1229,0.3023,0.027700000000000002,10.0,40,15.273979663848877,0.33,0.37,50,100,4,1,400
1230,0.11910000000000001,0.029100000000000015,1.0,40,13.180233716964722,0.09,0.37,100,100,64,1,200
1231,0.0207,0.10930000000000001,10.0,10,5.012966871261597,0.13,0.17,25,100,64,1,200
1232,0.1758,0.03420000000000001,0.1,40,2.518263816833496,0.21000000000000002,0.17,25,100,4,1,100
1233,0.49860000000000004,0.24860000000000004,1.0,10,15.47776484489441,0.25,0.33,50,100,16,1,400
1234,0.1245,0.005500000000000005,10.0,20,15.436235427856445,0.13,0.25,50,100,16,1,400
1235,0.2995,0.12949999999999998,10.0,5,2.35078501701355,0.17,0.09,25,100,1,1,100
1236,0.0459,0.0040999999999999995,1.0,5,3.8906149864196777,0.05,0.01,50,100,4,1,100
1237,0.3062,0.05620000000000003,0.1,20,13.15687608718872,0.25,0.33,100,100,4,1,200
