N,T,edge_per_t,tot_edges,epsilon,epsilon0,mu,epsilon_estimated,time,distance_epsilon,method
2154,10000,2,20000,0.2995551538229392,0.25,0.003094900627115,0.3147,102.08613514900208,0.0151448461770608,msm_20_batches
10000,100,2,200,0.0077666377754178,0.25,0.7168786636316892,0.0192,0.4890673160552978,0.0114333622245821,msm_20_batches
10000,464,2,928,0.2967407040983186,0.25,0.8910189542923389,0.2891,1.1847734451293943,0.0076407040983185,msm_20_batches
10000,2154,2,4308,0.2168381744947291,0.25,0.0126681631928824,0.2084,7.735776662826538,0.0084381744947291,msm_20_batches
10000,10000,2,20000,0.4036802644424207,0.25,0.052205124725251,0.4051,127.8524820804596,0.0014197355575792,msm_20_batches
100,100,4,400,0.1576224015476864,0.25,0.3259898117700253,0.1269,0.5693738460540771,0.0307224015476864,msm_20_batches
100,464,4,1856,0.4464443542625756,0.25,0.8594893208655858,0.4291,2.011535167694092,0.0173443542625756,msm_20_batches
100,2154,4,8616,0.2889286076422677,0.25,0.1296463674379103,0.2766,12.647693157196043,0.0123286076422677,msm_20_batches
100,10000,4,40000,0.0920051008137325,0.25,0.0345113934081373,0.0957,186.4261448383332,0.0036948991862674,msm_20_batches
464,100,4,400,0.3939646169127521,0.25,0.4528534999515374,0.3775,0.787480354309082,0.0164646169127521,msm_20_batches
464,464,4,1856,0.3060155885224669,0.25,0.6283090375213571,0.3082,2.300888776779175,0.002184411477533,msm_20_batches
464,2154,4,8616,0.0269546360368764,0.25,0.067339102063005,0.0396,16.556068181991577,0.0126453639631235,msm_20_batches
464,10000,4,40000,0.2100968400005661,0.25,0.0004674288983257,0.2318,343.8845205307007,0.0217031599994338,msm_20_batches
2154,100,4,400,0.3395344182827148,0.25,0.5767559349870908,0.3163,1.4464890956878662,0.0232344182827147,msm_20_batches
2154,464,4,1856,0.4593008889887629,0.25,0.3114442141324628,0.438,4.056251764297485,0.0213008889887629,msm_20_batches
2154,2154,4,8616,0.0002010124456787,0.25,0.120071401694784,0.0029,28.63620901107788,0.0026989875543212,msm_20_batches
2154,10000,4,40000,0.4883795745155298,0.25,0.0458202926526948,0.4874,444.76964235305786,0.0009795745155298,msm_20_batches
10000,100,4,400,0.1882901573728872,0.25,0.426474788501396,0.2047,1.1402413845062256,0.0164098426271127,msm_20_batches
10000,464,4,1856,0.4868917691791612,0.25,0.2473960366023854,0.4505,4.8459649085998535,0.0363917691791612,msm_20_batches
10000,2154,4,8616,0.3023580504870265,0.25,0.0861870383656115,0.3127,26.422425985336304,0.0103419495129735,msm_20_batches
10000,10000,4,40000,0.4144229039903465,0.25,0.046593055831827,0.3679,396.1783332824707,0.0465229039903464,msm_20_batches
100,100,1,100,0.2873557523540511,0.25,0.9368683813090936,0.2919,0.6657290458679199,0.0045442476459488,msm_20_batches
100,464,1,464,0.3140380991536752,0.25,0.8443299485657132,0.2694,1.3587491512298584,0.0446380991536751,msm_20_batches
100,2154,1,2154,0.1427881408478469,0.25,0.8544164478232688,0.1329,9.93563151359558,0.0098881408478469,msm_20_batches
100,10000,1,10000,0.2934166703280415,0.25,0.0455800579902633,0.3062,147.0947117805481,0.0127833296719585,msm_20_batches
464,100,1,100,0.3750108818513299,0.25,0.0874822095535908,0.3974,1.4273653030395508,0.02238911814867,msm_20_batches
464,464,1,464,0.4291569182145212,0.25,0.2273097362846887,0.4332,2.350850820541382,0.0040430817854788,msm_20_batches
464,2154,1,2154,0.3775410942338401,0.25,0.2919002935135101,0.382,8.229816675186157,0.0044589057661599,msm_20_batches
464,10000,1,10000,0.3490286242236515,0.25,0.0349531752712623,0.3458,144.91391944885254,0.0032286242236514,msm_20_batches
2154,100,1,100,0.4322397150272999,0.25,0.6070941619724605,0.4425,1.114661455154419,0.0102602849727,msm_20_batches
2154,464,1,464,0.1613404984183732,0.25,0.4135864150011613,0.1315,2.307366132736206,0.0298404984183732,msm_20_batches
2154,2154,1,2154,0.3353943953937936,0.25,0.7579865476575804,0.3482,11.939740896224976,0.0128056046062063,msm_20_batches
2154,10000,1,10000,0.2254369682066745,0.25,0.0370260796538061,0.2376,203.87621355056763,0.0121630317933254,msm_20_batches
10000,100,1,100,0.1910513760157586,0.25,0.7018765297563104,0.1955,1.031322956085205,0.0044486239842413,msm_20_batches
10000,464,1,464,0.2054056749610928,0.25,0.2403556248491388,0.2279,2.461409091949463,0.0224943250389072,msm_20_batches
10000,2154,1,2154,0.2007397917347703,0.25,0.5331653563981984,0.2058,13.03387212753296,0.0050602082652297,msm_20_batches
10000,10000,1,10000,0.1586919729791384,0.25,0.0697975194441577,0.1809,206.6153004169464,0.0222080270208615,msm_20_batches
100,100,2,200,0.3109596839601507,0.25,0.0569643994828327,0.3017,1.0290324687957764,0.0092596839601507,msm_20_batches
100,464,2,928,0.2151236354106321,0.25,0.2288136709603758,0.2163,3.024689197540283,0.0011763645893678,msm_20_batches
100,2154,2,4308,0.4869010389636261,0.25,0.3083113070356515,0.4586,16.857616662979126,0.0283010389636261,msm_20_batches
100,10000,2,20000,0.3389004457171555,0.25,0.0497250093360531,0.3455,364.8819711208344,0.0065995542828444,msm_20_batches
464,100,2,200,0.0992849442135554,0.25,0.5190159840736788,0.0908,1.5150909423828125,0.0084849442135554,msm_20_batches
464,464,2,928,0.2133505046740164,0.25,0.1747201501089225,0.2196,4.277750730514526,0.0062494953259836,msm_20_batches
464,2154,2,4308,0.1716731198872115,0.25,0.2649562913399519,0.1786,21.82882595062256,0.0069268801127884,msm_20_batches
464,10000,2,20000,0.3988194019792833,0.25,0.099675342520821,0.398,408.3708596229553,0.0008194019792832,msm_20_batches
2154,100,2,200,0.4399991442817159,0.25,0.8168351087916219,0.4473,1.301138162612915,0.0073008557182841,msm_20_batches
2154,464,2,928,0.451920977913186,0.25,0.5943726238309778,0.434,3.1703081130981445,0.0179209779131859,msm_20_batches
2154,2154,2,4308,0.3313599061876311,0.25,0.4531054170524164,0.3332,16.05397868156433,0.0018400938123688,msm_20_batches
2154,10000,2,20000,0.1351041310148789,0.25,0.0901562584669321,0.1478,295.29606223106384,0.0126958689851211,msm_20_batches
10000,100,2,200,0.1261833507522948,0.25,0.5956079336026455,0.1329,0.917565107345581,0.0067166492477051,msm_20_batches
10000,464,2,928,0.4274489713487012,0.25,0.0324263253144571,0.4049,1.8783185482025144,0.0225489713487011,msm_20_batches
10000,2154,2,4308,0.2638573231543733,0.25,0.0434434056719966,0.2656,17.12141752243042,0.0017426768456266,msm_20_batches
10000,10000,2,20000,0.401080542002299,0.25,0.0065371715042226,0.4044,312.0156271457672,0.003319457997701,msm_20_batches
100,100,4,400,0.2862442585958031,0.25,0.4517331486914753,0.274,1.2281091213226318,0.0122442585958031,msm_20_batches
100,464,4,1856,0.3665712626437555,0.25,0.3754348331678577,0.373,3.8177552223205566,0.0064287373562444,msm_20_batches
100,2154,4,8616,0.2595058137320279,0.25,0.2264043719290358,0.2622,24.261926651000977,0.002694186267972,msm_20_batches
100,10000,4,40000,0.385441955250944,0.25,0.0083991646599807,0.3876,454.8744575977325,0.002158044749056,msm_20_batches
464,100,4,400,0.2844289953523577,0.25,0.9727875919326552,0.3468,1.105898141860962,0.0623710046476422,msm_20_batches
464,464,4,1856,0.2328549392959904,0.25,0.7674748688630131,0.2484,4.270381450653076,0.0155450607040095,msm_20_batches
464,2154,4,8616,0.1713444539766409,0.25,0.191327260822771,0.1836,24.72867512702942,0.0122555460233591,msm_20_batches
464,10000,4,40000,0.034104674208352,0.25,0.0316307908388998,0.0448,417.8922300338745,0.0106953257916479,msm_20_batches
2154,100,4,400,0.1889620896640499,0.25,0.668732770206732,0.1842,1.1927242279052734,0.0047620896640499,msm_20_batches
2154,464,4,1856,0.0398130388491261,0.25,0.4768823335211933,0.0478,4.348608016967773,0.0079869611508738,msm_20_batches
