real_X0_low,real_X0_median,real_X0_high,estimated_X0_low,estimated_X0_median,estimated_X0_high
0.69542044,0.82164884,0.1098392,0.42685407,0.8091425,0.021128362
0.79068357,0.63596445,0.61777467,0.78451455,0.79508984,0.49550837
0.45031,0.17259991,0.915795,0.33725962,0.3964648,0.947241
0.6012192,0.08820987,0.06290728,0.41746843,0.20915748,0.034113787
0.11989969,0.747482,0.76260626,0.3509277,0.8551008,0.9343805
0.6235801,0.43616068,0.23282784,7.2953546e-05,0.15061633,0.13197494
0.41263258,0.0037285686,0.24281144,0.5421822,2.03108e-05,0.11475871
0.53727216,0.9002265,0.18881285,0.5754414,0.78211796,0.18694
0.8671679,0.31741738,0.028492332,0.9995665,0.35180894,7.101155e-05
0.38132054,0.9057158,0.19151294,0.36833477,0.8406315,0.16649814
0.65686405,0.04379928,0.3372236,0.8859801,0.030505318,0.24155758
0.32904786,0.18026567,0.3168611,0.48952088,0.18185726,0.2857286
0.78405875,0.29691356,0.25552386,0.6784689,0.34865305,0.15006103
0.73642766,0.058024824,0.6306304,0.79638076,0.048480317,0.75134784
0.7010791,0.64413667,0.94581056,0.59754574,0.7593506,0.93754625
0.22413826,0.4767986,0.29604727,0.38161132,0.63854766,0.24476701
0.75962955,0.9451937,0.52880716,0.5638597,0.9469726,0.4295551
0.37391633,0.32929063,0.36437845,0.29783636,0.25614223,0.2595937
0.2688182,0.67508054,0.94206303,0.4580983,0.57411903,0.9993199
0.12685734,0.5687432,0.41297108,0.15303838,0.055297285,0.44439593
0.86653095,0.59006363,0.66418386,0.9988865,0.6163256,0.80580795
0.39823693,0.7680054,0.10604489,0.30350026,0.92495906,0.103921495
0.28715515,0.38608015,0.19096547,0.27616242,0.42087525,0.017287819
