ensemble_size,calibration_batches,edge_per_t,evidences_per_t,T,real_epsilon,mu,rho,epsilon_msm,time_msm,abs_error_msm,rel_error_msm,epsilon_pgabm,time_pgabm,abs_error_pgabm,rel_error_pgabm,X0_r2
1,400,64,8,64,0.2263761039290902,0.1,16,0.22683000000000003,12.34989595413208,0.00045389607090984274,0.0020050529319650305,0.2506075056405114,4.580480337142944,0.024231401711421185,0.10704045741069651,0.9225310683250427
1,400,64,8,128,0.4088177968396221,0.1,16,0.44375000000000003,22.19141411781311,0.03493220316037793,0.08544687494140994,0.3899250273442788,12.751111030578613,0.018892769495343298,0.046213177707512744,0.1807488203048706
1,400,64,8,256,0.3629249904806729,0.1,16,0.34674000000000005,39.99490833282471,0.016184990480672845,0.04459596584747932,0.34010755534557874,20.874297857284546,0.022817435135094155,0.06287093954283446,0.6288551092147827
1,400,64,8,512,0.2520704908192425,0.1,16,0.28939000000000004,73.1429672241211,0.03731950918075755,0.1480518765186165,0.2339179820408883,209.7181167602539,0.0181525087783542,0.07201362094927327,0.3635094165802002
1,400,64,16,16,0.47339184047810434,0.1,16,0.49815000000000004,6.3150904178619385,0.024758159521895695,0.05229950625446158,0.3593588457137323,5.152236700057983,0.11403299476437206,0.24088500268446517,-1.4460492134094238
1,400,64,16,32,0.3349660480089743,0.1,16,0.36598,8.492396354675293,0.031013951991025746,0.092588344924423,0.2750521861329281,7.283425807952881,0.05991386187604619,0.17886547676151646,-0.07726824283599854
1,400,64,16,64,0.24798878673659558,0.1,16,0.31295,13.15308666229248,0.06496121326340443,0.2619522201719701,0.2537469903046271,12.402249097824097,0.005758203568031528,0.023219612643807466,0.8644562363624573
1,400,64,16,128,0.393523372200563,0.1,16,0.32108000000000003,21.787065505981445,0.07244337220056296,0.1840891223193765,0.31905925007996266,11.13985538482666,0.07446412212060033,0.18922414113347497,-1.3315141201019287
1,400,64,16,256,0.04764289597771232,0.1,16,0.09577000000000001,38.65155005455017,0.04812710402228769,1.0101632790080999,0.05036245058425256,20.93696641921997,0.0027195546065402407,0.057082059155523786,0.9448130130767822
1,400,64,16,512,0.31208726633583295,0.1,16,0.32283,73.42228198051453,0.010742733664167059,0.034422210781925804,0.3214945452332563,88.79184937477112,0.009407278897423377,0.03014310390767539,0.9352673888206482
1,400,1,4,16,0.0054903456702887765,0.1,16,0.024190000000000003,5.730021715164185,0.018699654329711227,3.4059156659124667,0.11518809298847844,1.123476505279541,0.10969774731818967,19.980116718665528,0.12633681297302246
1,400,1,4,32,0.04811556730515876,0.1,16,0.06635,7.416082382202148,0.01823443269484125,0.37897158271448306,0.049797390674758524,2.1283559799194336,0.0016818233695997664,0.03495383020080173,0.18148988485336304
