N,T,edge_per_t,evidences_per_t,optimizer_name,lr,model_name,minibatch_size,epsilon_estimated,time,num_epochs,real_epsilon,mu,rho,distance_epsilon,X0_r2
100,64,16,8,adam,0.001,BC_with_evidence,64,0.2768479325032217,12.291700601577759,522,0.2213241156053367,0.11508343479071909,16,0.05552381689788499,-0.7458528280258179
100,64,16,8,adam,0.001,BC_observed_positive,0,0.20609217251473816,3.327178955078125,589,0.2213241156053367,0.11508343479071909,16,0.015231943090598554,
100,64,16,8,adam,0.001,BC_observed_positive,16,0.20633900252069418,4.631601810455322,801,0.2213241156053367,0.11508343479071909,16,0.014985113084642537,
100,64,16,8,adam,0.001,BC_observed_positive,32,0.20604988767800986,4.66903829574585,801,0.2213241156053367,0.11508343479071909,16,0.015274227927326856,
100,64,16,8,adam,0.001,BC_observed_positive,64,0.2061400253196905,3.475846290588379,587,0.2213241156053367,0.11508343479071909,16,0.015184090285646212,
100,64,16,8,adam,0.005,simple_BC,0,0.20822817955593736,0.0401158332824707,117,0.2213241156053367,0.11508343479071909,16,0.013095936049399348,
100,64,16,8,adam,0.005,simple_BC,16,0.18357972667820202,0.3009965419769287,801,0.2213241156053367,0.11508343479071909,16,0.03774438892713469,
100,64,16,8,adam,0.005,simple_BC,32,0.18644513149864034,0.30104684829711914,801,0.2213241156053367,0.11508343479071909,16,0.034878984106696376,
100,64,16,8,adam,0.005,simple_BC,64,0.18861157081462293,0.07647013664245605,204,0.2213241156053367,0.11508343479071909,16,0.03271254479071378,
100,64,16,8,adam,0.005,BC_with_evidence,0,0.08921848900766842,18.826277256011963,801,0.2213241156053367,0.11508343479071909,16,0.13210562659766828,-8.021524429321289
100,64,16,8,adam,0.005,BC_with_evidence,16,0.22472678257819567,18.844712018966675,801,0.2213241156053367,0.11508343479071909,16,0.0034026669728589587,-1.0433192253112793
100,64,16,8,adam,0.005,BC_with_evidence,32,0.24729241678689393,18.830405473709106,801,0.2213241156053367,0.11508343479071909,16,0.025968301181557213,-0.7013689279556274
