,real_epsilon,epsilon0,epsilon_torch,epsilon_scipy,batch_size,mu,rho,steepness,N,T,edge_per_t,epochs,time,distance_torch_real,distance_scipy_real
1967,0.8542615144946418,0.7273878064157777,0.7516290380233225,0.8285981224313177,20,0.8737505153555947,10,10,500,1000,10,17,0.5392739772796631,0.10263247647131934,0.02566339206332413
1968,0.17529978711616478,0.36809136346819493,0.3097120793947306,0.1739038376184245,20,0.26060658269644643,10,10,1000,100,10,28,0.24441242218017578,0.13441229227856583,0.001395949497740273
1969,0.99325816518006,0.1930583700648978,0.3678827729602069,1.0,20,0.09108776887831771,10,10,1000,500,10,93,1.0133056640625,0.6253753922198532,0.006741834819939951
1970,0.4419098421687522,0.6407570929449434,0.603705426160795,0.4359961474313303,20,0.1038728994140804,10,10,1000,1000,10,18,1.8756771087646484,0.16179558399204286,0.005913694737421871
1971,0.20667746549288202,0.994545991041427,0.993874037433249,0.18627000802691152,20,0.13140975349658535,100,10,100,100,1,17,0.006567478179931641,0.787196571940367,0.020407457465970502
1972,0.6155289592827031,0.05199506824537892,0.2851456388053083,1.0,20,0.4445114285242445,100,10,100,500,1,210,0.08068108558654785,0.3303833204773948,0.3844710407172969
1973,0.25636606496536385,0.4521203492613497,0.3005947279707435,0.22087437355032677,20,0.3844171280430668,100,10,100,1000,1,82,0.056778669357299805,0.04422866300537964,0.03549169141503708
1974,0.41116305140246434,0.31123708950561413,0.35293854980897504,0.36231469490734736,20,0.35418561640005586,100,10,500,100,1,40,0.07689166069030762,0.0582245015934893,0.048848356495116985
1975,0.19124935174341573,0.46372068872530015,0.251209657860358,0.182521800568266,20,0.30571998933110933,100,10,500,500,1,116,0.3244762420654297,0.05996030611694225,0.008727551175149728
1976,0.7234950461330792,0.8158065210960788,0.7842532845915633,0.6697172780406321,20,0.022776185912441016,100,10,500,1000,1,27,0.5435960292816162,0.06075823845848405,0.053777768092447165
1977,0.35726798298107265,0.2862480125391592,0.30923999715420514,0.2975092214433129,20,0.2184006471130847,100,10,1000,100,1,62,0.25383448600769043,0.048027985826867514,0.059758761537759775
1978,0.04101116637235669,0.7835318279584498,0.1522383598326566,0.08116402693256253,20,0.9503283970943416,100,10,1000,500,1,316,1.07767653465271,0.11122719346029991,0.04015286056020584
1979,0.8033655600990157,0.689758128141259,0.7013128700801989,0.689758128141259,20,0.05908838398880256,100,10,1000,1000,1,20,1.8743302822113037,0.10205269001881678,0.11360743195775669
1980,0.5400372109501115,0.5142520134519789,0.5118379911843931,0.4845223231300971,20,0.44430099638156517,100,10,100,100,5,20,0.0076160430908203125,0.028199219765718375,0.0555148878200144
1981,0.6059222703073424,0.3729357248556885,0.39414221977914093,0.3819634846676297,20,0.7060461076170944,100,10,100,500,5,18,0.02628803253173828,0.21178005052820142,0.22395878563971267
1982,0.8428443447541378,0.6724567318539192,0.6870760579701579,0.7202057847903851,20,0.9648470253701876,100,10,100,1000,5,18,0.037354469299316406,0.15576828678397991,0.12263855996375272
1983,0.8434505792338172,0.08978096404709779,0.523363958513861,0.7848469936930312,20,0.3763791108252522,100,10,500,100,5,271,0.15476536750793457,0.3200866207199562,0.05860358554078593
1984,0.8861174118994692,0.6612558593383242,0.6738100637925534,0.7502837752844754,20,0.49218991152361147,100,10,500,500,5,17,0.29304933547973633,0.21230734810691587,0.1358336366149938
1985,0.9089249103269179,0.941453600315877,0.9435057518080027,0.7690135572143632,20,0.7021168150851228,100,10,500,1000,5,17,0.5426976680755615,0.034580841481084756,0.13991135311255476
1986,0.127640108877338,0.40410378632087407,0.2185948130458219,0.13952326480432337,20,0.7491007451715871,100,10,1000,100,5,120,0.27298784255981445,0.09095470416848389,0.011883155926985356
1987,0.2868738264078222,0.9012690553980413,0.8834650409798237,0.2792530047206019,20,0.504999182127786,100,10,1000,500,5,25,0.990098237991333,0.5965912145720015,0.007620821687220336
1988,0.33883910335471734,0.3109529929718191,0.31152589804823416,0.3033581164000763,20,0.22604523213346528,100,10,1000,1000,5,36,1.9691431522369385,0.02731320530648318,0.035480986954641025
1989,0.26354310909172307,0.26222999084853127,0.25712086266048084,0.2568846453681529,20,0.8076823422478153,100,10,100,100,10,28,0.010024309158325195,0.006422246431242229,0.006658463723570152
1990,0.8275447552048913,0.2527419260377116,0.2742483619132637,0.72735388666494,20,0.6630859035540247,100,10,100,500,10,20,0.02150893211364746,0.5532963932916277,0.1001908685399513
1991,0.9932350662942265,0.4312118953060472,0.4838370610715745,0.8223706920644872,20,0.010766516645417279,100,10,100,1000,10,27,0.04850339889526367,0.5093980052226521,0.17086437422973932
1992,0.5823777233666516,0.6773864094116684,0.6417919906739041,0.520100196359065,20,0.670874120503734,100,10,500,100,10,26,0.06935930252075195,0.05941426730725252,0.0622775270075866
1993,0.3755204524849296,0.6026526224437213,0.553557542985044,0.3201553106944618,20,0.5698981920407618,100,10,500,500,10,25,0.3043508529663086,0.1780370905001144,0.05536514179046781
1994,0.7804938162582946,0.45984684965602696,0.48161898068638165,0.65523777135968,20,0.6082694580866077,100,10,500,1000,10,19,0.5502276420593262,0.29887483557191297,0.12525604489861464
1995,0.6920929579620521,0.3535553564525822,0.4891711720988698,0.6188513287246685,20,0.6410723181879963,100,10,1000,100,10,69,0.2556126117706299,0.20292178586318227,0.07324162923738353
1996,0.617989255458834,0.57923263116505,0.586928526262612,0.5527963391320567,20,0.12475404246001653,100,10,1000,500,10,23,0.9939854145050049,0.031060729196221937,0.06519291632677726
1997,0.001959635668266513,0.28887773720771726,0.12592161757673762,0.06626990657451445,20,0.2265792277315719,100,10,1000,1000,10,165,2.014871835708618,0.1239619819084711,0.06431027090624794
1998,0.19043793707108425,0.10703893226279337,0.1183778450500614,0.13590195847862005,20,0.6880599349137894,1000,10,100,100,1,29,0.009593963623046875,0.07206009202102286,0.0545359785924642
1999,0.5358737020214963,0.0848189710988394,0.11413444767718656,1.0,20,0.1311720548734865,1000,10,100,500,1,38,0.026158809661865234,0.42173925434430976,0.4641262979785037
2000,0.21111393101925202,0.5661926620835029,0.5375163726902963,0.2114667036854176,20,0.8536735780707798,1000,10,100,1000,1,19,0.046534061431884766,0.32640244167104426,0.00035277266616556835
2001,0.2938838875126146,0.19061216180485063,0.20249505148596847,0.34388140106062864,20,0.8401669676273938,1000,10,500,100,1,21,0.08365511894226074,0.09138883602664616,0.049997513548014016
2002,0.407996404683552,0.09175432296994346,0.11239289619827258,1.0,20,0.44019746637536894,1000,10,500,500,1,33,0.29945850372314453,0.29560350848527944,0.592003595316448
2003,0.032752465795400254,0.22504755554446332,0.1987913444482127,0.0959566524485253,20,0.24456606555233973,1000,10,500,1000,1,26,0.5451409816741943,0.16603887865281244,0.06320418665312505
2004,0.8814804422828162,0.7637374114056885,0.7788736501543929,1.0,20,0.2339929435100433,1000,10,1000,100,1,18,0.24422693252563477,0.10260679212842327,0.11851955771718381
2005,0.8070699667212434,0.7366405726206788,0.741490897970985,0.7644919470202961,20,0.7819021947119613,1000,10,1000,500,1,18,1.004554033279419,0.06557906875025843,0.04257801970094732
2006,0.7769334137979352,0.11264590645298012,0.1501806169373659,1.0,20,0.5643366924824841,1000,10,1000,1000,1,41,1.8971374034881592,0.6267527968605693,0.22306658620206476
2007,0.006189538794642235,0.08194434251737759,0.06906547447507658,0.0410457469780603,20,0.6248048623084216,1000,10,100,100,5,30,0.010664224624633789,0.06287593568043434,0.034856208183418065
2008,0.3363322128979227,0.5247922706185263,0.5025478641215214,0.37865819337987433,20,0.09701020215412304,1000,10,100,500,5,17,0.02166581153869629,0.16621565122359871,0.04232598048195163
2009,0.4477103511361825,0.6798742350144591,0.6676099663593796,0.46060948053702,20,0.8168663725461554,1000,10,100,1000,5,17,0.04752206802368164,0.21989961522319712,0.012899129400837483
2010,0.2436677530780953,0.4471509971635942,0.4094731846569601,0.2583845756225061,20,0.06937746025392133,1000,10,500,100,5,25,0.08512568473815918,0.1658054315788648,0.014716822544410813
2011,0.5775843076605328,0.9428426475077096,0.94284264753352,0.9428426475077096,20,0.1706188942626421,1000,10,500,500,5,17,0.29351067543029785,0.36525833987298717,0.3652583398471768
2012,0.9089249103269179,0.941453600315877,0.941453600315877,0.941453600315877,20,0.7021168150851228,1000,10,500,1000,5,17,0.549450159072876,0.03252868998895908,0.03252868998895908
2013,0.127640108877338,0.40410378632087407,0.36071551835324606,0.20752266122369586,20,0.7491007451715871,1000,10,1000,100,5,27,0.24407267570495605,0.23307540947590805,0.07988255234635785
2014,0.14747280824051268,0.1505628685355488,0.14100884655091092,0.15058103815513757,20,0.5991124555489872,1000,10,1000,500,5,26,0.9963994026184082,0.006463961689601755,0.0031082299146248937
2015,0.846472719630722,0.1707991601242389,0.197706346093054,1.0,20,0.0602871595984652,1000,10,1000,1000,5,26,1.898989200592041,0.6487663735376681,0.15352728036927799
2016,0.8276418873359892,0.5242804824818086,0.5490173081650074,1.0,20,0.9962902560017202,1000,10,100,100,10,19,0.006661415100097656,0.2786245791709818,0.1723581126640108
2017,0.48591943241433755,0.37329696693542314,0.38657512011705636,0.45909692898208404,20,0.1874590409456225,1000,10,100,500,10,17,0.02224588394165039,0.09934431229728119,0.02682250343225351
2018,0.27998281188848795,0.33238584754385925,0.321064379849839,0.26608414604394065,20,0.30292224760311115,1000,10,100,1000,10,17,0.044922828674316406,0.04108156796135104,0.013898665844547298
2019,0.8016145491781681,0.19849786863819008,0.221305071745813,1.0,20,0.013597798070297262,1000,10,500,100,10,20,0.0641636848449707,0.5803094774323552,0.1983854508218319
2020,0.35242380845214016,0.835859234315596,0.835859234315596,0.30935938500355475,20,0.4721268041549447,1000,10,500,500,10,17,0.289548397064209,0.4834354258634558,0.04306442344858541
2021,0.8542615144946418,0.7273878064157777,0.7273878064157777,0.7953670733802217,20,0.8737505153555947,1000,10,500,1000,10,17,0.5402886867523193,0.1268737080788641,0.058894441114420104
2022,0.17529978711616478,0.36809136346819493,0.34103183506187107,0.2779980763827203,20,0.26060658269644643,1000,10,1000,100,10,22,0.24037885665893555,0.16573204794570628,0.1026982892665555
2023,0.36751251224362513,0.24942028688214912,0.27319735949799406,0.42139057173239963,20,0.841761754011792,1000,10,1000,500,10,22,0.9939079284667969,0.09431515274563107,0.0538780594887745
2024,0.43231154130245675,0.3735000484169245,0.3679893490569522,0.384465651151526,20,0.8329834210902969,1000,10,1000,1000,10,20,1.8866095542907715,0.06432219224550456,0.04784589015093077
2025,0.610272158746107,0.3331645900724578,0.3904958407194314,0.6995821612625062,20,0.6038326121232985,10,20,100,100,1,27,0.008896589279174805,0.21977631802667558,0.0893100025163992
2026,0.027282112394457436,0.3852171642342892,0.22549988485215205,0.0,20,0.2998162924974558,10,20,100,500,1,89,0.042138099670410156,0.19821777245769462,0.027282112394457436
2027,0.9101411246033989,0.8284764856826771,0.8419581833880148,1.0,20,0.5923922880726438,10,20,100,1000,1,17,0.026821136474609375,0.06818294121538415,0.08985887539660109
2028,0.9878613862822538,0.7794208127126269,0.8026892478592144,1.0,20,0.3471739940917935,10,20,500,100,1,17,0.061746835708618164,0.18517213842303948,0.01213861371774616
2029,0.4855130274290993,0.10461960896204969,0.12248957209314663,0.5294985999464005,20,0.6825088482097745,10,20,500,500,1,19,0.29657626152038574,0.36302345533595265,0.043985572517301175
2030,0.26380413273058145,0.47268387013350843,0.4156612850642923,0.2612423563061458,20,0.9107656010772924,10,20,500,1000,1,26,0.5466892719268799,0.15185715233371083,0.002561776424435669
2031,0.8814804422828162,0.7637374114056885,0.7817741365522358,0.9195378052849122,20,0.2339929435100433,10,20,1000,100,1,17,0.24067449569702148,0.09970630573058037,0.038057363002096056
2032,0.7117193438837409,0.2346651211270352,0.42340319388580416,0.7495094599597428,20,0.001969739370671797,10,20,1000,500,1,95,1.013052225112915,0.28831614999793675,0.03779011607600191
2033,0.4050132800375449,0.9160245527164524,0.9029942847078973,0.4333529591497357,20,0.5185497409707687,10,20,1000,1000,1,17,1.8754353523254395,0.49798100467035245,0.02833967911219082
2034,0.7130830499303148,0.8706456966345483,0.8796208302347865,0.8593172480714633,20,0.4775930117073015,10,20,100,100,5,17,0.006620168685913086,0.16653778030447175,0.14623419814114846
2035,0.38237680232780824,0.25787931047102075,0.2883323320556093,0.46322748531894026,20,0.570478746821283,10,20,100,500,5,17,0.021377086639404297,0.09404447027219892,0.08085068299113202
