,epsilon,distance_epsilon,mu,distance_mu,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
59,0.127,0.0030000000000000027,0.25,0.5099999999999999,16.001287698745728,0.13,0.7599999999999999,100,100,4,1,200
60,0.3401,0.010099999999999998,0.31,0.030000000000000027,9.36819076538086,0.33,0.27999999999999997,100,100,1,1,200
61,0.4539,0.0039000000000000146,0.18,0.06,15.325050830841064,0.45,0.12,100,100,16,1,200
62,0.1331,0.0030999999999999917,0.72,0.52,9.382867336273193,0.13,0.19999999999999998,100,100,1,1,200
63,0.4066,0.03660000000000002,0.17,0.10999999999999996,13.692732334136963,0.37,0.27999999999999997,100,100,16,1,200
64,0.08900000000000001,0.03900000000000001,0.74,0.019999999999999907,20.28213405609131,0.05,0.7599999999999999,100,100,4,1,200
65,0.23390000000000002,0.023900000000000005,0.5700000000000001,0.050000000000000155,10.289264917373657,0.21000000000000002,0.5199999999999999,100,100,1,1,200
66,0.458,0.04799999999999999,0.91,0.31000000000000005,14.592047452926636,0.41000000000000003,0.6,100,100,8,1,200
67,0.01,0.0,0.87,0.1100000000000001,12.810466051101685,0.01,0.7599999999999999,100,100,8,1,200
68,0.3255,0.035499999999999976,0.3,0.18,15.142244338989258,0.29000000000000004,0.12,100,100,16,1,200
69,0.2202,0.010199999999999987,0.32,0.11999999999999988,16.57186198234558,0.21000000000000002,0.4399999999999999,100,100,8,1,200
70,0.1378,0.007800000000000001,0.9400000000000001,0.18000000000000016,11.314404726028442,0.13,0.7599999999999999,100,100,1,1,200
71,0.1598,0.010200000000000015,0.5700000000000001,0.21000000000000013,9.582994222640991,0.17,0.35999999999999993,100,100,1,1,200
72,0.4309,0.019100000000000006,0.35000000000000003,0.3299999999999999,10.560519456863403,0.45,0.6799999999999999,100,100,1,1,200
73,0.0853,0.004699999999999996,0.62,0.21999999999999986,15.827991008758545,0.09,0.8399999999999999,100,100,4,1,200
74,0.1325,0.0025000000000000022,0.04,0.4799999999999999,15.389918088912964,0.13,0.5199999999999999,100,100,8,1,200
75,0.0219,0.011899999999999999,0.02,0.18,13.548839569091797,0.01,0.19999999999999998,100,100,8,1,200
76,0.48600000000000004,0.03600000000000003,0.19,0.3299999999999999,14.357324838638306,0.45,0.5199999999999999,100,100,4,1,200
77,0.0152,0.0052,0.79,0.75,14.595353364944458,0.01,0.04,100,100,8,1,200
78,0.4872,0.03720000000000001,0.06,0.8599999999999999,13.508138656616211,0.45,0.9199999999999999,100,100,1,1,200
