N,T,edge_per_t,evidences_per_t,model,optimizer_name,num_epochs,lr,model_name,minibatch_size,epsilon_plus_estimated,epsilon_minus_estimated,X0_r2,time,last_iteration,real_epsilon_plus,real_epsilon_minus,mu_plus,mu_minus,rho,distance_epsilon_plus,distance_epsilon,distance_minus
100,64,16,8,backfire,adam,400,0.05,BC_backfire,0,0.36650538485862844,0.23900874444956324,0.08976787328720093,19.25440287590027,401,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.09626684320860432,0.23188382588970435,0.09626684320860432
100,64,16,8,backfire,adam,400,0.05,BC_backfire,16,0.10269770369076514,0.1522162075703529,-0.41729843616485596,19.20460534095764,401,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.009474306329393972,0.03192385527815894,0.009474306329393972
100,64,16,8,backfire,adam,400,0.05,BC_backfire,32,0.16391570166699096,0.26562893763421763,-0.0585474967956543,19.127113580703735,401,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.12288703639325871,0.029294142698066877,0.12288703639325871
100,64,16,8,backfire,adam,400,0.1,BC_backfire,0,0.39889777136158394,0.25103234501655936,0.06327539682388306,19.12969660758972,401,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.10829044377560043,0.26427621239265986,0.10829044377560043
100,64,16,8,backfire,adam,400,0.1,BC_backfire,16,0.05211922945029579,0.07102554827926393,0.1537448763847351,19.20229697227478,401,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.071716352961695,0.08250232951862829,0.071716352961695
100,64,16,8,backfire,adam,400,0.1,BC_backfire,32,0.3055752108327947,0.4042665775992993,-0.418137788772583,19.205496549606323,401,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.26152467635834037,0.17095365186387063,0.26152467635834037
100,64,16,8,backfire,adam,800,0.0001,BC_backfire,0,0.25639988515114287,0.7404084467299732,-1.2440335750579834,38.41414713859558,801,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.5976665454890142,0.12177832618221879,0.5976665454890142
100,64,16,8,backfire,adam,800,0.0001,BC_backfire,16,0.24872905109320978,0.7353591561520265,-0.4858771562576294,38.526832818984985,801,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.5926172549110675,0.1141074921242857,0.5926172549110675
100,64,16,8,backfire,adam,800,0.0001,BC_backfire,32,0.24524265221683522,0.7347879074333769,-1.0732924938201904,38.22135066986084,801,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.592046006192418,0.11062109324791114,0.592046006192418
100,64,16,8,backfire,adam,800,0.0005,BC_backfire,0,0.28240741310418876,0.6702025569743499,-0.28451573848724365,38.412949085235596,801,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.527460655733391,0.14778585413526468,0.527460655733391
100,64,16,8,backfire,adam,800,0.0005,BC_backfire,16,0.221396376343024,0.671701506344052,-0.3827277421951294,38.351993560791016,801,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.5289596051030931,0.08677481737409992,0.5289596051030931
100,64,16,8,backfire,adam,800,0.0005,BC_backfire,32,0.22661518645598744,0.6693547394916557,-0.7028764486312866,38.51438808441162,801,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.5266128382506967,0.09199362748706336,0.5266128382506967
100,64,16,8,backfire,adam,800,0.001,BC_backfire,0,0.2893884390108964,0.574787695237846,-0.7436672449111938,38.213390827178955,801,0.13462155896892408,0.14274190124095892,0.07845894720408797,0.2360226189068061,16,0.4320457939968871,0.1547668800419723,0.4320457939968871
