,epsilon,mu,distance_epsilon,distance_mu,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches,sampler,msm_loss
1434,0.34590000000000004,0.9,0.024099999999999955,0.22000000000000008,2.3708207607269287,0.37,0.6799999999999999,50,100,2,1,50,halton,all_moments
1435,0.3492,0.04,0.020799999999999985,0.6399999999999999,1.3617451190948486,0.37,0.6799999999999999,50,100,2,1,50,halton,4_moments
1436,0.30810000000000004,0.06,0.061899999999999955,0.6199999999999999,1.5794346332550049,0.37,0.6799999999999999,50,100,2,1,50,halton,9_moments
1437,0.3486,0.12,0.021399999999999975,0.5599999999999999,1.2110071182250977,0.37,0.6799999999999999,50,100,2,1,50,random,all_moments
1438,0.31980000000000003,0.77,0.05019999999999997,0.09000000000000008,1.5882716178894043,0.37,0.6799999999999999,50,100,2,1,50,random,4_moments
1439,0.33890000000000003,0.33,0.03109999999999996,0.3499999999999999,1.7600071430206299,0.37,0.6799999999999999,50,100,2,1,50,random,9_moments
1440,0.21080000000000002,0.96,0.0408,0.28,5.083348989486694,0.17,0.6799999999999999,50,400,32,8,25,halton,all_moments
1441,0.0626,0.1,0.10740000000000001,0.58,5.532797813415527,0.17,0.6799999999999999,50,400,32,8,25,halton,4_moments
1442,0.0386,0.89,0.13140000000000002,0.21000000000000008,3.6606767177581787,0.17,0.6799999999999999,50,400,32,8,25,halton,9_moments
1443,0.18150000000000002,0.9400000000000001,0.01150000000000001,0.2600000000000001,5.020278215408325,0.17,0.6799999999999999,50,400,32,8,25,random,all_moments
1444,0.28240000000000004,0.03,0.11240000000000003,0.6499999999999999,4.95684814453125,0.17,0.6799999999999999,50,400,32,8,25,random,4_moments
1445,0.2262,0.05,0.0562,0.6299999999999999,4.692501783370972,0.17,0.6799999999999999,50,400,32,8,25,random,9_moments
1446,0.0466,0.15,0.2034,0.20999999999999994,35.35880136489868,0.25,0.35999999999999993,50,200,16,8,200,halton,all_moments
1447,0.0708,0.12,0.1792,0.23999999999999994,33.08422636985779,0.25,0.35999999999999993,50,200,16,8,200,halton,4_moments
1448,0.0536,0.15,0.1964,0.20999999999999994,38.102288246154785,0.25,0.35999999999999993,50,200,16,8,200,halton,9_moments
1449,0.1796,0.01,0.07039999999999999,0.3499999999999999,35.467506647109985,0.25,0.35999999999999993,50,200,16,8,200,random,all_moments
1450,0.029900000000000003,0.14,0.2201,0.21999999999999992,37.77647566795349,0.25,0.35999999999999993,50,200,16,8,200,random,4_moments
1451,0.07100000000000001,0.11,0.179,0.24999999999999994,34.24809265136719,0.25,0.35999999999999993,50,200,16,8,200,random,9_moments
1452,0.0184,0.05,0.0316,0.4699999999999999,1.5487866401672363,0.05,0.5199999999999999,50,200,32,4,25,halton,all_moments
1453,0.006500000000000001,0.04,0.043500000000000004,0.4799999999999999,1.739654302597046,0.05,0.5199999999999999,50,200,32,4,25,halton,4_moments
1454,0.4307,0.0,0.38070000000000004,0.5199999999999999,1.8399035930633545,0.05,0.5199999999999999,50,200,32,4,25,halton,9_moments
1455,0.3179,0.02,0.2679,0.4999999999999999,1.6607787609100342,0.05,0.5199999999999999,50,200,32,4,25,random,all_moments
1456,0.0025,0.72,0.0475,0.20000000000000007,2.251185178756714,0.05,0.5199999999999999,50,200,32,4,25,random,4_moments
1457,0.234,0.03,0.184,0.4899999999999999,2.3591148853302,0.05,0.5199999999999999,50,200,32,4,25,random,9_moments
1458,0.1762,0.16,0.006199999999999983,0.11999999999999997,0.7652802467346191,0.17,0.27999999999999997,50,50,2,1,25,halton,all_moments
1459,0.171,0.02,0.0010000000000000009,0.25999999999999995,0.8617126941680908,0.17,0.27999999999999997,50,50,2,1,25,halton,4_moments
1460,0.1274,0.77,0.0426,0.49000000000000005,0.974252462387085,0.17,0.27999999999999997,50,50,2,1,25,halton,9_moments
1461,0.09140000000000001,0.48,0.0786,0.2,0.60699462890625,0.17,0.27999999999999997,50,50,2,1,25,random,all_moments
1462,0.11620000000000001,0.35000000000000003,0.0538,0.07000000000000006,0.7407653331756592,0.17,0.27999999999999997,50,50,2,1,25,random,4_moments
1463,0.1091,0.76,0.06090000000000001,0.48000000000000004,0.8917131423950195,0.17,0.27999999999999997,50,50,2,1,25,random,9_moments
1464,0.1572,0.9,0.13280000000000003,0.30000000000000004,3.4916272163391113,0.29000000000000004,0.6,50,100,4,1,100,halton,all_moments
1465,0.1245,0.8200000000000001,0.16550000000000004,0.22000000000000008,3.5055902004241943,0.29000000000000004,0.6,50,100,4,1,100,halton,4_moments
1466,0.13620000000000002,0.02,0.15380000000000002,0.58,3.1761157512664795,0.29000000000000004,0.6,50,100,4,1,100,halton,9_moments
1467,0.1427,0.27,0.14730000000000004,0.32999999999999996,3.1926522254943848,0.29000000000000004,0.6,50,100,4,1,100,random,all_moments
1468,0.1381,0.91,0.15190000000000003,0.31000000000000005,2.820577383041382,0.29000000000000004,0.6,50,100,4,1,100,random,4_moments
1469,0.0813,0.92,0.20870000000000005,0.32000000000000006,2.957195281982422,0.29000000000000004,0.6,50,100,4,1,100,random,9_moments
1470,0.0483,0.96,0.1217,0.6799999999999999,8.119810819625854,0.17,0.27999999999999997,50,100,16,8,50,halton,all_moments
1471,0.0182,0.88,0.15180000000000002,0.6000000000000001,9.786144256591797,0.17,0.27999999999999997,50,100,16,8,50,halton,4_moments
1472,0.034300000000000004,0.03,0.13570000000000002,0.24999999999999997,8.125569581985474,0.17,0.27999999999999997,50,100,16,8,50,halton,9_moments
1473,0.0236,0.86,0.1464,0.5800000000000001,8.751681089401245,0.17,0.27999999999999997,50,100,16,8,50,random,all_moments
1474,0.0358,0.06,0.1342,0.21999999999999997,9.499941110610962,0.17,0.27999999999999997,50,100,16,8,50,random,4_moments
1475,0.0526,0.92,0.1174,0.6400000000000001,9.207264423370361,0.17,0.27999999999999997,50,100,16,8,50,random,9_moments
1476,0.028900000000000002,0.18,0.0211,0.2599999999999999,3.5857152938842773,0.05,0.4399999999999999,50,50,1,8,25,halton,all_moments
1477,0.0562,0.06,0.006199999999999997,0.3799999999999999,3.7565317153930664,0.05,0.4399999999999999,50,50,1,8,25,halton,4_moments
1478,0.0286,0.81,0.021400000000000002,0.37000000000000016,5.545858144760132,0.05,0.4399999999999999,50,50,1,8,25,halton,9_moments
1479,0.046,0.9500000000000001,0.0040000000000000036,0.5100000000000002,4.240561485290527,0.05,0.4399999999999999,50,50,1,8,25,random,all_moments
1480,0.0524,0.9400000000000001,0.0023999999999999994,0.5000000000000002,5.571869373321533,0.05,0.4399999999999999,50,50,1,8,25,random,4_moments
1481,0.031200000000000002,0.45,0.0188,0.01000000000000012,4.514024972915649,0.05,0.4399999999999999,50,50,1,8,25,random,9_moments
1482,0.216,0.06,0.11400000000000002,0.29999999999999993,1.3829576969146729,0.33,0.35999999999999993,50,50,16,1,50,halton,all_moments
1483,0.3169,0.06,0.0131,0.29999999999999993,1.2607293128967285,0.33,0.35999999999999993,50,50,16,1,50,halton,4_moments
1484,0.2661,0.98,0.06390000000000001,0.6200000000000001,1.2147431373596191,0.33,0.35999999999999993,50,50,16,1,50,halton,9_moments
1485,0.3216,0.03,0.008400000000000019,0.32999999999999996,0.9856643676757812,0.33,0.35999999999999993,50,50,16,1,50,random,all_moments
1486,0.18810000000000002,0.07,0.1419,0.2899999999999999,1.0588011741638184,0.33,0.35999999999999993,50,50,16,1,50,random,4_moments
1487,0.3277,0.99,0.0023000000000000242,0.6300000000000001,1.2034947872161865,0.33,0.35999999999999993,50,50,16,1,50,random,9_moments
1488,0.3875,0.97,0.1375,0.77,18.5330331325531,0.25,0.19999999999999998,50,400,16,8,100,halton,all_moments
1489,0.37520000000000003,0.9,0.12520000000000003,0.7000000000000001,15.960284948348999,0.25,0.19999999999999998,50,400,16,8,100,halton,4_moments
1490,0.379,0.93,0.129,0.7300000000000001,16.38111186027527,0.25,0.19999999999999998,50,400,16,8,100,halton,9_moments
1491,0.4042,0.9,0.1542,0.7000000000000001,17.4972403049469,0.25,0.19999999999999998,50,400,16,8,100,random,all_moments
1492,0.37320000000000003,0.9400000000000001,0.12320000000000003,0.7400000000000001,16.068353414535522,0.25,0.19999999999999998,50,400,16,8,100,random,4_moments
1493,0.4186,0.87,0.16860000000000003,0.67,15.084074020385742,0.25,0.19999999999999998,50,400,16,8,100,random,9_moments
1494,0.20420000000000002,0.0,0.1542,0.9199999999999999,5.75167989730835,0.05,0.9199999999999999,50,50,32,1,200,halton,all_moments
1495,0.0038,0.99,0.046200000000000005,0.07000000000000006,5.313623905181885,0.05,0.9199999999999999,50,50,32,1,200,halton,4_moments
1496,0.2629,0.01,0.21290000000000003,0.9099999999999999,4.485238552093506,0.05,0.9199999999999999,50,50,32,1,200,halton,9_moments
1497,0.0756,0.01,0.025599999999999998,0.9099999999999999,4.554083824157715,0.05,0.9199999999999999,50,50,32,1,200,random,all_moments
1498,0.0229,0.01,0.027100000000000003,0.9099999999999999,6.145677804946899,0.05,0.9199999999999999,50,50,32,1,200,random,4_moments
1499,0.0229,0.01,0.027100000000000003,0.9099999999999999,7.31152606010437,0.05,0.9199999999999999,50,50,32,1,200,random,9_moments
1500,0.0529,0.02,0.0029,0.02,12.330976724624634,0.05,0.04,50,200,32,2,200,halton,all_moments
1501,0.09670000000000001,0.0,0.046700000000000005,0.04,9.831055879592896,0.05,0.04,50,200,32,2,200,halton,4_moments
1502,0.0795,0.02,0.0295,0.02,9.92413878440857,0.05,0.04,50,200,32,2,200,halton,9_moments
1503,0.0285,0.03,0.021500000000000002,0.010000000000000002,10.782877206802368,0.05,0.04,50,200,32,2,200,random,all_moments
1504,0.0341,0.02,0.015900000000000004,0.02,11.654863357543945,0.05,0.04,50,200,32,2,200,random,4_moments
1505,0.0076,0.98,0.0424,0.94,10.50599718093872,0.05,0.04,50,200,32,2,200,random,9_moments
1506,0.041,0.15,0.169,0.10999999999999999,5.181098699569702,0.21000000000000002,0.04,50,50,8,8,25,halton,all_moments
1507,0.0097,0.77,0.20030000000000003,0.73,4.54165506362915,0.21000000000000002,0.04,50,50,8,8,25,halton,4_moments
1508,0.23450000000000001,0.01,0.024499999999999994,0.03,4.171051025390625,0.21000000000000002,0.04,50,50,8,8,25,halton,9_moments
1509,0.0079,0.84,0.20210000000000003,0.7999999999999999,4.448400259017944,0.21000000000000002,0.04,50,50,8,8,25,random,all_moments
1510,0.017400000000000002,0.1,0.19260000000000002,0.060000000000000005,4.2312774658203125,0.21000000000000002,0.04,50,50,8,8,25,random,4_moments
1511,0.21180000000000002,0.01,0.001799999999999996,0.03,5.737435579299927,0.21000000000000002,0.04,50,50,8,8,25,random,9_moments
1512,0.2872,0.11,0.03720000000000001,0.57,18.20732069015503,0.25,0.6799999999999999,50,200,2,4,200,halton,all_moments
1513,0.29000000000000004,0.03,0.040000000000000036,0.6499999999999999,17.74664807319641,0.25,0.6799999999999999,50,200,2,4,200,halton,4_moments
1514,0.2601,0.02,0.010099999999999998,0.6599999999999999,19.62123203277588,0.25,0.6799999999999999,50,200,2,4,200,halton,9_moments
1515,0.3008,0.03,0.05080000000000001,0.6499999999999999,16.928083896636963,0.25,0.6799999999999999,50,200,2,4,200,random,all_moments
1516,0.25980000000000003,0.13,0.009800000000000031,0.5499999999999999,17.892850399017334,0.25,0.6799999999999999,50,200,2,4,200,random,4_moments
1517,0.2948,0.03,0.044800000000000006,0.6499999999999999,19.360837697982788,0.25,0.6799999999999999,50,200,2,4,200,random,9_moments
1518,0.0074,0.41000000000000003,0.0426,0.2699999999999999,2.195730686187744,0.05,0.6799999999999999,50,100,8,4,25,halton,all_moments
1519,0.0679,0.0,0.0179,0.6799999999999999,2.2327475547790527,0.05,0.6799999999999999,50,100,8,4,25,halton,4_moments
1520,0.039,0.51,0.011000000000000003,0.16999999999999993,1.4971208572387695,0.05,0.6799999999999999,50,100,8,4,25,halton,9_moments
1521,0.0998,0.13,0.0498,0.5499999999999999,2.1600499153137207,0.05,0.6799999999999999,50,100,8,4,25,random,all_moments
1522,0.0089,0.99,0.041100000000000005,0.31000000000000005,2.2163069248199463,0.05,0.6799999999999999,50,100,8,4,25,random,4_moments
1523,0.027800000000000002,0.96,0.0222,0.28,2.5179622173309326,0.05,0.6799999999999999,50,100,8,4,25,random,9_moments
