N,T,edge_per_t,evidences_per_t,calibration_batches,epsilon_msm,real_epsilon,time_calibration,distance_epsilon
100,64,16,8,400,0.05109,0.02500416721814125,45.11398124694824,0.026085832781858755
100,64,16,8,800,0.05113,0.02500416721814125,50.67722225189209,0.026125832781858753
100,64,16,8,50,0.015030000000000002,0.1877527694555538,3.300459384918213,0.17272276945555382
100,64,16,8,100,0.007840000000000001,0.1877527694555538,6.0573461055755615,0.1799127694555538
100,64,16,8,200,0.00999,0.1877527694555538,11.87328314781189,0.1777627694555538
100,64,16,8,400,0.00809,0.1877527694555538,24.72458553314209,0.17966276945555382
100,64,16,8,800,0.007680000000000001,0.1877527694555538,49.48651170730591,0.1800727694555538
100,64,16,8,50,0.005430000000000001,0.0983252841666371,2.9469754695892334,0.0928952841666371
100,64,16,8,100,0.014240000000000001,0.0983252841666371,5.911290407180786,0.0840852841666371
100,64,16,8,200,0.012530000000000001,0.0983252841666371,11.809913396835327,0.0857952841666371
100,64,16,8,400,0.009160000000000001,0.0983252841666371,26.380767107009888,0.0891652841666371
100,64,16,8,800,0.00885,0.0983252841666371,114.3951325416565,0.08947528416663711
100,64,16,8,50,0.03175,0.24191619509294138,3.7578811645507812,0.21016619509294138
100,64,16,8,100,0.032060000000000005,0.24191619509294138,5.943394422531128,0.20985619509294137
100,64,16,8,200,0.031330000000000004,0.24191619509294138,12.504104375839233,0.21058619509294138
100,64,16,8,400,0.03384,0.24191619509294138,23.728978633880615,0.20807619509294137
100,64,16,8,800,0.032400000000000005,0.24191619509294138,47.482141733169556,0.20951619509294137
100,64,16,8,50,0.08871000000000001,0.09627189044650586,2.950596332550049,0.007561890446505848
100,64,16,8,100,0.10019,0.09627189044650586,6.08364462852478,0.003918109553494142
100,64,16,8,200,0.09759000000000001,0.09627189044650586,21.882116556167603,0.0013181095534941512
100,64,16,8,400,0.09751000000000001,0.09627189044650586,74.62654328346252,0.0012381095534941544
100,64,16,8,800,0.09796,0.09627189044650586,130.49429368972778,0.0016881095534941465
100,64,16,8,50,0.20627,0.3240631502989157,3.8502449989318848,0.11779315029891568
100,64,16,8,100,0.21593,0.3240631502989157,6.833764553070068,0.10813315029891568
100,64,16,8,200,0.21587,0.3240631502989157,12.489516735076904,0.10819315029891569
100,64,16,8,400,0.21696000000000001,0.3240631502989157,23.76871609687805,0.10710315029891568
100,64,16,8,800,0.21618,0.3240631502989157,107.07790732383728,0.10788315029891568
100,64,16,8,50,0.34302000000000005,0.3264959200891374,5.3147478103637695,0.016524079910862632
100,64,16,8,100,0.35353,0.3264959200891374,6.283020734786987,0.027034079910862596
100,64,16,8,200,0.35394000000000003,0.3264959200891374,12.538398265838623,0.027444079910862618
100,64,16,8,400,0.35340000000000005,0.3264959200891374,27.40921378135681,0.026904079910862633
100,64,16,8,800,0.35246000000000005,0.3264959200891374,48.74026417732239,0.025964079910862636
100,64,16,8,50,0.27911,0.2321957039570407,2.970144033432007,0.046914296042959325
100,64,16,8,100,0.28194,0.2321957039570407,5.905458450317383,0.049744296042959324
100,64,16,8,200,0.37546,0.2321957039570407,11.810901165008545,0.14326429604295932
100,64,16,8,400,0.27898,0.2321957039570407,24.949875593185425,0.046784296042959306
100,64,16,8,800,0.27921,0.2321957039570407,54.243974447250366,0.047014296042959314
100,64,16,8,50,0.20191,0.07412914513367885,2.9493889808654785,0.12778085486632115
100,64,16,8,100,0.19464,0.07412914513367885,5.911764860153198,0.12051085486632115
100,64,16,8,200,0.20313,0.07412914513367885,11.839559316635132,0.12900085486632115
100,64,16,8,400,0.20039,0.07412914513367885,23.665743589401245,0.12626085486632116
100,64,16,8,800,0.19292,0.07412914513367885,66.71138525009155,0.11879085486632115
100,64,16,8,50,0.15006,0.18687416776762505,10.17643928527832,0.036814167767625056
100,64,16,8,100,0.14348000000000002,0.18687416776762505,21.904879093170166,0.04339416776762503
100,64,16,8,200,0.13931000000000002,0.18687416776762505,43.96942162513733,0.04756416776762504
100,64,16,8,400,0.14008,0.18687416776762505,71.14931344985962,0.046794167767625044
100,64,16,8,800,0.14085,0.18687416776762505,141.56889367103577,0.04602416776762505
100,64,16,8,50,0.12406,0.08819386704746957,3.1203949451446533,0.03586613295253044
100,64,16,8,100,0.12308000000000001,0.08819386704746957,7.359952688217163,0.034886132952530444
100,64,16,8,200,0.12669,0.08819386704746957,31.340232133865356,0.03849613295253043
100,64,16,8,400,0.12328000000000001,0.08819386704746957,24.434624671936035,0.03508613295253045
100,64,16,8,800,0.12341,0.08819386704746957,47.4146945476532,0.03521613295253044
100,64,16,8,50,0.14418,0.10981109080657231,2.9930288791656494,0.034368909193427694
100,64,16,8,100,0.14708000000000002,0.10981109080657231,5.975064277648926,0.03726890919342771
100,64,16,8,200,0.14493,0.10981109080657231,13.807010173797607,0.035118909193427694
100,64,16,8,400,0.13167,0.10981109080657231,24.915950298309326,0.0218589091934277
100,64,16,8,800,0.14528000000000002,0.10981109080657231,47.44841504096985,0.03546890919342771
100,64,16,8,50,0.36117000000000005,0.3759822075697644,3.388094902038574,0.014812207569764368
100,64,16,8,100,0.34994000000000003,0.3759822075697644,13.692943811416626,0.026042207569764386
100,64,16,8,200,0.36674,0.3759822075697644,30.537443161010742,0.009242207569764405
100,64,16,8,400,0.36891,0.3759822075697644,57.83446669578552,0.007072207569764399
100,64,16,8,800,0.36926000000000003,0.3759822075697644,65.25428295135498,0.006722207569764382
100,64,16,8,50,0.22388000000000002,0.21797632708653414,2.9560623168945312,0.005903672913465885
100,64,16,8,100,0.25428,0.21797632708653414,5.9196617603302,0.03630367291346587
