,epsilon,distance_epsilon,mu,distance_mu,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
81,0.2273,0.017299999999999982,0.93,0.2500000000000001,19.98261308670044,0.21000000000000002,0.6799999999999999,100,100,8,1,200
82,0.33190000000000003,0.0781,0.4,0.43999999999999984,21.89124345779419,0.41000000000000003,0.8399999999999999,100,100,16,1,200
83,0.047900000000000005,0.04209999999999999,0.21,0.010000000000000009,20.706575870513916,0.09,0.19999999999999998,100,100,8,1,200
84,0.16570000000000001,0.11570000000000001,0.7000000000000001,0.10000000000000009,19.554155349731445,0.05,0.6,100,100,8,1,200
85,0.1043,0.014300000000000007,0.6900000000000001,0.09000000000000008,19.536536693572998,0.09,0.6,100,100,4,1,200
86,0.3846,0.025400000000000034,0.8300000000000001,0.7100000000000001,20.581811904907227,0.41000000000000003,0.12,100,100,8,1,200
87,0.09770000000000001,0.007700000000000012,0.16,0.19999999999999993,19.382256507873535,0.09,0.35999999999999993,100,100,4,1,200
88,0.1327,0.002700000000000008,0.16,0.2799999999999999,23.036346912384033,0.13,0.4399999999999999,100,100,8,1,200
89,0.2827,0.007300000000000029,0.63,0.04999999999999993,23.30359435081482,0.29000000000000004,0.6799999999999999,100,100,16,1,200
90,0.1991,0.01090000000000002,0.5700000000000001,0.2900000000000001,22.82285714149475,0.21000000000000002,0.27999999999999997,100,100,4,1,200
91,0.2257,0.06430000000000002,0.56,0.19999999999999984,22.87018060684204,0.29000000000000004,0.7599999999999999,100,100,16,1,200
92,0.42710000000000004,0.017100000000000004,0.44,0.32,20.552581787109375,0.41000000000000003,0.12,100,100,4,1,200
93,0.35350000000000004,0.02350000000000002,0.35000000000000003,0.3299999999999999,15.013792037963867,0.33,0.6799999999999999,100,100,4,1,200
94,0.2036,0.0464,0.62,0.05999999999999994,15.874102354049683,0.25,0.6799999999999999,100,100,16,1,200
95,0.4728,0.022799999999999987,0.88,0.039999999999999925,16.72196125984192,0.45,0.9199999999999999,100,100,16,1,200
96,0.3981,0.028100000000000014,0.27,0.16999999999999987,14.503481149673462,0.37,0.4399999999999999,100,100,16,1,200
97,0.22820000000000001,0.021799999999999986,0.72,0.44,16.890648365020752,0.25,0.27999999999999997,100,100,8,1,200
98,0.3396,0.030399999999999983,0.12,0.0,15.80314040184021,0.37,0.12,100,100,8,1,200
99,0.0043,0.0057,0.09,0.2699999999999999,12.932827472686768,0.01,0.35999999999999993,100,100,1,1,200
100,0.2421,0.00789999999999999,0.33,0.26999999999999996,12.330577611923218,0.25,0.6,100,100,1,1,200
101,0.06720000000000001,0.017200000000000007,0.44,0.3199999999999999,14.187678337097168,0.05,0.7599999999999999,100,100,8,1,200
102,0.1646,0.045400000000000024,0.89,0.029999999999999916,12.87268877029419,0.21000000000000002,0.9199999999999999,100,100,4,1,200
103,0.40090000000000003,0.03090000000000004,0.98,0.86,12.050963401794434,0.37,0.12,100,100,8,1,200
104,0.4239,0.013899999999999968,0.17,0.5099999999999999,12.627110242843628,0.41000000000000003,0.6799999999999999,100,100,16,1,200
105,0.21660000000000001,0.006599999999999995,0.79,0.04999999999999982,16.32826519012451,0.21000000000000002,0.8399999999999999,100,100,4,1,200
106,0.0441,0.045899999999999996,0.53,0.41000000000000003,14.095637559890747,0.09,0.12,100,100,16,1,200
107,0.2525,0.07750000000000001,0.59,0.010000000000000009,15.599403142929077,0.33,0.6,100,100,8,1,200
108,0.1666,0.036599999999999994,0.74,0.46,12.359802007675171,0.13,0.27999999999999997,100,100,16,1,200
109,0.20550000000000002,0.004500000000000004,0.21,0.71,12.609239101409912,0.21000000000000002,0.9199999999999999,100,100,4,1,200
110,0.45930000000000004,0.04930000000000001,0.36,0.5599999999999999,12.11562991142273,0.41000000000000003,0.9199999999999999,100,100,1,1,200
111,0.4428,0.032799999999999996,0.06,0.3799999999999999,10.732797384262085,0.41000000000000003,0.4399999999999999,100,100,1,1,200
112,0.2801,0.00990000000000002,0.23,0.69,9.426957130432129,0.29000000000000004,0.9199999999999999,100,100,1,1,200
113,0.005,0.005,0.72,0.040000000000000036,13.475329399108887,0.01,0.6799999999999999,100,100,16,1,200
114,0.22970000000000002,0.019699999999999995,0.9400000000000001,0.5000000000000002,16.030134916305542,0.21000000000000002,0.4399999999999999,100,100,4,1,200
115,0.42110000000000003,0.051100000000000034,0.77,0.17000000000000004,9.497838258743286,0.37,0.6,100,100,1,1,200
116,0.08990000000000001,9.999999999998899e-05,0.04,0.3999999999999999,8.56123661994934,0.09,0.4399999999999999,100,100,1,1,200
117,0.042300000000000004,0.0877,0.29,0.09,8.356332778930664,0.13,0.19999999999999998,100,100,1,1,200
118,0.2586,0.07140000000000002,0.16,0.03999999999999998,14.375576257705688,0.33,0.19999999999999998,100,100,4,1,200
119,0.2773,0.012700000000000045,0.81,0.4500000000000001,11.960806608200073,0.29000000000000004,0.35999999999999993,100,100,16,1,200
120,0.41290000000000004,0.0029000000000000137,0.86,0.18000000000000005,10.685153245925903,0.41000000000000003,0.6799999999999999,100,100,1,1,200
121,0.4516,0.0015999999999999903,0.27,0.009999999999999953,12.152743577957153,0.45,0.27999999999999997,100,100,8,1,200
122,0.42410000000000003,0.02589999999999998,0.51,0.31000000000000005,14.768646001815796,0.45,0.19999999999999998,100,100,16,1,200
123,0.2506,0.039400000000000046,0.47000000000000003,0.27,15.23799180984497,0.29000000000000004,0.19999999999999998,100,100,4,1,200
124,0.07740000000000001,0.012599999999999986,0.91,0.15000000000000013,9.140724182128906,0.09,0.7599999999999999,100,100,1,1,200
125,0.1067,0.016700000000000007,0.59,0.2499999999999999,10.84795331954956,0.09,0.8399999999999999,100,100,1,1,200
126,0.4582,0.0882,0.22,0.29999999999999993,13.73929762840271,0.37,0.5199999999999999,100,100,4,1,200
127,0.4329,0.022899999999999976,0.49,0.0500000000000001,13.43830680847168,0.41000000000000003,0.4399999999999999,100,100,4,1,200
128,0.34190000000000004,0.02809999999999996,0.38,0.21999999999999997,18.412407159805298,0.37,0.6,100,100,4,1,200
