,epsilon,mu,distance_epsilon,distance_mu,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
216,0.1057,0.28,0.3043,0.3999999999999999,2.034893274307251,0.41000000000000003,0.6799999999999999,50,50,4,1,100
217,0.21730000000000002,0.03,0.1127,0.010000000000000002,41.31085252761841,0.33,0.04,200,50,4,8,100
218,0.3432,0.08,0.1068,0.52,4.998159646987915,0.45,0.6,400,50,4,1,50
219,0.2907,0.99,0.0006999999999999784,0.15000000000000013,12.238551616668701,0.29000000000000004,0.8399999999999999,50,200,32,4,200
220,0.0057,0.67,0.2443,0.3100000000000001,20.643742561340332,0.25,0.35999999999999993,400,50,32,2,100
221,0.432,0.02,0.018000000000000016,0.8999999999999999,9.516011238098145,0.45,0.9199999999999999,200,50,1,2,100
222,0.0164,0.05,0.0736,0.8699999999999999,10.521917343139648,0.09,0.9199999999999999,200,50,32,8,25
223,0.3992,0.01,0.10919999999999996,0.18999999999999997,8.791463851928711,0.29000000000000004,0.19999999999999998,400,400,8,1,100
224,0.3501,0.99,0.05990000000000001,0.95,10.937226057052612,0.41000000000000003,0.04,200,400,32,4,50
225,0.1418,0.65,0.06820000000000001,0.029999999999999916,2.794666051864624,0.21000000000000002,0.6799999999999999,100,100,2,1,100
226,0.04,0.98,0.13,0.06000000000000005,0.7720906734466553,0.17,0.9199999999999999,100,100,32,1,25
227,0.07,0.01,0.01999999999999999,0.18999999999999997,3.2167656421661377,0.09,0.19999999999999998,50,100,1,8,25
228,0.3013,0.99,0.05130000000000001,0.15000000000000013,5.596614599227905,0.25,0.8399999999999999,400,100,2,2,25
229,0.0038,0.88,0.2462,0.039999999999999925,9.37324571609497,0.25,0.9199999999999999,400,50,8,1,100
230,0.32980000000000004,0.66,0.04019999999999996,0.2599999999999999,1.4248123168945312,0.37,0.9199999999999999,50,200,2,2,50
231,0.2655,0.27,0.015500000000000014,0.16999999999999987,1.9094254970550537,0.25,0.4399999999999999,100,100,1,2,25
