N,T,edge_per_t,tot_edges,epsilon,epsilon0,mu,epsilon_pgabm,time_pgabm,epochs_pgabm,distance_epsilon_pgabm
100,100,2,200,0.2440996723271997,0.25,0.7097568087323882,0.24979373550737827,0.37708163261413574,500,0.005694063180178566
100,464,2,928,0.29732579038605605,0.25,0.8364946222241428,0.2946512416208384,0.16193532943725586,116,0.002674548765217666
100,2154,2,4308,0.32182019629581476,0.25,0.13782325617493008,0.31644743843548984,2.8200082778930664,133,0.005372757860324928
100,10000,2,20000,0.46219058299594384,0.25,0.0036146305558138695,0.4557239748317944,11.149837732315063,261,0.006466608164149457
464,100,2,200,0.13660534630536447,0.25,0.7685618134016371,0.1386539425420013,0.17886781692504883,156,0.002048596236636835
464,464,2,928,0.30675080845226277,0.25,0.4482481698714901,0.30684221915864995,0.21964406967163086,131,9.141070638718496e-05
464,2154,2,4308,0.16819519392586124,0.25,0.15341464021078768,0.1670063019567518,2.824812412261963,125,0.001188891969109429
464,10000,2,20000,0.37280629461219666,0.25,0.07173958654301245,0.37123834051288407,6.112196922302246,164,0.0015679540993125962
2154,100,2,200,0.38126152764340926,0.25,0.3703119792624817,0.38402466369681154,0.20571231842041016,194,0.002763136053402282
2154,464,2,928,0.3035478912678612,0.25,0.20030779141043942,0.30926387473910416,0.16387224197387695,134,0.005715983471242969
2154,2154,2,4308,0.2482641881688324,0.25,0.32021308948460686,0.24560648783941968,8.78341794013977,500,0.0026577003294127044
2154,10000,2,20000,0.2883641446131568,0.25,0.0039005559409193927,0.28676545695476274,3.8538248538970947,112,0.001598687658394049
10000,100,2,200,0.3474779825842281,0.25,0.2366855133096728,0.3400303266007157,0.11271095275878906,130,0.00744765598351238
10000,464,2,928,0.0842819005790163,0.25,0.4338385095012326,0.07901823876275924,0.5232686996459961,276,0.005263661816257065
10000,2154,2,4308,0.4079719815364985,0.25,0.10480077209646889,0.4113037241317519,2.9010064601898193,206,0.0033317425952534285
10000,10000,2,20000,0.20064327649626496,0.25,0.07322217558174139,0.2000218972643621,3.9369444847106934,121,0.0006213792319028633
100,100,4,400,0.04240194816859655,0.25,0.18628823865346678,0.049998248310097845,0.2627131938934326,350,0.007596300141501297
100,464,4,1856,0.22607841774196058,0.25,0.5785008557211995,0.220485710325878,0.20661592483520508,127,0.005592707416082587
100,2154,4,8616,0.32375063503335066,0.25,0.014578824195059903,0.3234984404999856,3.5829226970672607,114,0.0002521945333650577
100,10000,4,40000,0.022477082464177178,0.25,0.02778803533438239,0.03871078072925425,16.40558409690857,411,0.01623369826507707
464,100,4,400,0.3140898491664933,0.25,0.29229178870271577,0.3211109032484186,0.16494178771972656,111,0.007021054081925326
464,464,4,1856,0.4475975196491325,0.25,0.17751635792788556,0.44400802125615896,0.47156858444213867,253,0.003589498392973567
464,2154,4,8616,0.15665665757104563,0.25,0.09896844243462949,0.1557118989115285,4.346216440200806,139,0.0009447586595171253
464,10000,4,40000,0.2434008240342952,0.25,0.030933165051712577,0.2427572708575326,4.846298694610596,106,0.0006435531767625957
2154,100,4,400,0.26424820043678043,0.25,0.5073177811057891,0.2643109003490725,0.44909048080444336,500,6.269991229207461e-05
2154,464,4,1856,0.4868515322916388,0.25,0.7794750343861443,0.48494020605587906,0.5466098785400391,276,0.001911326235759736
2154,2154,4,8616,0.17911313307442356,0.25,0.10397294785067357,0.17880828628343481,3.8668079376220703,138,0.00030484679098874423
2154,10000,4,40000,0.48231403450078175,0.25,0.026330150951961784,0.4800235626350928,12.023802995681763,283,0.0022904718656889256
10000,100,4,400,0.26119190460238595,0.25,0.3293775814704657,0.2650800956690738,0.4616680145263672,500,0.0038881910666878627
10000,464,4,1856,0.23284391740249455,0.25,0.7596487680019763,0.2340784876128853,0.9357614517211914,500,0.0012345702103907508
10000,2154,4,8616,0.03308676727197929,0.25,0.09079124326791131,0.04306107913127254,7.191485166549683,385,0.009974311859293247
10000,10000,4,40000,0.0537901324584073,0.25,0.0437199412396026,0.05792246374158566,14.276365995407104,332,0.004132331283178359
100,100,1,100,0.2546011261941745,0.25,0.2001141954009632,0.20369876269164675,0.153090238571167,179,0.050902363502527775
100,464,1,464,0.42925485063737634,0.25,0.9317480253244661,0.42462235480353583,0.35704636573791504,217,0.004632495833840511
100,2154,1,2154,0.15461380128311453,0.25,0.15962563199499,0.15509744075598572,1.908050775527954,146,0.0004836394728711946
100,10000,1,10000,0.10063822249737192,0.25,0.13808619615468384,0.10249011248558179,10.243111848831177,269,0.0018518899882098705
464,100,1,100,0.11518996555749644,0.25,0.48836876731454626,0.11685491780394833,0.22966885566711426,209,0.001664952246451884
464,464,1,464,0.3179115764283787,0.25,0.3642633239010161,0.32216625184920206,0.1781327724456787,132,0.004254675420823362
464,2154,1,2154,0.10378155542521211,0.25,0.4491003277933051,0.10672517584808984,4.802037000656128,208,0.002943620422877727
464,10000,1,10000,0.10584668331103897,0.25,0.1096342935796682,0.10364073507431347,7.778377056121826,219,0.0022059482367254996
2154,100,1,100,0.32194621112720617,0.25,0.6434238710730796,0.286045916333458,0.39973020553588867,500,0.03590029479374818
2154,464,1,464,0.19112282480459952,0.25,0.8452427124183494,0.19430093379416646,0.20176386833190918,128,0.003178108989566941
2154,2154,1,2154,0.44055853470491435,0.25,0.875522279091014,0.44314966580596443,4.484741926193237,228,0.0025911311010500815
2154,10000,1,10000,0.39334906180082113,0.25,0.08251653861179187,0.39142781287220063,6.2328879833221436,184,0.0019212489286205003
10000,100,1,100,0.32318595535315264,0.25,0.9021318522656804,0.32724439319815346,0.10321974754333496,120,0.004058437845000817
10000,464,1,464,0.20705829677465604,0.25,0.28310000802207835,0.20740829315228138,0.21095871925354004,113,0.00034999637762533897
10000,2154,1,2154,0.2890324095645221,0.25,0.892145256862108,0.2862559445807956,1.966829776763916,112,0.0027764649837264677
10000,10000,1,10000,0.25529278781155673,0.25,0.09607498865581324,0.25583908377865033,5.3687379360198975,125,0.0005462959670936018
100,100,2,200,0.04039748613006783,0.25,0.41833098974647154,0.04362600960079237,0.2548832893371582,376,0.0032285234707245397
100,464,2,928,0.3347020129912285,0.25,0.20384086269647494,0.32901011353883813,0.12917637825012207,118,0.005691899452390348
100,2154,2,4308,0.18863586928812975,0.25,0.12163239426905778,0.19074593001749496,2.4444849491119385,128,0.002110060729365204
100,10000,2,20000,0.4551461972918078,0.25,0.047570651563027214,0.45735686420570887,9.146764993667603,264,0.0022106669139010937
464,100,2,200,0.3925719405058827,0.25,0.9040461347665942,0.3904073852521664,0.17987513542175293,178,0.0021645552537162827
464,464,2,928,0.4261323134247518,0.25,0.4870022534118491,0.4272943586799115,0.32485055923461914,225,0.0011620452551597271
464,2154,2,4308,0.38256061190160756,0.25,0.0072442048843561835,0.3793277929839373,2.5644912719726562,175,0.0032328189176702438
464,10000,2,20000,0.4417007690831812,0.25,0.09755087433288265,0.43455230814875967,9.334722518920898,241,0.007148460934421508
2154,100,2,200,0.30092992313500794,0.25,0.16832575325503785,0.29654095488738386,0.09625959396362305,121,0.004388968247624081
2154,464,2,928,0.4495768815604195,0.25,0.7774527150665156,0.456891379128043,0.4341719150543213,241,0.007314497567623535
2154,2154,2,4308,0.49244680425120646,0.25,0.28041085577950264,0.48696827790693664,6.317564964294434,295,0.0054785263442698184
2154,10000,2,20000,0.2038099146614159,0.25,0.06707256260498187,0.2020386195626651,5.125045299530029,119,0.0017712950987507914
10000,100,2,200,0.3380493105772748,0.25,0.11821940335625503,0.3434655283501723,0.16353821754455566,141,0.005416217772897525
10000,464,2,928,0.20530772628556576,0.25,0.029369179169327464,0.20298122254500925,0.16030359268188477,121,0.0023265037405565125
10000,2154,2,4308,0.15207007353179247,0.25,0.28717563963453646,0.15161639362927803,2.5591211318969727,143,0.0004536799025144367
10000,10000,2,20000,0.48724199712849736,0.25,0.07872079997478158,0.4846513864896299,10.161864280700684,279,0.002590610638867452
100,100,4,400,0.2856085160882032,0.25,0.4893606523302496,0.28060256713186327,0.4324522018432617,500,0.005005948956339934
100,464,4,1856,0.07109981129812176,0.25,0.9114883789555303,0.07216553383793757,0.31127095222473145,314,0.0010657225398158082
100,2154,4,8616,0.17901917438050713,0.25,0.19251520365655284,0.1823421804039185,1.679114580154419,122,0.0033230060234113734
100,10000,4,40000,0.3284764856119382,0.25,0.029173218522470658,0.32873880072427086,4.655248641967773,140,0.00026231511233265614
464,100,4,400,0.11354957841451563,0.25,0.1803790305401023,0.10741400404826805,0.16211771965026855,205,0.006135574366247579
464,464,4,1856,0.4277788488317128,0.25,0.8892544615688864,0.4295998678852497,0.37848496437072754,222,0.0018210190535368764
464,2154,4,8616,0.23217279552893938,0.25,0.1766553318519876,0.2338970790748957,1.580456256866455,113,0.0017242835459563288
464,10000,4,40000,0.3399227797793632,0.25,0.04306628755390951,0.33719160831579126,4.649023056030273,126,0.0027311714635719353
2154,100,4,400,0.35141861997108004,0.25,0.43293202898685446,0.35608513581185414,0.14066290855407715,148,0.004666515840774099
2154,464,4,1856,0.432291944010084,0.25,0.47297600691504194,0.43290960445423826,0.46695828437805176,227,0.0006176604441542888
2154,2154,4,8616,0.4283983102522895,0.25,0.11068327436710543,0.42937665096831934,3.453803539276123,222,0.000978340716029813
2154,10000,4,40000,0.04367809038024606,0.25,0.020340249238629943,0.05042111694329598,11.47996711730957,358,0.006743026563049918
10000,100,4,400,0.17739689920578738,0.25,0.40117880896582625,0.18269950713319838,0.13624072074890137,142,0.005302607927410996
10000,464,4,1856,0.4921063105731036,0.25,0.6425030166233152,0.487193603664627,0.5816125869750977,279,0.004912706908476616
10000,2154,4,8616,0.2962271900813925,0.25,0.21527198110207912,0.29671084040831486,1.88297700881958,122,0.0004836503269223802
10000,10000,4,40000,0.16610568545747018,0.25,0.045403806853304085,0.16654429555638167,5.753918886184692,127,0.00043861009891149605
100,100,1,100,0.40760149797688233,0.25,0.3067554146806445,0.4078668931167209,0.20875191688537598,183,0.00026539513983858676
100,464,1,464,0.31637744753604785,0.25,0.4897750034928421,0.3118573175698854,0.18609023094177246,133,0.004520129966162467
100,2154,1,2154,0.21977237603862004,0.25,0.5816193205380621,0.2042080684306632,1.9012913703918457,116,0.015564307607956851
100,10000,1,10000,0.04719601589377781,0.25,0.18812812769995024,0.05447355701149215,12.197109937667847,359,0.007277541117714344
464,100,1,100,0.33593204826971024,0.25,0.5542515641612644,0.31594186760129356,0.08148837089538574,107,0.01999018066841668
464,464,1,464,0.39911367600695274,0.25,0.0646582495105108,0.39803996868069963,0.21553492546081543,186,0.001073707326253115
464,2154,1,2154,0.47846359637160013,0.25,0.006137290660025907,0.474249944369796,4.016907215118408,266,0.004213652001804125
464,10000,1,10000,0.08503152945882897,0.25,0.005259850659798438,0.08657512917775177,9.738214015960693,255,0.001543599718922803
2154,100,1,100,0.2899862928493415,0.25,0.553302209299106,0.2851065582621466,0.4752316474914551,500,0.004879734587194928
2154,464,1,464,0.03660216287460105,0.25,0.7722794630079196,0.04905263301429982,0.6549584865570068,366,0.012450470139698765
2154,2154,1,2154,0.42894708565105966,0.25,0.5016361154953108,0.4221632251977127,1.994372844696045,210,0.006783860453346946
2154,10000,1,10000,0.19965596172576916,0.25,0.0035717405123387503,0.1992914924070392,4.745919942855835,122,0.00036446931872996524
10000,100,1,100,0.10019812550494528,0.25,0.9867772884711701,0.08972072693843074,0.22036957740783691,243,0.010477398566514542
10000,464,1,464,0.14478235581915733,0.25,0.2761835709466538,0.13580332420149835,0.3286302089691162,163,0.008979031617658978
10000,2154,1,2154,0.03523306428682582,0.25,0.6369707276635423,0.04458608395048846,8.474156618118286,384,0.009353019663662636
10000,10000,1,10000,0.12177312133976198,0.25,0.005145878473664479,0.12310302738729052,5.8217480182647705,183,0.0013299060475285424
100,100,2,200,0.32704913972318167,0.25,0.897585446825308,0.317627943950421,0.2686738967895508,140,0.009421195772760682
100,464,2,928,0.3418159593208245,0.25,0.5662513502196734,0.33906004886950586,0.21159887313842773,129,0.0027559104513186217
100,2154,2,4308,0.3225886602006538,0.25,0.46352734725912903,0.32521908951823225,1.763704538345337,115,0.0026304293175784532
100,10000,2,20000,0.3206824068810796,0.25,0.09654739480810323,0.3149361607952524,3.9339985847473145,134,0.005746246085827189
464,100,2,200,0.35715408805998533,0.25,0.26304831497624726,0.36379234983876396,0.2036609649658203,149,0.006638261778778631
464,464,2,928,0.4166093464565792,0.25,0.2767253658005412,0.41877929579576045,0.304351806640625,210,0.002169949339181243
464,2154,2,4308,0.3553503681972577,0.25,0.26939953151364276,0.350872151042502,3.1719329357147217,140,0.004478217154755659
464,10000,2,20000,0.4082584356608487,0.25,0.08165482997659063,0.4018978919806607,6.357123613357544,201,0.006360543680187958
2154,100,2,200,0.35049652707354473,0.25,0.9854069857222426,0.33514098817007293,0.11994552612304688,128,0.0153555389034718
2154,464,2,928,0.19627554662193025,0.25,0.4700971772382583,0.19137940179358573,0.2350008487701416,130,0.004896144828344523
2154,2154,2,4308,0.20108997218158303,0.25,0.31769190607849485,0.19752965494783023,2.462698221206665,124,0.003560317233752802
2154,10000,2,20000,0.14461640459501957,0.25,0.03713424922433325,0.14437796794421498,6.540929555892944,153,0.00023843665080458543
10000,100,2,200,0.4220839714446728,0.25,0.4577653163959192,0.43661417958807813,0.1959822177886963,221,0.014530208143405332
10000,464,2,928,0.3999521694544788,0.25,0.47632424558557385,0.3950124938339512,0.27414870262145996,183,0.004939675620527606
10000,2154,2,4308,0.48960187511085657,0.25,0.45037722024656207,0.49334228049762197,5.469975709915161,291,0.0037404053867653997
10000,10000,2,20000,0.48465242097291183,0.25,0.0888789625229662,0.48341185275202264,9.970407247543335,276,0.0012405682208891933
100,100,4,400,0.11459038669067684,0.25,0.330466146024213,0.11850147928151632,0.13320422172546387,183,0.0039110925908394795
100,464,4,1856,0.48871253257632224,0.25,0.924002450333138,0.47312949901426044,0.43466949462890625,290,0.01558303356206181
100,2154,4,8616,0.07399213154306755,0.25,0.19313164775813513,0.08236041182161431,4.748847484588623,375,0.00836828027854676
100,10000,4,40000,0.0031491376099712087,0.25,0.031230545595323046,0.0332622895384939,15.151164293289185,426,0.030113151928522694
464,100,4,400,0.16337855183763728,0.25,0.7622715560034387,0.1632726006355968,0.14657902717590332,130,0.00010595120204048847
464,464,4,1856,0.3740371820462458,0.25,0.5337148439454514,0.37191280850970865,0.29976725578308105,168,0.0021243735365371608
464,2154,4,8616,0.21281917383958054,0.25,0.1352606701190515,0.21295320539372709,2.4247474670410156,125,0.0001340315541465409
464,10000,4,40000,0.11011729572280371,0.25,0.005693429814001255,0.11032388019669163,6.296421051025391,206,0.00020658447388792467
2154,100,4,400,0.41621686271647385,0.25,0.5259525560495675,0.40959472148835563,0.16495060920715332,203,0.006622141228118217
2154,464,4,1856,0.2738772813614558,0.25,0.47321416518035053,0.27390687001983616,0.18874907493591309,115,2.9588658380375055e-05
2154,2154,4,8616,0.21154426525855613,0.25,0.17307001375568626,0.21118370130806238,1.7999398708343506,110,0.00036056395049374745
2154,10000,4,40000,0.020782712443179197,0.25,0.012947290311331506,0.03745516062749607,12.27009391784668,407,0.016672448184316874
10000,100,4,400,0.2160376893175765,0.25,0.24189346068008044,0.21469475067618857,0.09566473960876465,107,0.0013429386413879307
10000,464,4,1856,0.07386931255730605,0.25,0.8583941832017463,0.07755433027128898,0.44457459449768066,274,0.003685017713982927
10000,2154,4,8616,0.4818923587769781,0.25,0.06125767456325886,0.48065001939385293,3.186941385269165,277,0.0012423393831251794
10000,10000,4,40000,0.2125525082490058,0.25,0.033236073190019484,0.2123262000212034,4.281035661697388,122,0.00022630822780239646
100,100,1,100,0.07315968953320079,0.25,0.1402983288444286,0.08033948793999034,0.2092912197113037,268,0.007179798406789548
100,464,1,464,0.4864402051135936,0.25,0.4022279419950763,0.47940239938763435,0.38077735900878906,289,0.007037805725959245
100,2154,1,2154,0.008379175078041423,0.25,0.3656077736030903,0.03234898598056484,4.30720853805542,444,0.023969810902523418
100,10000,1,10000,0.455101905013906,0.25,0.126669961371359,0.444390905202828,7.943291425704956,252,0.010710999811078037
464,100,1,100,0.40045436939946727,0.25,0.2824892665897476,0.37678686710899073,0.21875238418579102,166,0.02366750229047654
464,464,1,464,0.47884823111400965,0.25,0.9795847981238273,0.48976946795636006,0.2914927005767822,274,0.010921236842350412
464,2154,1,2154,0.2722932934599663,0.25,0.0852202191457737,0.2690459698494308,1.2746694087982178,118,0.0032473236105354797
464,10000,1,10000,0.4056443790289567,0.25,0.11013238558456238,0.3999118210363563,5.8669960498809814,195,0.005732557992600418
2154,100,1,100,0.1226606813407351,0.25,0.4436108690627877,0.12149152134107379,0.14620304107666016,186,0.001169159999661315
2154,464,1,464,0.08130761163752082,0.25,0.3708361946574189,0.08043578527052399,0.3511960506439209,261,0.0008718263669968279
2154,2154,1,2154,0.19646332789795595,0.25,0.025197890585360195,0.19644138610415288,2.3442487716674805,125,2.194179380307637e-05
2154,10000,1,10000,0.20169279199437357,0.25,0.12648728711030152,0.19940288546219884,5.121619462966919,121,0.002289906532174729
10000,100,1,100,0.1666567022938527,0.25,0.706196701965199,0.1400177920018978,0.16502070426940918,165,0.02663891029195492
10000,464,1,464,0.20816210122847822,0.25,0.09636005509935419,0.21033117808215596,0.2722620964050293,128,0.0021690768536777316
10000,2154,1,2154,0.014298637568785466,0.25,0.009779777561642866,0.033587878292715825,6.8620500564575195,425,0.01928924072393036
10000,10000,1,10000,0.24384152267584952,0.25,0.13941394789712044,0.24266777674264248,3.110677480697632,98,0.0011737459332070432
100,100,2,200,0.038513423069230224,0.25,0.3094295130813094,0.04480397087245783,0.280350923538208,375,0.006290547803227603
100,464,2,928,0.39859136114108096,0.25,0.26931866558166984,0.3972603600355739,0.2623114585876465,200,0.0013310011055070459
100,2154,2,4308,0.3196723930404659,0.25,0.3280605990388045,0.31662820345043824,2.401857376098633,142,0.0030441895900276683
100,10000,2,20000,0.4616917954239458,0.25,0.014945682577335417,0.4569999286709198,9.063960552215576,272,0.004691866753025964
464,100,2,200,0.3955443636573152,0.25,0.7740494641320645,0.391204144505342,0.19951128959655762,190,0.00434021915197319
464,464,2,928,0.10943598337800808,0.25,0.7133373014058977,0.11322152711483206,0.28252506256103516,205,0.003785543736823979
464,2154,2,4308,0.13449244489784656,0.25,0.3222272402162837,0.13420281902340525,2.7490639686584473,168,0.0002896258744413127
464,10000,2,20000,0.010483424333675773,0.25,0.03877246993698602,0.03465196268347054,15.852579593658447,422,0.024168538349794766
2154,100,2,200,0.15948639153247635,0.25,0.12441380346232622,0.15812822747654068,0.11334943771362305,141,0.0013581640559356678
2154,464,2,928,0.4599564308407101,0.25,0.3880927601686607,0.46108097251653446,0.36937546730041504,255,0.0011245416758243754
2154,2154,2,4308,0.38997055990542095,0.25,0.01093662869201532,0.3880474045056248,2.494997262954712,180,0.0019231553997961504
2154,10000,2,20000,0.2421264222256374,0.25,0.06315837366474096,0.2414307326048059,3.101818799972534,103,0.0006956896208314967
10000,100,2,200,0.05889779614878382,0.25,0.7286189371991273,0.05910990257969946,0.2648305892944336,339,0.00021210643091564008
10000,464,2,928,0.415952997738682,0.25,0.23153946856744378,0.4156732924732295,0.3880143165588379,207,0.0002797052654525123
10000,2154,2,4308,0.14311884882048354,0.25,0.4525011736079519,0.1435106630566138,2.83658766746521,153,0.00039181423613027233
10000,10000,2,20000,0.248734503400375,0.25,0.04739977693490233,0.24912239730475239,16.989545106887817,500,0.0003878939043773788
100,100,4,400,0.02608631771523595,0.25,0.6754024291310317,0.04014545018242705,0.2700316905975342,407,0.0140591324671911
100,464,4,1856,0.28559727806998064,0.25,0.7823298540582038,0.2860450351339108,0.24431633949279785,128,0.00044775706393013204
100,2154,4,8616,0.20702868069515862,0.25,0.08656614908885558,0.21003804551207841,2.0385427474975586,130,0.003009364816919796
100,10000,4,40000,0.03733600631446665,0.25,0.009246125634393915,0.04635153283095164,13.160929441452026,383,0.00901552651648499
464,100,4,400,0.46536023522985076,0.25,0.7950531307568744,0.4578192203031577,0.19959545135498047,257,0.007541014926693068
464,464,4,1856,0.24696218842916257,0.25,0.45902683634028496,0.2447599464833777,0.7413403987884521,500,0.0022022419457848608
464,2154,4,8616,0.02086385794544543,0.25,0.11241459487070067,0.03813480479817687,4.72719669342041,408,0.017270946852731443
464,10000,4,40000,0.12837305217811396,0.25,0.047616872875399015,0.127960747198172,6.103174209594727,178,0.00041230497994196313
2154,100,4,400,0.16157685413557737,0.25,0.71947213764169,0.1544038265744368,0.11140990257263184,138,0.007173027561140577
2154,464,4,1856,0.4361806245660532,0.25,0.5430639694109785,0.43813063165094857,0.31462621688842773,230,0.0019500070848953444
2154,2154,4,8616,0.191533763630218,0.25,0.18882648972484478,0.19163738478538866,2.256488561630249,128,0.00010362115517065229
2154,10000,4,40000,0.2964031605112847,0.25,0.020607264770251727,0.2963875969857439,4.965932369232178,122,1.556352554077378e-05
10000,100,4,400,0.15161911628398922,0.25,0.30238119061149393,0.1565484555129875,0.13022661209106445,138,0.00492933922899827
10000,464,4,1856,0.3053959173153629,0.25,0.4038305724199557,0.3072093299358243,0.2684645652770996,130,0.0018134126204613632
10000,2154,4,8616,0.32046635537859747,0.25,0.01798160465296294,0.3205694434214567,2.617744207382202,112,0.00010308804285924511
10000,10000,4,40000,0.24070464760505877,0.25,0.039444973072737345,0.24133451697260933,3.630378484725952,103,0.0006298693675505507
100,100,1,100,0.05799722499720139,0.25,0.7235344614641739,0.05362803567381748,0.309354305267334,364,0.004369189323383912
100,464,1,464,0.43077994814405174,0.25,0.9402381779554039,0.435288480954202,0.285825252532959,218,0.004508532810150234
100,2154,1,2154,0.28579535819460894,0.25,0.3505832199765794,0.2864439092545175,2.3452396392822266,125,0.0006485510599085753
100,10000,1,10000,0.4699530656636032,0.25,0.024038340780738323,0.46749077791947197,10.071090936660767,285,0.0024622877441312085
464,100,1,100,0.2602986541581997,0.25,0.7027474645630438,0.24228399770729556,0.4308786392211914,500,0.018014656450904137
464,464,1,464,0.13002973790888078,0.25,0.2441253724740471,0.13903095089857223,0.20315098762512207,163,0.009001212989691448
464,2154,1,2154,0.3236516263199321,0.25,0.2337504588594422,0.3223654419820998,1.773179531097412,113,0.0012861843378322857
464,10000,1,10000,0.19548896905940416,0.25,0.19875329457046226,0.19597989552667652,3.8087003231048584,125,0.0004909264672723623
2154,100,1,100,0.24398267613582153,0.25,0.09138536391333252,0.2348937342168656,0.3842291831970215,500,0.009088941918955928
2154,464,1,464,0.3741797281697592,0.25,0.8168513593563402,0.36724852143588715,0.25574302673339844,161,0.006931206733872042
2154,2154,1,2154,0.21782481933784226,0.25,0.8277237428054212,0.21940664757883763,1.755894422531128,119,0.00158182824099537
2154,10000,1,10000,0.3822266715468314,0.25,0.14107932713978147,0.3771093958443133,6.118109941482544,169,0.005117275702518076
10000,100,1,100,0.3789191405997518,0.25,0.7491860293294568,0.3558618807137027,0.11585831642150879,135,0.023057259886049064
10000,464,1,464,0.012484597492238847,0.25,0.6273971003508125,0.03556665553260447,0.6323206424713135,417,0.023082058040365623
10000,2154,1,2154,0.34622772603592594,0.25,0.8473503793391532,0.3435411126407158,3.033482551574707,134,0.0026866133952101467
10000,10000,1,10000,0.38663864454850455,0.25,0.09415333128843353,0.3861884635916603,6.743004560470581,180,0.0004501809568442372
100,100,2,200,0.48542233897616327,0.25,0.8230133734508707,0.493665156406431,0.31900620460510254,339,0.008242817430267724
100,464,2,928,0.4810546360368966,0.25,0.3558570110960222,0.4778734381387595,0.4074125289916992,275,0.003181197898137089
100,2154,2,4308,0.13280281289403995,0.25,0.17600506050282733,0.13462930970805137,2.1881799697875977,190,0.0018264968140114246
100,10000,2,20000,0.05862173427511208,0.25,0.022694529975048817,0.062462529120404404,8.409135818481445,312,0.003840794845292324
464,100,2,200,0.20035047839549636,0.25,0.32538238565798716,0.20352944418909685,0.11906790733337402,114,0.0031789657936004967
464,464,2,928,0.002654155552657411,0.25,0.4777306096932865,0.03295296382950062,0.5183868408203125,428,0.03029880827684321
464,2154,2,4308,0.20284550898621967,0.25,0.25363814092574616,0.2040187323571464,1.495621681213379,116,0.0011732233709267348
464,10000,2,20000,0.22512799287028767,0.25,0.003307530735625386,0.22368380377374883,5.018057346343994,113,0.0014441890965388449
2154,100,2,200,0.0499181738138505,0.25,0.08979430916757292,0.05495964820911368,0.3190600872039795,336,0.0050414743952631805
2154,464,2,928,0.06701296129321804,0.25,0.20441681221743024,0.06842829105496312,0.4933454990386963,297,0.0014153297617450766
2154,2154,2,4308,0.48989659397070023,0.25,0.391615359940166,0.4873883326109999,5.538946151733398,295,0.0025082613597003367
2154,10000,2,20000,0.34191121701477867,0.25,0.030232766843719474,0.34178106621990023,4.154044151306152,130,0.0001301507948784364
10000,100,2,200,0.27694303747547655,0.25,0.5877068663157754,0.2632158574574108,0.35683107376098633,500,0.013727180018065777
10000,464,2,928,0.4725879600404644,0.25,0.4968235037505744,0.47727925358389695,0.4117708206176758,274,0.004691293543432562
10000,2154,2,4308,0.2241901530385526,0.25,0.43654998205559625,0.22387703935934505,2.1247799396514893,126,0.00031311367920755506
10000,10000,2,20000,0.16555086610366704,0.25,0.09491502354652906,0.16392898047560983,5.9111363887786865,130,0.001621885628057207
100,100,4,400,0.16773529981239305,0.25,0.5874929150801922,0.1790647942292644,0.16703557968139648,116,0.011329494416871366
100,464,4,1856,0.4130181103422644,0.25,0.4982991296606375,0.41280280120555224,0.2759695053100586,216,0.00021530913671213847
100,2154,4,8616,0.3407628424549946,0.25,0.16902111115980942,0.3080144982977489,6.6045777797698975,500,0.0327483441572457
100,10000,4,40000,0.4656838054757061,0.25,0.01616784816289827,0.4624362707812255,10.061860084533691,268,0.0032475346944805805
