ensemble_size,calibration_batches,edge_per_t,T,real_epsilon,mu,rho,epsilon_msm,time_msm,abs_error_msm,rel_error_msm,epsilon_pgabm,time_pgabm,abs_error_pgabm,rel_error_pgabm,num_epochs
1,400,64,256,0.028421636577917075,0.1,16,0.0684,29.87503743171692,0.03997836342208293,1.4066172196834417,0.03437313223684654,0.08479690551757812,0.005951495658929468,0.2094001744978203,129.0
1,400,64,512,0.2701792998711322,0.1,16,0.30095000000000005,58.34517240524292,0.030770700128867845,0.11388992474088351,0.2705556124185966,0.032204627990722656,0.0003763125474643969,0.0013928252373290153,32.0
1,400,1,16,0.4009484387061632,0.1,16,0.34636,2.9178974628448486,0.0545884387061632,0.13614827602850094,0.3562323110140148,0.019484519958496094,0.04471612769214839,0.11152588057567871,54.0
1,400,1,32,0.4377811280193039,0.1,16,0.46010000000000006,4.312876224517822,0.022318871980696153,0.0509818047243736,0.467006568568259,0.05400514602661133,0.029225440548955095,0.06675810965443536,147.0
1,400,1,64,0.22302783326716485,0.1,16,0.18478000000000003,7.14152193069458,0.03824783326716483,0.1714935427873156,0.22376431285694348,0.011560440063476562,0.0007364795897786269,0.0033021869019208856,32.0
1,400,1,128,0.10337302243739466,0.1,16,0.11005000000000001,12.762055397033691,0.006676977562605352,0.06459110322182077,0.11805338620342239,0.025412797927856445,0.01468036376602773,0.14201349075304953,68.0
1,400,1,256,0.46736864064542005,0.1,16,0.46579000000000004,24.071705102920532,0.0015786406454200153,0.003377720514666895,0.4562615941214004,0.0437014102935791,0.01110704652401967,0.0237650658561114,115.0
1,400,1,512,0.37460535317997457,0.1,16,0.36491,46.575658082962036,0.009695353179974553,0.02588151263101822,0.36746326540403806,0.02387523651123047,0.007142087775936501,0.019065631911846098,62.0
1,400,4,16,0.4997076522477988,0.1,16,0.21838000000000002,3.2448160648345947,0.28132765224779877,0.5629844789895111,0.46360287314798093,0.04878830909729004,0.03610477909981785,0.07225180350432965,132.0
1,400,4,32,0.08142388573419507,0.1,16,0.14465,5.002214431762695,0.06322611426580493,0.7765057353342727,0.08021864756740717,0.022561073303222656,0.0012052381667879003,0.01480202223119578,60.0
1,400,4,64,0.15168209488864248,0.1,16,0.034980000000000004,8.533851385116577,0.11670209488864247,0.7693860964560082,0.14089770539910085,0.021686315536499023,0.010784389489541635,0.07109863229050865,58.0
1,400,4,128,0.2607984715981969,0.1,16,0.25326000000000004,15.575510025024414,0.007538471598196872,0.028905351906398945,0.259661684244802,0.017088890075683594,0.001136787353394897,0.004358872758833899,45.0
1,400,4,256,0.2811880793319207,0.1,16,0.25352,29.785489559173584,0.02766807933192067,0.09839705650985528,0.29273824816402916,0.012815237045288086,0.011550168832108465,0.0410763104166816,33.0
1,400,4,512,0.18819383770017084,0.1,16,0.18738000000000002,57.8628408908844,0.0008138377001708219,0.004324465190339668,0.1887096359254691,0.016687393188476562,0.000515798225298264,0.002740781694032035,40.0
