ensemble_size,calibration_batches,edge_per_t,evidences_per_t,T,real_epsilon,mu,rho,epsilon_msm,time_msm,abs_error_msm,rel_error_msm,epsilon_pgabm,time_pgabm,abs_error_pgabm,rel_error_pgabm,X0_r2,X0_mae,X0_mse,num_epochs
1,200,1,4,16,0.018034209468501594,0.1,16,0.02834,2.773918628692627,0.010305790531498406,0.5714578479028104,0.028540905615699545,1.11159348487854,0.010506696147197951,0.5825980986607072,-0.05782032012939453,0.324626088142395,0.16626793146133423,201.0
1,200,1,4,32,0.39215655291954793,0.1,16,0.38882000000000005,3.6592252254486084,0.003336552919547875,0.008508216666807499,0.24320971611607914,1.1410980224609375,0.1489468368034688,0.37981473392343307,0.3710803985595703,0.2614347040653229,0.11145628243684769,108.0
1,200,1,4,64,0.19909222680360472,0.1,16,0.17149,5.4547178745269775,0.027602226803604718,0.13864040423252205,0.25293667602420566,1.37664794921875,0.05384444922060094,0.2704497814157054,0.49656015634536743,0.20148298144340515,0.0764705240726471,66.0
1,200,1,4,128,0.10308052873693974,0.1,16,0.10220000000000001,9.013485431671143,0.000880528736939723,0.00854214416368412,0.1336040712873208,4.140449523925781,0.03052354255038106,0.2961135621284673,0.5837098956108093,0.17124015092849731,0.04836385324597359,93.0
1,200,1,4,256,0.43380876230135823,0.1,16,0.45197000000000004,16.177947759628296,0.018161237698641808,0.04186461703146872,0.47459088009677464,19.04196333885193,0.040782117795416406,0.0940094376588131,0.802504301071167,0.0983072817325592,0.016974909231066704,201.0
1,200,1,4,512,0.026852245924102458,0.1,16,0.016700000000000003,30.725386142730713,0.010152245924102455,0.3780780927151365,0.04208439157872477,37.537500619888306,0.01523214565462231,0.5672577890756617,0.8970552086830139,0.07969813793897629,0.010593336075544357,146.0
1,200,1,8,16,0.05778720388196834,0.1,16,0.15484,2.7407126426696777,0.09705279611803166,1.6794859345723696,0.07466913120653162,0.26850271224975586,0.016881927324563284,0.29213954284836136,0.17065483331680298,0.3142068088054657,0.15177689492702484,49.0
1,200,1,8,32,0.057960811066039064,0.1,16,0.0077800000000000005,3.637859344482422,0.05018081106603906,0.8657713745389851,0.0895898519882464,0.9760260581970215,0.031629040922207335,0.5456970035524523,0.4867219924926758,0.20872944593429565,0.07299074530601501,93.0
1,200,1,8,64,0.38044128315862014,0.1,16,0.3507,5.430413722991943,0.029741283158620124,0.07817575135824541,0.47569369302228093,4.232726097106934,0.09525240986366079,0.2503734848984476,0.6601218581199646,0.1552438586950302,0.04006993770599365,201.0
1,200,1,8,128,0.07522076517187748,0.1,16,0.060610000000000004,8.995402574539185,0.014610765171877475,0.19423845448118296,0.051759283495821304,6.98494815826416,0.023461481676056176,0.3119016620270653,0.8234579563140869,0.11023059487342834,0.01930130645632744,160.0
1,200,1,8,256,0.2040158328306012,0.1,16,0.28031,16.197870016098022,0.0762941671693988,0.37396199163006877,0.21991154566539406,7.867688179016113,0.015895712834792852,0.07791411389130475,0.8968827128410339,0.0738728940486908,0.008349253796041012,84.0
1,200,1,8,512,0.1709651814484407,0.1,16,0.12017000000000001,30.60516047477722,0.05079518144844068,0.2971083411142367,0.16786075166017847,13.673303365707397,0.003104429788262225,0.018158257499925223,0.9418632388114929,0.05879141017794609,0.005758937448263168,54.0
1,200,1,16,16,0.1516390645823133,0.1,16,0.2625,2.7335965633392334,0.11086093541768671,0.7310842738515362,0.20737146480692042,0.8685765266418457,0.055732400224607126,0.36753326313454177,0.43913328647613525,0.21865558624267578,0.0797148197889328,156.0
1,200,1,16,32,0.058883503367072654,0.1,16,0.021890000000000003,3.6250858306884766,0.03699350336707265,0.6282490214017942,0.013332330735043888,2.113436460494995,0.045551172632028764,0.7735812244062357,0.7258486747741699,0.14511872828006744,0.03723079711198807,201.0
1,200,1,16,64,0.14314092992186683,0.1,16,0.15337,5.41451358795166,0.010229070078133173,0.07146153153899928,0.21121217193381703,1.8829967975616455,0.0680712420119502,0.47555400156410005,0.823955774307251,0.10584309697151184,0.018909703940153122,90.0
1,200,1,16,128,0.03833038159710661,0.1,16,0.04403000000000001,8.986161470413208,0.005699618402893396,0.1486971474169627,0.056929314815896394,4.736638069152832,0.018598933218789783,0.4852269255830663,0.8808507323265076,0.08018612861633301,0.011046302504837513,107.0
1,200,1,16,256,0.24056995576851553,0.1,16,0.24662000000000003,16.16451120376587,0.006050044231484503,0.025148793880587723,0.23246928287894877,6.4527692794799805,0.008100672889566757,0.03367283692466359,0.9295021295547485,0.05749760940670967,0.006188149563968182,69.0
1,200,1,16,512,0.3156242918911538,0.1,16,0.34576,30.525033712387085,0.030135708108846193,0.09547968544588067,0.2985696886407166,17.96219301223755,0.017054603250437228,0.05403450776316887,0.9520276188850403,0.05492474511265755,0.004893906880170107,70.0
1,200,4,4,16,0.3231212279404777,0.1,16,0.38531000000000004,2.8765532970428467,0.062188772059522335,0.19246266318032856,0.26594189146203445,1.0814735889434814,0.057179336478443255,0.17695939336110805,-0.11628997325897217,0.3393346667289734,0.18347495794296265,164.0
1,200,4,4,32,0.12508319559883918,0.1,16,0.0227,3.9211673736572266,0.10238319559883918,0.8185207861749683,0.16740283729703762,1.2239117622375488,0.042319641698198435,0.33833195175092867,-0.021186113357543945,0.2937105894088745,0.14521512389183044,114.0
1,200,4,4,64,0.3361628228870514,0.1,16,0.4781,6.013553619384766,0.14193717711294862,0.422227466719717,0.3810262752376513,1.7896020412445068,0.04486345235059991,0.1334575071844686,0.8408138155937195,0.10649613291025162,0.018776509910821915,82.0
1,200,4,4,128,0.48162610998966515,0.1,16,0.48392,10.190683126449585,0.0022938900103348647,0.004762802436902949,0.47833581854947743,9.404314279556274,0.0032902914401877204,0.0068316301212538585,0.8414402008056641,0.09370946139097214,0.014774353243410587,201.0
1,200,4,4,256,0.15519277579990587,0.1,16,0.16842000000000001,18.61540985107422,0.013227224200094145,0.08523092735417243,0.17261877338184736,6.239861249923706,0.017425997581941494,0.11228613891415469,0.9051622152328491,0.07486742734909058,0.009525430388748646,65.0
1,200,4,4,512,0.019942783473279657,0.1,16,0.03316,35.73266124725342,0.013217216526720345,0.662756858611509,0.028691612846031226,43.416359424591064,0.008748829372751569,0.43869650314730085,0.9502612352371216,0.05384252592921257,0.005076433531939983,201.0
1,200,4,8,16,0.24730000394880758,0.1,16,0.37358,2.8937530517578125,0.12627999605119244,0.5106348323283209,0.228511713793334,0.9185924530029297,0.01878829015547359,0.07597367511309408,0.1350427269935608,0.2692781090736389,0.12310449779033661,158.0
1,200,4,8,32,0.4320685670072445,0.1,16,0.12523,3.932980537414551,0.3068385670072445,0.710161743846781,0.4472707647469935,1.0864717960357666,0.015202197739749013,0.03518468803469824,0.35302937030792236,0.21599100530147552,0.07932665199041367,98.0
1,200,4,8,64,0.2720726052922747,0.1,16,0.11330000000000001,6.028338193893433,0.15877260529227472,0.5835670413113176,0.2976483186701782,2.122898578643799,0.025575713377903486,0.09400326560047716,0.8043767809867859,0.10660076141357422,0.01926673948764801,97.0
1,200,4,8,128,0.010873152126840091,0.1,16,0.018230000000000003,10.229854106903076,0.007356847873159912,0.676606727040977,0.027136970820873102,8.21174955368042,0.01626381869403301,1.4957777196813242,0.8132774829864502,0.10042030364274979,0.018212895840406418,188.0
