ensemble_size,calibration_batches,edge_per_t,T,real_epsilon,mu,rho,estimated_epsilon,time_calibration
4,200,4,128,0.18829015737288723,0.48689176917916127,16,0.1317,70.85718631744385
4,200,16,32,0.3509382648781552,0.12017781242456943,16,0.3317,19.5842502117157
4,200,16,64,0.46843419065454683,0.4221649742828566,16,0.44870000000000004,37.69275236129761
4,200,16,128,0.01855633224699721,0.34692770568694986,16,0.075,83.63426232337952
4,200,64,32,0.3203913522259231,0.4006653516015963,16,0.35900000000000004,21.668526649475098
4,200,64,64,0.19603293446519343,0.14193375798670133,16,0.2194,46.90888547897339
4,200,64,128,0.3465471722506898,0.33427536201144525,16,0.3428,116.51660180091858
4,400,1,32,0.129059996357699,0.13780944817718993,16,0.08600000000000001,33.583069801330566
4,400,1,64,0.21055381250252608,0.47894476507525097,16,0.1355,61.25893425941467
4,400,1,128,0.20708963476345132,0.02497672947304358,16,0.11660000000000001,119.77207803726196
4,400,4,32,0.42101544617980285,0.06208665755995557,16,0.3529,38.44727921485901
4,400,4,64,0.430013974341444,0.2694155321708264,16,0.3819,72.10569643974304
4,400,4,128,0.18829015737288723,0.48689176917916127,16,0.1061,143.73657822608948
4,400,16,32,0.3509382648781552,0.12017781242456943,16,0.23220000000000002,39.07394003868103
4,400,16,64,0.46843419065454683,0.4221649742828566,16,0.4615,76.9401867389679
4,400,16,128,0.01855633224699721,0.34692770568694986,16,0.0044,165.5608651638031
4,400,64,32,0.3203913522259231,0.4006653516015963,16,0.373,44.62343907356262
4,400,64,64,0.19603293446519343,0.14193375798670133,16,0.1738,95.37691950798035
4,400,64,128,0.3465471722506898,0.33427536201144525,16,0.34400000000000003,230.86394667625427
1,100,1,32,0.129059996357699,0.13780944817718993,16,0.0659,2.3364319801330566
1,100,1,64,0.21055381250252608,0.47894476507525097,16,0.12480000000000001,4.1211323738098145
1,100,1,128,0.20708963476345132,0.02497672947304358,16,0.1262,7.572999000549316
1,100,4,32,0.42101544617980285,0.06208665755995557,16,0.14500000000000002,2.5923759937286377
1,100,4,64,0.430013974341444,0.2694155321708264,16,0.1666,4.804106950759888
1,100,4,128,0.18829015737288723,0.48689176917916127,16,0.1763,9.319865703582764
