N,T,edge_per_t,tot_edges,epsilon,epsilon0,mu,epsilon_pgabm,time_pgabm,epsilon_msm,time_msm,calibration_batches,distance_pgabm,distance_msm
2154,100,1,100,0.13015754928927048,0.25,0.5564069156709253,0.16497007136244865,0.07885360717773438,0.1285,1.2209258079528809,100,0.03481252207317817,0.0016575492892704768
2154,464,1,464,0.4023772818716727,0.25,0.3763632166870875,0.40505809984176055,0.26505136489868164,0.4204,0.5024318695068359,20,0.0026808179700878454,0.018022718128327286
2154,464,1,464,0.09671714131166387,0.25,0.9950523223391111,0.1343992100177773,0.1713569164276123,0.08950000000000001,1.2609014511108398,50,0.03768206870611343,0.007217141311663858
2154,464,1,464,0.31973044043997007,0.25,0.05836264614763165,0.3362558816388081,0.11970996856689453,0.32030000000000003,2.5242557525634766,100,0.01652544119883803,0.0005695595600299641
2154,2154,1,2154,0.26233515456186685,0.25,0.4797644937489435,0.28359830155513843,0.4071972370147705,0.2519,2.791903257369995,20,0.021263146993271587,0.010435154561866833
2154,2154,1,2154,0.46240398519967535,0.25,0.028873793366339696,0.4707181116730184,1.4313650131225586,0.46680000000000005,6.365627765655518,50,0.008314126473343064,0.004396014800324699
2154,2154,1,2154,0.1316483852435555,0.25,0.5303395907021666,0.16474891495944097,0.48391175270080566,0.13290000000000002,12.80901551246643,100,0.03310052971588548,0.0012516147564445301
2154,10000,1,10000,0.03298054534201189,0.25,0.03609370179902312,0.09643486366680082,2.9221298694610596,0.059300000000000005,30.23177933692932,20,0.06345431832478893,0.026319454657988114
2154,10000,1,10000,0.36753298164433473,0.25,0.1261918400679061,0.37916080050070544,3.002002000808716,0.3655,75.87592244148254,50,0.011627818856370709,0.0020329816443347415
2154,10000,1,10000,0.3860890147716234,0.25,0.1961847351501163,0.3950697800757391,3.386681079864502,0.3871,151.83758687973022,100,0.008980765304115734,0.0010109852283766152
10000,100,1,100,0.453907926251762,0.25,0.8749025512123809,0.479215469401177,0.26031064987182617,0.47390000000000004,0.24494481086730957,20,0.02530754314941497,0.019992073748238026
10000,100,1,100,0.46598603459841864,0.25,0.45183624942087064,0.4420226981183653,0.19669151306152344,0.45320000000000005,0.611320972442627,50,0.023963336480053332,0.012786034598418594
10000,100,1,100,0.006975786487798508,0.25,0.7084608700517172,0.25,0.018280982971191406,0.0013000000000000002,1.2411761283874512,100,0.2430242135122015,0.005675786487798508
10000,464,1,464,0.11718104306071025,0.25,0.7774687500031893,0.16659632814061348,0.25307393074035645,0.12150000000000001,0.502697229385376,20,0.049415285079903226,0.004318956939289756
10000,464,1,464,0.3083891785008288,0.25,0.4948430841825636,0.32979244271080616,0.11621618270874023,0.32080000000000003,1.254140853881836,50,0.021403264209977346,0.01241082149917122
10000,464,1,464,0.4745081603438082,0.25,0.5285334901775651,0.4824298990385555,0.46271657943725586,0.47400000000000003,2.530967950820923,100,0.007921738694747271,0.0005081603438081839
10000,2154,1,2154,0.47508805962353984,0.25,0.14000408391104233,0.48127335821114486,1.4424967765808105,0.43920000000000003,2.561405658721924,20,0.006185298587605026,0.0358880596235398
10000,2154,1,2154,0.2783265940975782,0.25,0.3429897173741005,0.30065131006605145,0.379946231842041,0.27240000000000003,6.415543556213379,50,0.02232471596847324,0.005926594097578175
10000,2154,1,2154,0.45780317488313726,0.25,0.13205315977046114,0.4645909564771153,1.3325927257537842,0.4551,13.088404893875122,100,0.006787781593978026,0.0027031748831372604
10000,10000,1,10000,0.32078310447316877,0.25,0.14537875066891254,0.33742709874756655,1.6769816875457764,0.3134,29.80225110054016,20,0.016643994274397778,0.007383104473168756
