ensemble_size,calibration_batches,edge_per_t,T,real_epsilon,mu,rho,estimated_epsilon,time_calibration,distance_epsilon
1,400,64,64,0.04300396978595,0.26813364611120355,16,0.0102,8.512831926345825,0.03280396978595
1,400,64,128,0.49936086916894357,0.41705131574728505,16,0.4903,15.48251986503601,0.009060869168943553
1,400,64,256,0.0536512376464397,0.43290908816773027,16,0.035,29.5293128490448,0.018651237646439695
1,400,1,16,0.2876215161974155,0.21993818396437959,16,0.2121,2.8485448360443115,0.07552151619741548
1,400,1,32,0.20168678913947452,0.13758595553249192,16,0.11170000000000001,4.2182776927948,0.08998678913947451
1,400,1,64,0.2777183734715068,0.19334214068042638,16,0.26480000000000004,6.947197437286377,0.012918373471506761
1,400,1,128,0.09467637094537451,0.17259939116280393,16,0.1028,12.412230491638184,0.008123629054625492
1,400,1,256,0.030276657228128334,0.23636474039551225,16,0.0028,23.366002559661865,0.027476657228128334
1,400,4,16,0.30330607315398767,0.19701833177437955,16,0.0364,3.189685106277466,0.2669060731539877
1,400,4,32,0.1998452368430727,0.29444680436955983,16,0.20850000000000002,4.868296384811401,0.008654763156927314
1,400,4,64,0.1369551823064873,0.13197391853306123,16,0.0947,8.28038501739502,0.04225518230648728
1,400,4,128,0.4652533768450123,0.175369939441674,16,0.4631,15.076815366744995,0.002153376845012267
1,400,4,256,0.2834483099450596,0.04391528274780304,16,0.255,28.77744436264038,0.02844830994505959
1,400,16,16,0.09083425008259738,0.2955507764401638,16,0.0466,3.1685667037963867,0.044234250082597376
1,400,16,32,0.30403497378258626,0.2620642573590599,16,0.1729,4.926856279373169,0.13113497378258626
1,400,16,64,0.11568875783004501,0.2974274532800989,16,0.14200000000000002,8.317291021347046,0.026311242169955007
1,400,16,128,0.050985004247222854,0.08528297819596681,16,0.0074,15.14000129699707,0.04358500424722285
1,400,16,256,0.26913497877960074,0.08317328649255012,16,0.2822,28.71426749229431,0.013065021220399264
1,400,64,16,0.4118915322588534,0.036684326265301825,16,0.46280000000000004,3.1849255561828613,0.05090846774114666
1,400,64,32,0.18733224840684992,0.4745566452095111,16,0.226,4.8965163230896,0.038667751593150085
1,400,64,64,0.040050886026364696,0.05112528754568835,16,0.0436,8.3619384765625,0.003549113973635304
1,400,64,128,0.36856846970806534,0.303644968188472,16,0.342,15.273162126541138,0.026568469708065312
1,400,64,256,0.2765165535461034,0.024898047700542547,16,0.2783,29.15233540534973,0.0017834464538966088
1,400,1,16,0.12156715326090062,0.48465252410674214,16,0.0063,2.851010799407959,0.11526715326090062
1,400,1,32,0.03496049347060526,0.07227049221452642,16,0.006500000000000001,4.227059841156006,0.02846049347060526
1,400,1,64,0.23543839989427068,0.28881144718215074,16,0.1787,6.974416971206665,0.05673839989427068
1,400,1,128,0.4989303865475163,0.4255359665460236,16,0.4394,12.425229549407959,0.0595303865475163
1,400,1,256,0.1524224420571622,0.2751371728524127,16,0.1474,23.42042827606201,0.0050224420571622075
1,400,4,16,0.09151491062668843,0.021973602507276868,16,0.1073,3.17429518699646,0.015785089373311578
1,400,4,32,0.16539168684616745,0.4711337421737777,16,0.018500000000000003,4.950746774673462,0.14689168684616744
