,N,T,edge_per_t,tot_edges,epsilon,epsilon0,mu,epsilon_pgabm,time_pgabm,epsilon_calibration,time_calibration,distance_pgabm_real,distance_calibration_real,compare_all_s,calibration_batches
366,1000,215,1,215,0.30857245681036194,0.331661225443024,0.5270581022576093,0.2919858459216236,0.04659843444824219,0.3309,2.554542303085327,0.016586610888738362,0.022327543189638088,True,10
367,1000,215,1,215,0.30857245681036194,0.331661225443024,0.5270581022576093,0.31388027522882134,0.04444146156311035,0.33,3.421517848968506,0.005307818418459398,0.021427543189638076,False,10
368,1000,215,1,215,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.0588127429362996,0.3184959888458252,0.079,5.113597631454468,0.008726836087066057,0.011460420976634342,True,20
369,1000,215,1,215,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.05905709661523851,0.305880069732666,0.08080000000000001,6.8266143798828125,0.00848248240812715,0.013260420976634352,False,20
370,1000,215,1,215,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.0495771045696023,0.3560957908630371,0.0738,12.816598415374756,0.01796247445376336,0.0062604209766343455,True,50
371,1000,215,1,215,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.05310626904579113,0.32560229301452637,0.0541,17.068557500839233,0.014433309977574527,0.013439579023365657,False,50
372,1000,464,1,464,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.06522771323837764,0.3526303768157959,0.0834,5.178339719772339,0.0023118657849880153,0.015860420976634343,True,10
373,1000,464,1,464,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.05852856438450302,0.32505273818969727,0.0704,6.959546327590942,0.009011014638862641,0.0028604209766343452,False,10
374,1000,464,1,464,0.13214874136345034,0.4547722946583827,0.31058725179421,0.11876357191239262,0.22163867950439453,0.1275,10.19088077545166,0.013385169451057721,0.004648741363450337,True,20
375,1000,464,1,464,0.13214874136345034,0.4547722946583827,0.31058725179421,0.12651712365079493,0.20159268379211426,0.1336,13.923594236373901,0.005631617712655412,0.0014512586365496571,False,20
376,1000,464,1,464,0.13214874136345034,0.4547722946583827,0.31058725179421,0.1234176126772816,0.2054598331451416,0.1277,25.55891752243042,0.008731128686168738,0.0044487413634503314,True,50
377,1000,464,1,464,0.13214874136345034,0.4547722946583827,0.31058725179421,0.1215707247598615,0.20807647705078125,0.13340000000000002,34.77737903594971,0.010578016603588841,0.0012512586365496792,False,50
378,1000,1000,1,1000,0.13214874136345034,0.4547722946583827,0.31058725179421,0.12080464836341111,0.28615903854370117,0.1277,10.606501340866089,0.011344093000039232,0.0044487413634503314,True,10
379,1000,1000,1,1000,0.13214874136345034,0.4547722946583827,0.31058725179421,0.12204176464962214,0.2821829319000244,0.1326,14.733828783035278,0.010106976713828195,0.00045125863654965626,False,10
380,1000,1000,1,1000,0.3872386330075398,0.3314524916533012,0.889827341447375,0.3718785502468837,0.0675199031829834,0.3688,21.24624991416931,0.01536008276065609,0.018438633007539784,True,20
381,1000,1000,1,1000,0.3872386330075398,0.3314524916533012,0.889827341447375,0.38181078685375114,0.07750821113586426,0.38670000000000004,29.38444972038269,0.005427846153788662,0.0005386330075397572,False,20
382,1000,1000,1,1000,0.3872386330075398,0.3314524916533012,0.889827341447375,0.376468786702809,0.07039165496826172,0.3539,52.97892498970032,0.010769846304730823,0.03333863300753981,True,50
383,1000,1000,1,1000,0.3872386330075398,0.3314524916533012,0.889827341447375,0.38229570236711097,0.06595158576965332,0.38980000000000004,73.36998319625854,0.004942930640428833,0.0025613669924602345,False,50
384,100,100,2,200,0.3872386330075398,0.3314524916533012,0.889827341447375,0.3845369987062945,0.04801011085510254,0.4082,2.416680335998535,0.002701634301245315,0.020961366992460206,True,10
385,100,100,2,200,0.3872386330075398,0.3314524916533012,0.889827341447375,0.38043028808904833,0.0482635498046875,0.3766,2.830193519592285,0.006808344918491471,0.01063863300753981,False,10
386,100,100,2,200,0.3083891785008288,0.4872540801719041,0.9501761192470797,0.30852524382790436,0.07997274398803711,0.3174,4.821180820465088,0.00013606532707555186,0.009010821499171207,True,20
387,100,100,2,200,0.3083891785008288,0.4872540801719041,0.9501761192470797,0.2849341324990033,0.09579157829284668,0.3035,5.648058176040649,0.02345504600182552,0.004889178500828817,False,20
388,100,100,2,200,0.3083891785008288,0.4872540801719041,0.9501761192470797,0.3019588489304958,0.09455323219299316,0.3113,12.010786056518555,0.0064303295703330154,0.0029108214991712122,True,50
389,100,100,2,200,0.3083891785008288,0.4872540801719041,0.9501761192470797,0.3006724601716661,0.10213279724121094,0.3297,14.13313889503479,0.007716718329162708,0.021310821499171184,False,50
390,100,215,2,430,0.3083891785008288,0.4872540801719041,0.9501761192470797,0.3075062882653733,0.091217041015625,0.3205,4.733432292938232,0.0008828902354555135,0.012110821499171198,True,10
391,100,215,2,430,0.3083891785008288,0.4872540801719041,0.9501761192470797,0.3146838496442256,0.08992552757263184,0.31720000000000004,5.679940700531006,0.006294671143396768,0.008810821499171229,False,10
392,100,215,2,430,0.1974252402303197,0.4367346239018813,0.45240482674645155,0.17998271481238945,0.15652871131896973,0.19390000000000002,9.443686723709106,0.01744252541793026,0.003525240230319693,True,20
393,100,215,2,430,0.1974252402303197,0.4367346239018813,0.45240482674645155,0.18898875265112,0.1797771453857422,0.1908,11.347200632095337,0.008436487579199708,0.006625240230319712,False,20
394,100,215,2,430,0.1974252402303197,0.4367346239018813,0.45240482674645155,0.1843979486159986,0.16584372520446777,0.19340000000000002,23.65257215499878,0.013027291614321118,0.004025240230319693,True,50
395,100,215,2,430,0.1974252402303197,0.4367346239018813,0.45240482674645155,0.18337260245643738,0.17722249031066895,0.1887,28.361528873443604,0.014052637773882326,0.008725240230319703,False,50
396,100,464,2,928,0.1974252402303197,0.4367346239018813,0.45240482674645155,0.177661748901616,0.2673614025115967,0.1834,9.920996189117432,0.019763491328703697,0.014025240230319702,True,10
397,100,464,2,928,0.1974252402303197,0.4367346239018813,0.45240482674645155,0.1828445018138753,0.21488237380981445,0.1956,11.877645254135132,0.014580738416444416,0.0018252402303197135,False,10
398,100,464,2,928,0.44299898558267564,0.3819046930778903,0.4090908319168599,0.43693839402776485,0.08030486106872559,0.4435,19.782158374786377,0.006060591554910788,0.0005010144173243636,True,20
399,100,464,2,928,0.44299898558267564,0.3819046930778903,0.4090908319168599,0.4478883746742397,0.07181954383850098,0.4612,23.68671751022339,0.004889389091564056,0.018201014417324357,False,20
400,100,464,2,928,0.44299898558267564,0.3819046930778903,0.4090908319168599,0.42874547773263566,0.07108664512634277,0.4334,49.209104776382446,0.014253507850039981,0.009598985582675634,True,50
401,100,464,2,928,0.44299898558267564,0.3819046930778903,0.4090908319168599,0.43225828760941704,0.06743335723876953,0.45630000000000004,59.126944065093994,0.010740697973258606,0.013301014417324397,False,50
402,100,1000,2,2000,0.44299898558267564,0.3819046930778903,0.4090908319168599,0.4446573230397639,0.08412647247314453,0.4388,21.09737753868103,0.0016583374570882659,0.004198985582675618,True,10
403,100,1000,2,2000,0.44299898558267564,0.3819046930778903,0.4090908319168599,0.4463897980507872,0.0888519287109375,0.4385,25.02364420890808,0.0033908124681115703,0.004498985582675641,False,10
404,100,1000,2,2000,0.015498979914127908,0.4866820674019881,0.5769778464775016,0.019021174244825273,0.8691887855529785,0.0181,42.01640558242798,0.0035221943306973647,0.002601020085872093,True,20
405,100,1000,2,2000,0.015498979914127908,0.4866820674019881,0.5769778464775016,0.018921530365878767,0.8659310340881348,0.0199,50.31126642227173,0.003422550451750859,0.004401020085872093,False,20
406,100,1000,2,2000,0.015498979914127908,0.4866820674019881,0.5769778464775016,0.018528873148232886,0.8669745922088623,0.0175,105.21073246002197,0.0030298932341049772,0.0020010200858720933,True,50
407,100,1000,2,2000,0.015498979914127908,0.4866820674019881,0.5769778464775016,0.019535511604971554,0.8357884883880615,0.0218,125.53159952163696,0.004036531690843646,0.006301020085872092,False,50
408,215,100,2,200,0.015498979914127908,0.4866820674019881,0.5769778464775016,0.013724297677318463,0.5495810508728027,0.0067,2.445366621017456,0.001774682236809445,0.008798979914127907,True,10
409,215,100,2,200,0.015498979914127908,0.4866820674019881,0.5769778464775016,0.02384051235965793,0.5745131969451904,0.0345,2.803298234939575,0.008341532445530021,0.019001020085872095,False,10
410,215,100,2,200,0.3083891785008288,0.4872540801719041,0.9501761192470797,0.2877510818582056,0.09225726127624512,0.3053,4.77605414390564,0.020638096642623227,0.003089178500828793,True,20
411,215,100,2,200,0.3083891785008288,0.4872540801719041,0.9501761192470797,0.2967189985614822,0.09481978416442871,0.30960000000000004,5.613542795181274,0.011670179939346603,0.001210821499171233,False,20
412,215,100,2,200,0.3083891785008288,0.4872540801719041,0.9501761192470797,0.30423717293928226,0.09199643135070801,0.3083,11.943660259246826,0.004152005561546546,8.917850082879042e-05,True,50
413,215,100,2,200,0.3083891785008288,0.4872540801719041,0.9501761192470797,0.2871006272169499,0.11607050895690918,0.3029,14.143501043319702,0.02128855128387891,0.005489178500828806,False,50
414,215,215,2,430,0.3083891785008288,0.4872540801719041,0.9501761192470797,0.29969065614866464,0.08957743644714355,0.3153,4.725553512573242,0.008698522352164173,0.006910821499171216,True,10
415,215,215,2,430,0.3083891785008288,0.4872540801719041,0.9501761192470797,0.30201779771899573,0.08013176918029785,0.3093,5.6476311683654785,0.00637138078183308,0.0009108214991712105,False,10
416,215,215,2,430,0.1974252402303197,0.4367346239018813,0.45240482674645155,0.17733905293537033,0.17202448844909668,0.1907,9.426874876022339,0.020086187294949376,0.006725240230319701,True,20
417,215,215,2,430,0.1974252402303197,0.4367346239018813,0.45240482674645155,0.17641189400738788,0.1682581901550293,0.19990000000000002,11.303283929824829,0.021013346222931828,0.0024747597696803125,False,20
418,215,215,2,430,0.1974252402303197,0.4367346239018813,0.45240482674645155,0.19568407460280496,0.1432654857635498,0.19,23.729376316070557,0.0017411656275147513,0.007425240230319707,True,50
419,215,215,2,430,0.1974252402303197,0.4367346239018813,0.45240482674645155,0.18380856720085356,0.15230298042297363,0.193,28.290259838104248,0.013616673029466148,0.004425240230319705,False,50
