N,T,edge_per_t,evidences_per_t,optimizer_name,lr,model_name,epsilon_estimated,time,num_epochs,X0_mse,real_epsilon,mu,rho,distance_epsilon
100,20,4,25,adagrad,0.0005,simple_BC,0.25251726007667863,0.07094407081604004,201,,0.33367421747465714,0.4903787362789922,15,0.08115695739797851
100,20,4,25,adagrad,0.0005,BC_with_evidence,0.24748574362371756,7.99714207649231,201,0.16963915526866913,0.33367421747465714,0.4903787362789922,15,0.08618847385093958
100,20,4,25,adagrad,0.0005,BC_observed_positive,0.2525127219633658,0.5266923904418945,201,,0.33367421747465714,0.4903787362789922,15,0.08116149551129132
100,20,4,25,adagrad,0.001,simple_BC,0.2550319476801225,0.07141494750976562,201,,0.33367421747465714,0.4903787362789922,15,0.07864226979453465
100,20,4,25,adagrad,0.001,BC_with_evidence,0.24505181341929588,5.227113485336304,201,0.147769495844841,0.33367421747465714,0.4903787362789922,15,0.08862240405536126
100,20,4,25,adagrad,0.001,BC_observed_positive,0.25501666414353474,0.5863239765167236,201,,0.33367421747465714,0.4903787362789922,15,0.0786575533311224
100,20,4,25,adagrad,0.005,simple_BC,0.2748638718989213,0.07551693916320801,201,,0.33367421747465714,0.4903787362789922,15,0.058810345575735834
100,20,4,25,adagrad,0.005,BC_with_evidence,0.22770395093484538,4.5240478515625,201,0.15909162163734436,0.33367421747465714,0.4903787362789922,15,0.10597026653981176
100,20,4,25,adagrad,0.005,BC_observed_positive,0.27488792100055504,0.5186953544616699,201,,0.33367421747465714,0.4903787362789922,15,0.05878629647410211
100,20,4,25,adagrad,0.01,simple_BC,0.29788875302709106,0.08090329170227051,201,,0.33367421747465714,0.4903787362789922,15,0.035785464447566084
100,20,4,25,adagrad,0.01,BC_with_evidence,0.20521081367483693,5.473290920257568,201,0.1817374974489212,0.33367421747465714,0.4903787362789922,15,0.1284634037998202
100,20,4,25,adagrad,0.01,BC_observed_positive,0.29783585562343146,0.5136215686798096,201,,0.33367421747465714,0.4903787362789922,15,0.035838361851225686
100,20,4,25,nadam,0.0001,simple_BC,0.2536800076231434,0.08199143409729004,201,,0.33367421747465714,0.4903787362789922,15,0.07999420985151373
100,20,4,25,nadam,0.0001,BC_with_evidence,0.24631539548302797,4.049387693405151,201,0.1562383770942688,0.33367421747465714,0.4903787362789922,15,0.08735882199162917
100,20,4,25,nadam,0.0001,BC_observed_positive,0.25365925478751666,0.5429816246032715,201,,0.33367421747465714,0.4903787362789922,15,0.08001496268714048
100,20,4,25,nadam,0.0005,simple_BC,0.2681668233295635,0.08501982688903809,201,,0.33367421747465714,0.4903787362789922,15,0.06550739414509366
100,20,4,25,nadam,0.0005,BC_with_evidence,0.23234969749249001,5.282660007476807,201,0.16060714423656464,0.33367421747465714,0.4903787362789922,15,0.10132451998216713
100,20,4,25,nadam,0.0005,BC_observed_positive,0.26803165625435055,0.5160372257232666,201,,0.33367421747465714,0.4903787362789922,15,0.0656425612203066
100,20,4,25,nadam,0.001,simple_BC,0.28533971355949606,0.081787109375,201,,0.33367421747465714,0.4903787362789922,15,0.04833450391516109
100,20,4,25,nadam,0.001,BC_with_evidence,0.2178268268138298,5.1705217361450195,201,0.17566832900047302,0.33367421747465714,0.4903787362789922,15,0.11584739066082733
100,20,4,25,nadam,0.001,BC_observed_positive,0.2851681948206789,0.596583366394043,201,,0.33367421747465714,0.4903787362789922,15,0.04850602265397824
100,20,4,25,nadam,0.005,simple_BC,0.34457046550589887,0.07748866081237793,201,,0.33367421747465714,0.4903787362789922,15,0.010896248031241729
100,20,4,25,nadam,0.005,BC_with_evidence,0.15036194418550963,12.045514106750488,201,0.09874439239501953,0.33367421747465714,0.4903787362789922,15,0.1833122732891475
100,20,4,25,nadam,0.005,BC_observed_positive,0.34960362707946147,0.6482024192810059,201,,0.33367421747465714,0.4903787362789922,15,0.015929409604804323
100,20,4,25,nadam,0.01,simple_BC,0.3455282281643507,0.08931732177734375,180,,0.33367421747465714,0.4903787362789922,15,0.01185401068969355
100,20,4,25,nadam,0.01,BC_with_evidence,0.10133805855577142,24.70284080505371,201,0.07529006153345108,0.33367421747465714,0.4903787362789922,15,0.2323361589188857
100,20,4,25,nadam,0.01,BC_observed_positive,0.3511670451369466,0.6395909786224365,201,,0.33367421747465714,0.4903787362789922,15,0.017492827662289434
100,20,16,5,adam,0.0001,simple_BC,0.2537352502471187,0.08969712257385254,201,,0.33367421747465714,0.4903787362789922,15,0.07993896722753846
100,20,16,5,adam,0.0001,BC_with_evidence,0.246271893791829,4.742938041687012,201,0.13724392652511597,0.33367421747465714,0.4903787362789922,15,0.08740232368282813
100,20,16,5,adam,0.0001,BC_observed_positive,0.2537266067093179,0.547907829284668,201,,0.33367421747465714,0.4903787362789922,15,0.07994761076533924
100,20,16,5,adam,0.0005,simple_BC,0.2682683801044758,0.07299947738647461,201,,0.33367421747465714,0.4903787362789922,15,0.06540583737018135
100,20,16,5,adam,0.0005,BC_with_evidence,0.23254363759237323,4.867235898971558,201,0.1604165881872177,0.33367421747465714,0.4903787362789922,15,0.10113057988228391
100,20,16,5,adam,0.0005,BC_observed_positive,0.2681995585075322,0.5440728664398193,201,,0.33367421747465714,0.4903787362789922,15,0.06547465896712495
100,20,16,5,adam,0.001,simple_BC,0.28498945169783957,0.07364797592163086,201,,0.33367421747465714,0.4903787362789922,15,0.04868476577681757
100,20,16,5,adam,0.001,BC_with_evidence,0.21426046363559137,6.12622332572937,201,0.19603629410266876,0.33367421747465714,0.4903787362789922,15,0.11941375383906577
100,20,16,5,adam,0.001,BC_observed_positive,0.2848096938079871,0.5209095478057861,201,,0.33367421747465714,0.4903787362789922,15,0.048864523666670046
100,20,16,5,adam,0.005,simple_BC,0.3282734270881033,0.0766751766204834,201,,0.33367421747465714,0.4903787362789922,15,0.005400790386553833
100,20,16,5,adam,0.005,BC_with_evidence,0.1610047865900289,6.918301105499268,201,0.18007078766822815,0.33367421747465714,0.4903787362789922,15,0.17266943088462824
100,20,16,5,adam,0.005,BC_observed_positive,0.3300730783042864,0.5163824558258057,201,,0.33367421747465714,0.4903787362789922,15,0.0036011391703707485
100,20,16,5,adam,0.01,simple_BC,0.3282376139868844,0.08078670501708984,197,,0.33367421747465714,0.4903787362789922,15,0.005436603487772751
100,20,16,5,adam,0.01,BC_with_evidence,0.2212413199642568,6.313637733459473,201,0.10367081314325333,0.33367421747465714,0.4903787362789922,15,0.11243289751040034
100,20,16,5,adam,0.01,BC_observed_positive,0.3304360377345931,0.5169839859008789,201,,0.33367421747465714,0.4903787362789922,15,0.0032381797400640178
100,20,16,5,RMSprop,0.0001,simple_BC,0.25592346953224365,0.07459568977355957,201,,0.33367421747465714,0.4903787362789922,15,0.07775074794241349
100,20,16,5,RMSprop,0.0001,BC_with_evidence,0.24395940527923943,5.228967905044556,201,0.1894826889038086,0.33367421747465714,0.4903787362789922,15,0.08971481219541771
