ensemble_size,calibration_batches,edge_per_t,evidences_per_t,T,real_epsilon_plus,real_epsilon_minus,mu_plus,mu_minus,rho,epsilon_plus_msm,epsilon_minus_msm,time_msm,abs_error_msm_plus,abs_error_msm_minus,rel_error_msm_plus,rel_error_msm_minus,epsilon_plus_pgabm,epsilon_minus_pgabm,time_pgabm,abs_error_pgabm_plus,abs_error_pgabm_minus,rel_error_pgabm_plus,rel_error_pgabm_minus,X0_r2,X0_mae,X0_mse
1,400,4,8,32,0.11258791124201101,0.5179813405066722,0.1,0.1,16,0.31104000000000004,0.7771499999987387,11.603139162063599,0.19845208875798903,0.25916865949206647,1.7626411802898667,0.5003436209469558,0.14275210418798848,0.557431980685711,4.459259033203125,0.03016419294597747,0.039450640179038765,0.2679168004204168,0.07616228055715184,0.4950045347213745,0.1798597276210785,0.06563647836446762
1,400,4,8,64,0.21795644013805382,0.9418363672720409,0.1,0.1,16,0.06783,0.9586999999979124,18.18770480155945,0.15012644013805382,0.016863632725871547,0.6887910265141217,0.01790505581634717,0.24602105575096986,0.9776733825700152,9.009001731872559,0.02806461561291604,0.03583701529797434,0.12876249765843067,0.03805015026312224,0.7208864688873291,0.12389034032821655,0.02993721328675747
1,400,4,8,128,0.489907222291979,0.5058055455730542,0.1,0.1,16,0.48914,0.666339999999243,31.640968084335327,0.0007672222919790084,0.16053445442618874,0.0015660563001901465,0.31738373734971737,0.4914528518460786,0.5156590106189316,110.36574172973633,0.0015456295540995924,0.009853465045877363,0.0031549433928908586,0.019480737473358153,0.8732348680496216,0.0851665511727333,0.012238673865795135
1,400,4,8,256,0.29179419994482464,0.9952547832540783,0.1,0.1,16,0.35471,0.9305499999980406,59.90168237686157,0.06291580005517539,0.06470478325603779,0.2156170344272509,0.06501328538656148,0.30714395329188143,0.9793840519006112,49.1566948890686,0.015349753347056794,0.01587073135346717,0.05260472397998068,0.015946400480062337,0.8929151892662048,0.07392753660678864,0.007536653429269791
1,400,4,8,512,0.33719358101415464,0.5900915250312099,0.1,0.1,16,0.26959,0.7117799999990362,114.07717394828796,0.06760358101415465,0.12168847496782631,0.20048893223538794,0.2062196622149254,0.3415189813209916,0.6290807643874807,493.8493754863739,0.0043254003068369795,0.038989239356270855,0.012827647234053986,0.06607320678636881,0.8653082251548767,0.09118888527154922,0.015405651181936264
1,400,4,16,16,0.05334484514246757,0.7663394031472139,0.1,0.1,16,0.32017,0.8672099999983288,8.162381172180176,0.26682515485753244,0.10087059685111488,5.001892013088145,0.13162653053837245,0.11627486602821167,0.9153090225859742,2.372286796569824,0.0629300208857441,0.1489696194387603,1.179683261197544,0.19439117814765844,0.3540758490562439,0.20706909894943237,0.07370053231716156
1,400,4,16,32,0.44099301392251905,0.5092010513452754,0.1,0.1,16,0.47131000000000006,0.5631799999997125,11.504358053207397,0.030316986077481012,0.05397894865443709,0.06874708922896362,0.10600714297786364,0.43486377682406113,0.5212949546401533,4.511500597000122,0.006129237098457918,0.012093903294877917,0.013898716997668367,0.023750742978488806,0.48751378059387207,0.15440331399440765,0.04825442284345627
1,400,4,16,64,0.2421828267639332,0.5523153276053703,0.1,0.1,16,0.25738,0.5923599999995797,18.193262100219727,0.015197173236066785,0.04004467239420939,0.0627508293595077,0.07250327918261457,0.2455188259384461,0.6153433677251728,12.578281164169312,0.0033359991745128825,0.06302804011980256,0.013774714000529174,0.11411604380611387,0.7106273174285889,0.11299889534711838,0.028381509706377983
1,400,4,16,128,0.30373508185089587,0.9938995223904254,0.1,0.1,16,0.43717000000000006,0.9699899999978611,31.620362043380737,0.1334349181491042,0.023909522392564386,0.43931348771429585,0.024056277172826938,0.3354603911109764,0.9807019995300111,23.032724857330322,0.03172530926008055,0.013197522860414312,0.10445059249248845,0.0132785282245362,0.9097204804420471,0.07737941294908524,0.009305596351623535
1,400,4,16,256,0.16009832659090606,0.9382579437372969,0.1,0.1,16,0.00014000000000000001,0.9489799999979567,58.86446738243103,0.15995832659090606,0.010722056260659807,0.9991255373932937,0.011427621084614956,0.17268731320833552,0.9475356737301464,124.55066347122192,0.012588986617429465,0.009277729992849482,0.07863284323762912,0.009888250938642899,0.929107129573822,0.06379986554384232,0.0063201747834682465
