ensemble_size,calibration_batches,edge_per_t,T,real_epsilon,mu,rho,estimated_epsilon,time_calibration
2,200,4,128,0.18829015737288723,0.48689176917916127,16,0.1535,22.546022415161133
2,200,16,32,0.3509382648781552,0.12017781242456943,16,0.3624,6.690695285797119
2,200,16,64,0.46843419065454683,0.4221649742828566,16,0.40390000000000004,12.337900876998901
2,200,16,128,0.01855633224699721,0.34692770568694986,16,0.112,22.964464902877808
2,200,64,32,0.3203913522259231,0.4006653516015963,16,0.2898,6.994930744171143
2,200,64,64,0.19603293446519343,0.14193375798670133,16,0.18380000000000002,12.017934560775757
2,200,64,128,0.3465471722506898,0.33427536201144525,16,0.3264,23.341225385665894
2,400,1,32,0.129059996357699,0.13780944817718993,16,0.045000000000000005,11.57494854927063
2,400,1,64,0.21055381250252608,0.47894476507525097,16,0.049600000000000005,20.880764722824097
2,400,1,128,0.20708963476345132,0.02497672947304358,16,0.2449,37.27367949485779
2,400,4,32,0.42101544617980285,0.06208665755995557,16,0.2308,14.261967897415161
2,400,4,64,0.430013974341444,0.2694155321708264,16,0.33590000000000003,24.683207511901855
2,400,4,128,0.18829015737288723,0.48689176917916127,16,0.2013,45.5796377658844
2,400,16,32,0.3509382648781552,0.12017781242456943,16,0.10890000000000001,14.074188470840454
2,400,16,64,0.46843419065454683,0.4221649742828566,16,0.4405,24.35834264755249
2,400,16,128,0.01855633224699721,0.34692770568694986,16,0.0224,45.39848828315735
2,400,64,32,0.3203913522259231,0.4006653516015963,16,0.3321,14.112257242202759
2,400,64,64,0.19603293446519343,0.14193375798670133,16,0.18530000000000002,24.586869955062866
2,400,64,128,0.3465471722506898,0.33427536201144525,16,0.35350000000000004,46.60682511329651
4,100,1,32,0.129059996357699,0.13780944817718993,16,0.0502,5.310697078704834
4,100,1,64,0.21055381250252608,0.47894476507525097,16,0.112,9.78080940246582
4,100,1,128,0.20708963476345132,0.02497672947304358,16,0.2001,18.368488550186157
4,100,4,32,0.42101544617980285,0.06208665755995557,16,0.3095,6.376824617385864
4,100,4,64,0.430013974341444,0.2694155321708264,16,0.3567,11.76413369178772
4,100,4,128,0.18829015737288723,0.48689176917916127,16,0.1495,23.421066999435425
4,100,16,32,0.3509382648781552,0.12017781242456943,16,0.18130000000000002,7.898929119110107
4,100,16,64,0.46843419065454683,0.4221649742828566,16,0.498,14.156541585922241
4,100,16,128,0.01855633224699721,0.34692770568694986,16,0.0013000000000000002,23.038046836853027
4,100,64,32,0.3203913522259231,0.4006653516015963,16,0.29550000000000004,6.405406475067139
4,100,64,64,0.19603293446519343,0.14193375798670133,16,0.2034,11.884835004806519
4,100,64,128,0.3465471722506898,0.33427536201144525,16,0.3851,22.940792560577393
4,200,1,32,0.129059996357699,0.13780944817718993,16,0.1321,11.277932405471802
4,200,1,64,0.21055381250252608,0.47894476507525097,16,0.21080000000000002,19.427627325057983
4,200,1,128,0.20708963476345132,0.02497672947304358,16,0.20980000000000001,36.59929895401001
4,200,4,32,0.42101544617980285,0.06208665755995557,16,0.3105,13.079329252243042
4,200,4,64,0.430013974341444,0.2694155321708264,16,0.4479,23.843078136444092
4,200,4,128,0.18829015737288723,0.48689176917916127,16,0.10260000000000001,45.25554609298706
4,200,16,32,0.3509382648781552,0.12017781242456943,16,0.10500000000000001,13.106553554534912
4,200,16,64,0.46843419065454683,0.4221649742828566,16,0.4142,23.562976837158203
4,200,16,128,0.01855633224699721,0.34692770568694986,16,0.0543,45.20815944671631
4,200,64,32,0.3203913522259231,0.4006653516015963,16,0.3744,13.050833940505981
4,200,64,64,0.19603293446519343,0.14193375798670133,16,0.18150000000000002,23.750405311584473
4,200,64,128,0.3465471722506898,0.33427536201144525,16,0.3331,46.38176345825195
4,400,1,32,0.129059996357699,0.13780944817718993,16,0.0838,22.23405361175537
4,400,1,64,0.21055381250252608,0.47894476507525097,16,0.12440000000000001,39.47709345817566
4,400,1,128,0.20708963476345132,0.02497672947304358,16,0.22440000000000002,74.25498986244202
4,400,4,32,0.42101544617980285,0.06208665755995557,16,0.49500000000000005,26.436333894729614
4,400,4,64,0.430013974341444,0.2694155321708264,16,0.4071,47.59263896942139
4,400,4,128,0.18829015737288723,0.48689176917916127,16,0.24530000000000002,90.33656692504883
4,400,16,32,0.3509382648781552,0.12017781242456943,16,0.3856,26.41779398918152
4,400,16,64,0.46843419065454683,0.4221649742828566,16,0.48760000000000003,47.46475863456726
4,400,16,128,0.01855633224699721,0.34692770568694986,16,0.054,90.08706140518188
4,400,64,32,0.3203913522259231,0.4006653516015963,16,0.2942,26.766705751419067
