N,T,edge_per_t,evidences_per_t,model,optimizer_name,num_epochs,lr,model_name,minibatch_size,X0_lr_scale,epsilon_plus_estimated,epsilon_minus_estimated,X0_r2,time,last_iteration,real_epsilon_plus,real_epsilon_minus,mu_plus,mu_minus,rho,distance_epsilon_plus,distance_epsilon_minus
100,64,16,8,backfire,nadam,200,0.005,BC_backfire,0,10,0.5768069984110473,0.6526687920790184,-2.6007869243621826,8.15355920791626,175,0.35239492335127587,0.7193386066281264,0.2940403204324608,0.05459707303697603,16,0.22441207505977145,0.06666981454910803
100,64,16,8,backfire,nadam,200,0.005,BC_backfire,0,20,0.5658418373704766,0.6393845383276133,-2.9111084938049316,9.084405899047852,194,0.35239492335127587,0.7193386066281264,0.2940403204324608,0.05459707303697603,16,0.21344691401920068,0.0799540683005131
100,64,16,8,backfire,nadam,200,0.005,BC_backfire,0,40,0.5816938582711737,0.6599482865375751,0.05284148454666138,9.36113429069519,201,0.35239492335127587,0.7193386066281264,0.2940403204324608,0.05459707303697603,16,0.22929893491989783,0.05939032009055134
100,64,16,8,backfire,nadam,200,0.01,BC_backfire,0,10,0.5776799511811501,0.6494080387676607,-0.14425373077392578,4.798681259155273,104,0.35239492335127587,0.7193386066281264,0.2940403204324608,0.05459707303697603,16,0.22528502782987425,0.0699305678604657
100,64,16,8,backfire,nadam,200,0.01,BC_backfire,0,20,0.5793793463469809,0.6445089877115161,-3.11012601852417,9.354008674621582,201,0.35239492335127587,0.7193386066281264,0.2940403204324608,0.05459707303697603,16,0.22698442299570498,0.07482961891661033
100,64,16,8,backfire,nadam,200,0.01,BC_backfire,0,40,0.5880188938225128,0.6687396760112136,0.513796865940094,9.37894058227539,201,0.35239492335127587,0.7193386066281264,0.2940403204324608,0.05459707303697603,16,0.23562397047123695,0.050598930616912785
100,64,16,8,backfire,nadam,200,0.05,BC_backfire,0,10,0.5916627855389401,0.6841995327334155,0.49337899684906006,9.367860555648804,201,0.35239492335127587,0.7193386066281264,0.2940403204324608,0.05459707303697603,16,0.23926786218766427,0.03513907389471094
100,64,16,8,backfire,nadam,200,0.05,BC_backfire,0,20,0.5921349989514738,0.6835907372143906,0.5981429815292358,9.419275999069214,201,0.35239492335127587,0.7193386066281264,0.2940403204324608,0.05459707303697603,16,0.23974007560019794,0.03574786941373587
100,64,16,8,backfire,nadam,200,0.05,BC_backfire,0,40,0.5969526179529775,0.7058778590803396,0.8231344819068909,9.362813472747803,201,0.35239492335127587,0.7193386066281264,0.2940403204324608,0.05459707303697603,16,0.24455769460170163,0.013460747547786811
100,64,16,8,backfire,nadam,200,0.1,BC_backfire,0,10,0.5933841015040041,0.6918875100741031,0.715765118598938,9.36515474319458,201,0.35239492335127587,0.7193386066281264,0.2940403204324608,0.05459707303697603,16,0.24098917815272825,0.027451096554023335
100,64,16,8,backfire,nadam,200,0.1,BC_backfire,0,20,0.5933913082577112,0.6923943654542458,0.3837144374847412,9.35105299949646,201,0.35239492335127587,0.7193386066281264,0.2940403204324608,0.05459707303697603,16,0.24099638490643538,0.026944241173880612
100,64,16,8,backfire,nadam,200,0.1,BC_backfire,0,40,0.6044994146099664,0.721175645672434,0.6197371482849121,9.36838150024414,201,0.35239492335127587,0.7193386066281264,0.2940403204324608,0.05459707303697603,16,0.2521044912586905,0.0018370390443075424
100,64,16,8,backfire,nadam,400,0.005,BC_backfire,0,10,0.5692879219963574,0.6468961387244098,-0.9247320890426636,8.208253860473633,176,0.35239492335127587,0.7193386066281264,0.2940403204324608,0.05459707303697603,16,0.2168929986450815,0.07244246790371667
100,64,16,8,backfire,nadam,400,0.005,BC_backfire,0,20,0.5655451956485492,0.652066311230842,-1.2606041431427002,5.841133117675781,125,0.35239492335127587,0.7193386066281264,0.2940403204324608,0.05459707303697603,16,0.21315027229727335,0.06727229539728441
100,64,16,8,backfire,nadam,400,0.005,BC_backfire,0,40,0.5684878459199764,0.6471527044716339,-1.1912901401519775,11.911931276321411,255,0.35239492335127587,0.7193386066281264,0.2940403204324608,0.05459707303697603,16,0.2160929225687005,0.07218590215649257
100,64,16,8,backfire,nadam,400,0.01,BC_backfire,0,10,0.5776421770640214,0.6472512537999575,-2.721113920211792,18.769222497940063,401,0.35239492335127587,0.7193386066281264,0.2940403204324608,0.05459707303697603,16,0.22524725371274557,0.07208735282816892
100,64,16,8,backfire,nadam,400,0.01,BC_backfire,0,20,0.5646626123715761,0.629172697961807,-2.25262451171875,18.79571533203125,401,0.35239492335127587,0.7193386066281264,0.2940403204324608,0.05459707303697603,16,0.21226768902030024,0.09016590866631946
100,64,16,8,backfire,nadam,400,0.01,BC_backfire,0,40,0.5899710993776707,0.6686783569935483,0.4571373462677002,6.050491571426392,131,0.35239492335127587,0.7193386066281264,0.2940403204324608,0.05459707303697603,16,0.2375761760263948,0.05066024963457816
100,64,16,8,backfire,nadam,400,0.05,BC_backfire,0,10,0.591719480212398,0.6797105261794328,0.6230172514915466,18.66243028640747,401,0.35239492335127587,0.7193386066281264,0.2940403204324608,0.05459707303697603,16,0.23932455686112208,0.03962808044869359
100,64,16,8,backfire,nadam,400,0.05,BC_backfire,0,20,0.592751367798206,0.6965879668395254,0.6305689215660095,18.6805636882782,401,0.35239492335127587,0.7193386066281264,0.2940403204324608,0.05459707303697603,16,0.24035644444693016,0.022750639788601035
100,64,16,8,backfire,nadam,400,0.05,BC_backfire,0,40,0.5944657032768587,0.6974666117826027,0.4369300603866577,18.7904109954834,401,0.35239492335127587,0.7193386066281264,0.2940403204324608,0.05459707303697603,16,0.2420707799255828,0.021871994845523712
100,64,16,8,backfire,nadam,400,0.1,BC_backfire,0,10,0.5888836449879339,0.6818582528409689,0.4940522313117981,18.638041496276855,401,0.35239492335127587,0.7193386066281264,0.2940403204324608,0.05459707303697603,16,0.23648872163665802,0.03748035378715753
100,64,16,8,backfire,nadam,400,0.1,BC_backfire,0,20,0.5886546345737018,0.6908425541387995,-1.752495527267456,21.850051164627075,401,0.35239492335127587,0.7193386066281264,0.2940403204324608,0.05459707303697603,16,0.23625971122242595,0.028496052489326962
100,64,16,8,backfire,nadam,400,0.1,BC_backfire,0,40,0.6035850018390218,0.7232004476110412,0.625746488571167,23.50273084640503,401,0.35239492335127587,0.7193386066281264,0.2940403204324608,0.05459707303697603,16,0.2511900784877459,0.003861840982914755
100,64,16,8,backfire,nadam,800,0.005,BC_backfire,0,10,0.566515472965556,0.6683865574130746,-2.391618490219116,3.0454540252685547,55,0.35239492335127587,0.7193386066281264,0.2940403204324608,0.05459707303697603,16,0.21412054961428018,0.05095204921505181
