,real_epsilon,epsilon0,epsilon_torch,epsilon_scipy,mu,rho,N,T,edge_per_t,epochs,time,distance_torch_real,distance_scipy_real
808,0.6538883284815405,0.25313951392392986,0.5829624053990927,0.6482733203801886,0.4976394640606915,359,630,25118,5,201,0.2823522090911865,0.07092592308244783,0.005615008101351959
809,0.5124604752536219,0.7184781139514339,0.5117021853880507,0.5139448348648478,0.05498072768667739,359,630,100000,5,95,0.270169734954834,0.0007582898655712489,0.0014843596112258384
810,0.3604264158147579,0.3551326484455122,0.35529805564622785,0.3546560831625217,0.5602036448101545,359,1584,100,5,14,0.00629734992980957,0.005128360168530022,0.005770332652236199
811,0.4593477640222394,0.1443470243540257,0.44871630861337614,0.4565955755150701,0.5938069819599283,359,1584,398,5,171,0.06974267959594727,0.010631455408863288,0.002752188507169351
812,0.782436292285313,0.15681975653935554,0.5396651228078091,0.7882430059636512,0.17186663025094107,359,1584,1584,5,266,0.13721323013305664,0.24277116947750388,0.005806713678338182
813,0.8360258981509863,0.39873711545934565,0.6478225663273363,0.8407408412305207,0.7393765711028595,359,1584,6309,5,145,0.13651490211486816,0.18820333182365,0.004714943079534462
814,0.06828986934822123,0.23358415125690246,0.16326183866083077,0.06748761082674612,0.3146413615575616,359,1584,25118,5,53,0.08681917190551758,0.09497196931260954,0.0008022585214751132
815,0.01966640785324314,0.902433717909197,0.8932450980387161,0.016867070878324765,0.3024235672236565,359,1584,100000,5,11,0.03338003158569336,0.873578690185473,0.0027993369749183747
816,0.2959183853579781,0.794934296553195,0.29517250499951214,0.2945367005621958,0.3151052317823878,359,3981,100,5,192,0.057370901107788086,0.0007458803584659557,0.001381684795782323
817,0.8252007921413638,0.40884684140697136,0.7360139612430053,0.8226611513044949,0.2341273497204105,359,3981,398,5,179,0.0648345947265625,0.08918683089835844,0.0025396408368688617
818,0.049839972925360354,0.5666424407477774,0.1386580472222827,0.051433591870746205,0.9642836247571803,359,3981,1584,5,208,0.13743185997009277,0.08881807429692234,0.001593618945385851
819,0.8762744094697239,0.5921838397017484,0.7483340091650433,0.8774662988456737,0.04490704326802575,359,3981,6309,5,97,0.09791064262390137,0.12794040030468057,0.0011918893759498284
820,0.6938863752370619,0.5068184521052843,0.6665383079428245,0.694681611719191,0.935211019464211,359,3981,25118,5,90,0.1410961151123047,0.027348067294237333,0.0007952364821290914
