N,T,edge_per_t,evidences_per_t,optimizer_name,num_epochs,lr,model_name,minibatch_size,X0_lr_scale,epsilon_estimated,X0_r2,time,last_iteration,real_epsilon,mu,rho,distance_epsilon
100,64,16,8,adam,400,0.005,BC_with_evidence,0,10,0.28115086754261687,-3.2455334663391113,22.924386501312256,300,0.4051236819472956,0.46009316453280896,16,0.12397281440467872
100,64,16,8,adam,400,0.005,BC_with_evidence,16,1,0.32041262183255065,-0.4416992664337158,29.91955852508545,401,0.4051236819472956,0.46009316453280896,16,0.08471106011474494
100,64,16,8,adam,400,0.005,BC_with_evidence,16,10,0.31763743685862234,-0.452129602432251,30.389445066452026,401,0.4051236819472956,0.46009316453280896,16,0.08748624508867325
100,64,16,8,adam,400,0.005,BC_with_evidence,32,1,0.302900092646167,-0.13393080234527588,29.32677435874939,401,0.4051236819472956,0.46009316453280896,16,0.10222358930112857
100,64,16,8,adam,400,0.005,BC_with_evidence,32,10,0.24111027126963985,-0.34908509254455566,23.56453537940979,401,0.4051236819472956,0.46009316453280896,16,0.16401341067765574
100,64,16,8,adam,400,0.01,BC_with_evidence,0,1,0.29125588330106367,-1.5318005084991455,13.119986057281494,238,0.4051236819472956,0.46009316453280896,16,0.11386779864623192
100,64,16,8,adam,400,0.01,BC_with_evidence,0,10,0.2918720611572953,-2.045992136001587,14.241017580032349,207,0.4051236819472956,0.46009316453280896,16,0.11325162079000028
100,64,16,8,adam,400,0.01,BC_with_evidence,16,1,0.3193959415692178,0.10319006443023682,30.509809732437134,401,0.4051236819472956,0.46009316453280896,16,0.08572774037807779
100,64,16,8,adam,400,0.01,BC_with_evidence,16,10,0.3750414235686868,-0.39929020404815674,31.066465377807617,401,0.4051236819472956,0.46009316453280896,16,0.030082258378608784
100,64,16,8,adam,400,0.01,BC_with_evidence,32,1,0.29749764557207153,-0.37408876419067383,27.973483562469482,401,0.4051236819472956,0.46009316453280896,16,0.10762603637522405
100,64,16,8,adam,400,0.01,BC_with_evidence,32,10,0.3916325577368054,-0.19130969047546387,24.686327695846558,401,0.4051236819472956,0.46009316453280896,16,0.013491124210490202
100,64,16,8,adam,400,0.05,BC_with_evidence,0,1,0.3000962750429704,-3.120633125305176,27.529210805892944,401,0.4051236819472956,0.46009316453280896,16,0.10502740690432522
100,64,16,8,adam,400,0.05,BC_with_evidence,0,10,0.3814026025853146,-0.06011927127838135,30.26301121711731,401,0.4051236819472956,0.46009316453280896,16,0.02372107936198098
100,64,16,8,adam,400,0.05,BC_with_evidence,16,1,0.602923178835298,0.0993395447731018,30.069197177886963,401,0.4051236819472956,0.46009316453280896,16,0.1977994968880024
100,64,16,8,adam,400,0.05,BC_with_evidence,16,10,0.38954711143201154,-0.286218523979187,28.129685640335083,401,0.4051236819472956,0.46009316453280896,16,0.01557657051528405
100,64,16,8,adam,400,0.05,BC_with_evidence,32,1,0.3446083240498929,-0.22456049919128418,26.51032018661499,401,0.4051236819472956,0.46009316453280896,16,0.0605153578974027
100,64,16,8,adam,400,0.05,BC_with_evidence,32,10,0.49974902870314203,-0.16868960857391357,27.340234518051147,401,0.4051236819472956,0.46009316453280896,16,0.09462534675584644
100,64,16,8,adam,400,0.1,BC_with_evidence,0,1,0.31931950729015446,-2.611222505569458,30.2951819896698,401,0.4051236819472956,0.46009316453280896,16,0.08580417465714113
100,64,16,8,adam,400,0.1,BC_with_evidence,0,10,0.3329952417600835,-1.429419755935669,30.52208399772644,401,0.4051236819472956,0.46009316453280896,16,0.0721284401872121
100,64,16,8,adam,400,0.1,BC_with_evidence,16,1,0.6990715997467709,-0.15014874935150146,28.23806142807007,401,0.4051236819472956,0.46009316453280896,16,0.2939479177994753
100,64,16,8,adam,400,0.1,BC_with_evidence,16,10,0.5379894022972465,-0.0656973123550415,26.056447982788086,401,0.4051236819472956,0.46009316453280896,16,0.13286572034995087
100,64,16,8,adam,400,0.1,BC_with_evidence,32,1,0.709888546840043,0.10436588525772095,22.826315879821777,401,0.4051236819472956,0.46009316453280896,16,0.3047648648927474
100,64,16,8,adam,400,0.1,BC_with_evidence,32,10,0.48724110140072785,0.08247131109237671,30.476096630096436,401,0.4051236819472956,0.46009316453280896,16,0.08211741945343226
100,64,16,8,adam,800,0.001,BC_with_evidence,0,1,0.27020472843808907,-3.3988637924194336,37.95758771896362,501,0.4051236819472956,0.46009316453280896,16,0.13491895350920652
