,epsilon,real_epsilon,time,sum_ab,calibration_batches,ensemble_size,mu,T,edge_per_t,evidences_per_t,distance_epsilon
170,0.2277,0.15,11.994680166244507,1.0,100,4,0.05,50,2,1,0.07770000000000002
171,0.4133,0.25,1.4429173469543457,1.0,25,1,0.95,100,16,16,0.1633
172,0.4748,0.45,2.840587854385376,0.1,25,2,0.55,100,8,1,0.02479999999999999
173,0.49770000000000003,0.45,6.9500391483306885,0.01,25,4,0.55,100,1,1,0.04770000000000002
174,0.4631,0.45,3.8908917903900146,0.1,50,1,0.45,100,8,4,0.0131
175,0.3971,0.45,7.036691904067993,0.01,50,2,0.05,100,1,1,0.0529
176,0.2501,0.45,13.68981146812439,0.01,50,4,0.15,100,8,32,0.19990000000000002
177,0.4703,0.35,6.394773244857788,0.01,100,1,0.65,100,16,4,0.12030000000000002
178,0.3607,0.35,14.255323648452759,0.01,100,2,0.95,100,4,16,0.010700000000000043
179,0.30820000000000003,0.35,27.171536684036255,10.0,100,4,0.15,100,2,16,0.04179999999999995
180,0.1327,0.15,4.116865396499634,1.0,25,1,0.95,200,2,16,0.017299999999999982
181,0.06430000000000001,0.05,6.501349925994873,1.0,25,2,0.95,200,4,16,0.014300000000000007
182,0.0238,0.45,11.659866094589233,0.1,25,4,0.55,200,2,1,0.4262
183,0.1008,0.05,5.2329559326171875,10.0,50,1,0.45,200,8,4,0.0508
184,0.2509,0.15,12.289424657821655,1.0,50,2,0.05,200,2,4,0.10090000000000002
185,0.014,0.05,23.85612154006958,10.0,50,4,0.15,200,4,32,0.036000000000000004
186,0.32130000000000003,0.25,12.586092472076416,10.0,100,1,0.25,200,1,16,0.07130000000000003
187,0.39080000000000004,0.25,25.130742073059082,10.0,100,2,0.25,200,2,16,0.14080000000000004
188,0.334,0.35,50.99476623535156,0.01,100,4,0.05,200,8,32,0.01599999999999996
189,0.23290000000000002,0.05,1.30342698097229,10.0,25,1,0.55,50,8,1,0.1829
190,0.1211,0.35,2.236335277557373,1.0,25,2,0.15,50,16,4,0.2289
