ensemble_size,calibration_batches,edge_per_t,evidences_per_t,T,real_epsilon,mu,rho,epsilon_msm,time_msm,abs_error_msm,rel_error_msm,epsilon_pgabm,time_pgabm,abs_error_pgabm,rel_error_pgabm,X0_r2,X0_mae,X0_mse
1,400,16,8,512,0.11266695214895461,0.1,16,0.15132,75.9240152835846,0.0386530478510454,0.34307351990797635,0.11985340424079562,175.03262591362,0.007186452091841003,0.06378491611577408,0.9560889005661011,0.053952865302562714,0.004755023866891861
1,400,16,16,16,0.4540589593477326,0.1,16,0.16676000000000002,5.963668584823608,0.2872989593477326,0.6327349200651056,0.46782894795758706,1.2993099689483643,0.013769988609854455,0.030326433002523284,0.6563394069671631,0.13182052969932556,0.037674613296985626
1,400,16,16,32,0.029584236289512345,0.1,16,0.41197000000000006,8.138504266738892,0.3823857637104877,12.925321443773218,0.03573707675460916,2.4924209117889404,0.006152840465096815,0.20797699169533762,0.6110185384750366,0.15105514228343964,0.04068757966160774
1,400,16,16,64,0.42710669156190684,0.1,16,0.1968,12.512159585952759,0.23030669156190683,0.5392252008969639,0.4613570709333446,5.3133180141448975,0.03425037937143777,0.08019162436014739,0.8929189443588257,0.07984244078397751,0.009637666866183281
1,400,16,16,128,0.4236102747801239,0.1,16,0.4106,21.296769380569458,0.013010274780123898,0.030712840444856813,0.4511278361648114,10.91386365890503,0.027517561384687472,0.0649596174195032,0.8857102990150452,0.08507505059242249,0.011745602823793888
1,400,16,16,256,0.20795193870200512,0.1,16,0.23075,38.8207311630249,0.022798061297994887,0.10963139579412376,0.21548010839653045,22.643357276916504,0.007528169694525327,0.0362014883896475,0.9396178722381592,0.06764450669288635,0.007054610177874565
1,400,16,16,512,0.35912781066384636,0.1,16,0.33974000000000004,73.50705981254578,0.019387810663846317,0.05398582367655689,0.36427519331902847,83.94360327720642,0.005147382655182109,0.014333010427867427,0.8269082903862,0.08995870500802994,0.012753677554428577
1,400,64,4,16,0.384264431264037,0.1,16,0.40406000000000003,6.273538827896118,0.019795568735963054,0.05151548549743617,0.3619455592617822,8.113999605178833,0.022318872002254797,0.058082065854591115,-0.037203192710876465,0.13351577520370483,0.049688830971717834
1,400,64,4,32,0.4491339232107399,0.1,16,0.47874000000000005,8.477240800857544,0.02960607678926014,0.0659181488176491,0.470373034229776,18.755017042160034,0.021239111019036083,0.04728903768213116,0.9078757762908936,0.07358776032924652,0.01000147219747305
1,400,64,4,64,0.23716287434298533,0.1,16,0.24374,14.862935543060303,0.006577125657014682,0.027732526329154,0.2331350629055041,34.52435326576233,0.004027811437481238,0.016983313466070623,0.8459359407424927,0.08170775324106216,0.01694405823945999
1,400,64,4,128,0.3226517208140031,0.1,16,0.28887,25.141403436660767,0.0337817208140031,0.10470026544032296,0.3425824463817202,35.49036717414856,0.019930725567717078,0.06177163883531993,0.9361585974693298,0.05872374400496483,0.0059661464765667915
1,400,64,4,256,0.20584734580190128,0.1,16,0.11579,38.99469208717346,0.09005734580190128,0.43749578334893197,0.20232009830895392,26.370282888412476,0.0035272474929473607,0.017135258553888925,0.9239660501480103,0.07849743217229843,0.009210653603076935
1,400,64,4,512,0.33007645608521247,0.1,16,0.29931,75.81229186058044,0.030766456085212446,0.09321008971712234,0.3107528912341151,99.0178530216217,0.019323564851097375,0.05854269365431143,0.27113771438598633,0.13587327301502228,0.06372198462486267
1,400,64,8,16,0.05876381480075599,0.1,16,0.01618,6.412320852279663,0.04258381480075599,0.7246604895400384,0.057861728671999436,4.092403173446655,0.0009020861287565504,0.01535104778025652,0.736274242401123,0.1163499653339386,0.030554747208952904
1,400,64,8,32,0.48150846322978336,0.1,16,0.39665000000000006,8.47493290901184,0.0848584632297833,0.1762346245392732,0.4090855949784941,7.6135640144348145,0.07242286825128924,0.1504082976351091,-0.5118453502655029,0.2154083400964737,0.10373402386903763
1,400,64,8,64,0.013161989477935787,0.1,16,0.07433000000000001,12.591454029083252,0.06116801052206422,4.647322551397244,0.026927788382093056,4.794890880584717,0.013765798904157269,1.0458752400033204,0.9122058153152466,0.07300262153148651,0.008856035768985748
