ensemble_size,calibration_batches,edge_per_t,T,real_epsilon,mu,rho,epsilon_msm,time_msm,abs_error_msm,rel_error_msm,epsilon_pgabm,time_pgabm,abs_error_pgabm,rel_error_pgabm
1,400,64,32,0.009019576354894643,0.0001724953561285103,16,0.004,5.011802434921265,0.005019576354894643,0.5565201909034979,0.021537632211239395,0.07422685623168945,0.012518055856344752,1.3878762553577801
1,400,64,64,0.22048260841523315,0.14401106629772914,16,0.22410000000000002,8.636605501174927,0.0036173915847668714,0.016406698064612275,0.2237663048724914,0.025661468505859375,0.0032836964572582616,0.01489322210427637
1,400,64,128,0.10969243091823017,0.07952106832514017,16,0.0099,15.833104610443115,0.09979243091823016,0.9097476469695532,0.11119715207839674,0.06932640075683594,0.001504721160166575,0.013717638925225971
1,400,64,256,0.051391560742173714,0.2921607575203104,16,0.0533,31.052237272262573,0.001908439257826286,0.03713526560130628,0.04956041215638303,0.14325881004333496,0.0018311485857906845,0.03563130909717595
1,400,64,512,0.45844209819049137,0.24006519927261544,16,0.4944,59.545514822006226,0.03595790180950864,0.07843499092129068,0.462708879326423,0.2029428482055664,0.004266781135931652,0.009307132029918256
1,400,1,16,0.10276325345586884,0.46627743009646433,16,0.0352,2.917841672897339,0.06756325345586883,0.6574651072611625,0.08727148936809256,0.04614591598510742,0.015491764087776277,0.15075198153811992
1,400,1,32,0.43787635492758287,0.487482496581253,16,0.3798,4.302496671676636,0.05807635492758284,0.1326318589118329,0.38116533010307724,0.023247241973876953,0.05671102482450563,0.12951378668045377
1,400,1,64,0.03991087353834377,0.23026295021524024,16,0.0097,7.1130805015563965,0.03021087353834377,0.7569584641969594,0.04090541881051182,0.0653684139251709,0.0009945452721680514,0.02491915570859548
1,400,1,128,0.31207465643632865,0.04891084846718413,16,0.30310000000000004,12.777390003204346,0.00897465643632861,0.028758043151638213,0.30894117120952547,0.019950151443481445,0.0031334852268031788,0.010040819278903833
1,400,1,256,0.34051529344078096,0.2881808869349336,16,0.37610000000000005,24.097557544708252,0.03558470655921908,0.10450252086961732,0.34890113115903826,0.020823001861572266,0.008385837718257294,0.024626904811004255
1,400,1,512,0.013021274668146454,0.4628807855593447,16,0.0117,46.855950117111206,0.0013212746681464538,0.1014704552219183,0.02432647492348553,0.06865334510803223,0.011305200255339074,0.8682099520559718
1,400,4,16,0.2691252762382094,0.3965516837914372,16,0.4761,3.238710641860962,0.2069747237617906,0.7690646031277723,0.2918607597237178,0.01793837547302246,0.022735483485508357,0.08447918309012573
1,400,4,32,0.4101814051998832,0.03304945026366701,16,0.36510000000000004,4.975345134735107,0.045081405199883184,0.1099060187233861,0.41580747862822903,0.02504873275756836,0.0056260734283458125,0.013716061618161851
1,400,4,64,0.07581114643119424,0.124151359242266,16,0.12990000000000002,8.627766847610474,0.05408885356880577,0.713468350170598,0.0757650066136528,0.046048879623413086,4.613981754143792e-05,0.0006086152197066978
1,400,4,128,0.13828783130968286,0.1347253068013035,16,0.1957,15.503970623016357,0.05741216869031715,0.4151642855816278,0.13694201754413515,0.03201103210449219,0.0013458137655477098,0.009731975350266965
1,400,4,256,0.16422724444477538,0.1272567501130789,16,0.1413,29.625760555267334,0.02292724444477537,0.13960682664005303,0.16216825922975242,0.027348041534423828,0.002058985215022957,0.01253741559132919
1,400,4,512,0.42021244583027756,0.09496417098716042,16,0.4161,58.60190033912659,0.0041124458302775335,0.009786587406167729,0.4157341931972815,0.030956506729125977,0.00447825263299606,0.010657115650507915
1,400,16,16,0.41426866402742335,0.09566202784803057,16,0.2006,3.27360463142395,0.21366866402742335,0.5157731747078971,0.41684855207544236,0.026576995849609375,0.002579888048019008,0.006227572278670411
1,400,16,32,0.3763591075612929,0.3659991056872152,16,0.4409,5.046148777008057,0.06454089243870709,0.171487526519326,0.36944306607890426,0.02292919158935547,0.0069160414823886684,0.01837617675098334
1,400,16,64,0.45366154841550094,0.36788591146045246,16,0.44570000000000004,8.537503004074097,0.007961548415500896,0.01754953322208619,0.47077236944551276,0.035188913345336914,0.017110821030011825,0.037717150791762306
1,400,16,128,0.3748764687597126,0.3231850495820083,16,0.37570000000000003,15.616689443588257,0.0008235312402874451,0.0021968069722063835,0.37722209052424194,0.02688741683959961,0.0023456217645293487,0.006257052549310156
1,400,16,256,0.10396772624957212,0.23416733682045937,16,0.1044,29.78946280479431,0.0004322737504278834,0.004157768627066252,0.10462572548175653,0.07059025764465332,0.000657999232184403,0.006328879700657213
1,400,16,512,0.47501205737642194,0.2230422157273737,16,0.49760000000000004,57.79506802558899,0.022587942623578106,0.04755235635140595,0.4859655204927427,0.06532764434814453,0.010953463116320783,0.023059337013082895
1,400,64,16,0.395502364597575,0.2790940066352052,16,0.4657,3.392274856567383,0.07019763540242502,0.1774897995207977,0.40031461604067303,0.02801346778869629,0.004812251443098048,0.012167440384318638
1,400,64,32,0.3703104356385034,0.003199293270744752,16,0.3779,5.020675420761108,0.0075895643614966035,0.020495140377047128,0.3723833454844072,0.02404928207397461,0.002072909845903803,0.005597762434994879
1,400,64,64,0.3305111019515094,0.4516771648586826,16,0.3234,8.565067291259766,0.00711110195150938,0.021515470764890306,0.33807337665502585,0.029317617416381836,0.007562274703516447,0.022880546701350864
