N,edge_per_t,T,evidences_per_t,epsilon_estimated,X0_r2,time,last_iteration,real_epsilon,mu,rho,distance_epsilon
100,4,256,16,0.17112997119724377,0.906339168548584,70.29209566116333,401,0.18003447611667284,0.18133968168634756,16,0.008904504919429068
100,16,16,2,0.17577564091793982,-0.8117001056671143,11.402884244918823,401,0.18003447611667284,0.18133968168634756,16,0.004258835198733019
100,16,16,4,0.21262185740494122,-0.21978986263275146,11.302790403366089,401,0.18003447611667284,0.18133968168634756,16,0.03258738128826838
100,16,16,8,0.16166399142203908,0.27422744035720825,11.973342657089233,401,0.18003447611667284,0.18133968168634756,16,0.01837048469463376
100,16,16,16,0.21843161372403022,0.6473079919815063,11.324577331542969,401,0.18003447611667284,0.18133968168634756,16,0.038397137607357384
100,16,32,2,0.1870822707281102,0.5366798639297485,20.015441179275513,401,0.18003447611667284,0.18133968168634756,16,0.007047794611437369
100,16,32,4,0.17465837419477317,0.6011698246002197,19.738239765167236,401,0.18003447611667284,0.18133968168634756,16,0.005376101921899662
100,16,32,8,0.20356597147185332,0.8675665259361267,18.118649005889893,401,0.18003447611667284,0.18133968168634756,16,0.023531495355180482
100,16,32,16,0.19947206514680615,0.8392478823661804,16.890055418014526,401,0.18003447611667284,0.18133968168634756,16,0.019437589030133318
100,16,64,2,0.15740565749278435,-3.276280403137207,27.99539279937744,401,0.18003447611667284,0.18133968168634756,16,0.02262881862388849
100,16,64,4,0.13267541212835757,-2.700831413269043,32.63366937637329,401,0.18003447611667284,0.18133968168634756,16,0.04735906398831527
100,16,64,8,0.19334187592944357,0.8975764513015747,31.233590364456177,401,0.18003447611667284,0.18133968168634756,16,0.013307399812770737
100,16,64,16,0.19037607217982333,0.9088186621665955,28.91681671142578,401,0.18003447611667284,0.18133968168634756,16,0.010341596063150493
100,16,128,2,0.17066080282511054,-3.2403488159179688,41.244348764419556,401,0.18003447611667284,0.18133968168634756,16,0.009373673291562301
100,16,128,4,0.13498660217949499,-3.486715316772461,41.25264859199524,401,0.18003447611667284,0.18133968168634756,16,0.04504787393717785
100,16,128,8,0.18694427412989054,0.918807327747345,42.58088421821594,401,0.18003447611667284,0.18133968168634756,16,0.0069097980132176995
100,16,128,16,0.1987298769183591,0.9309069514274597,40.964393615722656,401,0.18003447611667284,0.18133968168634756,16,0.018695400801686274
