N,T,edge_per_t,tot_edges,epsilon,epsilon0,mu,epsilon_estimated,time,epochs_pgabm,distance_epsilon,method
100,464,4,1856,0.07109981129812176,0.25,0.9114883789555303,0.07216553383793757,0.31127095222473145,314.0,0.0010657225398158082,pgabm
100,2154,4,8616,0.17901917438050713,0.25,0.19251520365655284,0.1823421804039185,1.679114580154419,122.0,0.0033230060234113734,pgabm
100,10000,4,40000,0.3284764856119382,0.25,0.029173218522470658,0.32873880072427086,4.655248641967773,140.0,0.00026231511233265614,pgabm
464,100,4,400,0.11354957841451563,0.25,0.1803790305401023,0.10741400404826805,0.16211771965026855,205.0,0.006135574366247579,pgabm
464,464,4,1856,0.4277788488317128,0.25,0.8892544615688864,0.4295998678852497,0.37848496437072754,222.0,0.0018210190535368764,pgabm
464,2154,4,8616,0.23217279552893938,0.25,0.1766553318519876,0.2338970790748957,1.580456256866455,113.0,0.0017242835459563288,pgabm
464,10000,4,40000,0.3399227797793632,0.25,0.04306628755390951,0.33719160831579126,4.649023056030273,126.0,0.0027311714635719353,pgabm
2154,100,4,400,0.35141861997108004,0.25,0.43293202898685446,0.35608513581185414,0.14066290855407715,148.0,0.004666515840774099,pgabm
2154,464,4,1856,0.432291944010084,0.25,0.47297600691504194,0.43290960445423826,0.46695828437805176,227.0,0.0006176604441542888,pgabm
2154,2154,4,8616,0.4283983102522895,0.25,0.11068327436710543,0.42937665096831934,3.453803539276123,222.0,0.000978340716029813,pgabm
2154,10000,4,40000,0.04367809038024606,0.25,0.020340249238629943,0.05042111694329598,11.47996711730957,358.0,0.006743026563049918,pgabm
10000,100,4,400,0.17739689920578738,0.25,0.40117880896582625,0.18269950713319838,0.13624072074890137,142.0,0.005302607927410996,pgabm
10000,464,4,1856,0.4921063105731036,0.25,0.6425030166233152,0.487193603664627,0.5816125869750977,279.0,0.004912706908476616,pgabm
10000,2154,4,8616,0.2962271900813925,0.25,0.21527198110207912,0.29671084040831486,1.88297700881958,122.0,0.0004836503269223802,pgabm
10000,10000,4,40000,0.16610568545747018,0.25,0.045403806853304085,0.16654429555638167,5.753918886184692,127.0,0.00043861009891149605,pgabm
100,100,1,100,0.40760149797688233,0.25,0.3067554146806445,0.4078668931167209,0.20875191688537598,183.0,0.00026539513983858676,pgabm
100,464,1,464,0.31637744753604785,0.25,0.4897750034928421,0.3118573175698854,0.18609023094177246,133.0,0.004520129966162467,pgabm
100,2154,1,2154,0.21977237603862004,0.25,0.5816193205380621,0.2042080684306632,1.9012913703918457,116.0,0.015564307607956851,pgabm
100,10000,1,10000,0.04719601589377781,0.25,0.18812812769995024,0.05447355701149215,12.197109937667847,359.0,0.007277541117714344,pgabm
464,100,1,100,0.33593204826971024,0.25,0.5542515641612644,0.31594186760129356,0.08148837089538574,107.0,0.01999018066841668,pgabm
464,464,1,464,0.39911367600695274,0.25,0.0646582495105108,0.39803996868069963,0.21553492546081543,186.0,0.001073707326253115,pgabm
464,2154,1,2154,0.47846359637160013,0.25,0.006137290660025907,0.474249944369796,4.016907215118408,266.0,0.004213652001804125,pgabm
464,10000,1,10000,0.08503152945882897,0.25,0.005259850659798438,0.08657512917775177,9.738214015960693,255.0,0.001543599718922803,pgabm
2154,100,1,100,0.2899862928493415,0.25,0.553302209299106,0.2851065582621466,0.4752316474914551,500.0,0.004879734587194928,pgabm
2154,464,1,464,0.03660216287460105,0.25,0.7722794630079196,0.04905263301429982,0.6549584865570068,366.0,0.012450470139698765,pgabm
2154,2154,1,2154,0.42894708565105966,0.25,0.5016361154953108,0.4221632251977127,1.994372844696045,210.0,0.006783860453346946,pgabm
2154,10000,1,10000,0.19965596172576916,0.25,0.0035717405123387503,0.1992914924070392,4.745919942855835,122.0,0.00036446931872996524,pgabm
10000,100,1,100,0.10019812550494528,0.25,0.9867772884711701,0.08972072693843074,0.22036957740783691,243.0,0.010477398566514542,pgabm
10000,464,1,464,0.14478235581915733,0.25,0.2761835709466538,0.13580332420149835,0.3286302089691162,163.0,0.008979031617658978,pgabm
10000,2154,1,2154,0.03523306428682582,0.25,0.6369707276635423,0.04458608395048846,8.474156618118286,384.0,0.009353019663662636,pgabm
10000,10000,1,10000,0.12177312133976198,0.25,0.005145878473664479,0.12310302738729052,5.8217480182647705,183.0,0.0013299060475285424,pgabm
100,100,2,200,0.32704913972318167,0.25,0.897585446825308,0.317627943950421,0.2686738967895508,140.0,0.009421195772760682,pgabm
100,464,2,928,0.3418159593208245,0.25,0.5662513502196734,0.33906004886950586,0.21159887313842773,129.0,0.0027559104513186217,pgabm
100,2154,2,4308,0.3225886602006538,0.25,0.46352734725912903,0.32521908951823225,1.763704538345337,115.0,0.0026304293175784532,pgabm
100,10000,2,20000,0.3206824068810796,0.25,0.09654739480810323,0.3149361607952524,3.9339985847473145,134.0,0.005746246085827189,pgabm
464,100,2,200,0.35715408805998533,0.25,0.26304831497624726,0.36379234983876396,0.2036609649658203,149.0,0.006638261778778631,pgabm
464,464,2,928,0.4166093464565792,0.25,0.2767253658005412,0.41877929579576045,0.304351806640625,210.0,0.002169949339181243,pgabm
464,2154,2,4308,0.3553503681972577,0.25,0.26939953151364276,0.350872151042502,3.1719329357147217,140.0,0.004478217154755659,pgabm
464,10000,2,20000,0.4082584356608487,0.25,0.08165482997659063,0.4018978919806607,6.357123613357544,201.0,0.006360543680187958,pgabm
2154,100,2,200,0.35049652707354473,0.25,0.9854069857222426,0.33514098817007293,0.11994552612304688,128.0,0.0153555389034718,pgabm
2154,464,2,928,0.19627554662193025,0.25,0.4700971772382583,0.19137940179358573,0.2350008487701416,130.0,0.004896144828344523,pgabm
2154,2154,2,4308,0.20108997218158303,0.25,0.31769190607849485,0.19752965494783023,2.462698221206665,124.0,0.003560317233752802,pgabm
2154,10000,2,20000,0.14461640459501957,0.25,0.03713424922433325,0.14437796794421498,6.540929555892944,153.0,0.00023843665080458543,pgabm
10000,100,2,200,0.4220839714446728,0.25,0.4577653163959192,0.43661417958807813,0.1959822177886963,221.0,0.014530208143405332,pgabm
10000,464,2,928,0.3999521694544788,0.25,0.47632424558557385,0.3950124938339512,0.27414870262145996,183.0,0.004939675620527606,pgabm
10000,2154,2,4308,0.48960187511085657,0.25,0.45037722024656207,0.49334228049762197,5.469975709915161,291.0,0.0037404053867653997,pgabm
10000,10000,2,20000,0.48465242097291183,0.25,0.0888789625229662,0.48341185275202264,9.970407247543335,276.0,0.0012405682208891933,pgabm
100,100,4,400,0.11459038669067684,0.25,0.330466146024213,0.11850147928151632,0.13320422172546387,183.0,0.0039110925908394795,pgabm
100,464,4,1856,0.48871253257632224,0.25,0.924002450333138,0.47312949901426044,0.43466949462890625,290.0,0.01558303356206181,pgabm
100,2154,4,8616,0.07399213154306755,0.25,0.19313164775813513,0.08236041182161431,4.748847484588623,375.0,0.00836828027854676,pgabm
100,10000,4,40000,0.0031491376099712087,0.25,0.031230545595323046,0.0332622895384939,15.151164293289185,426.0,0.030113151928522694,pgabm
464,100,4,400,0.16337855183763728,0.25,0.7622715560034387,0.1632726006355968,0.14657902717590332,130.0,0.00010595120204048847,pgabm
464,464,4,1856,0.3740371820462458,0.25,0.5337148439454514,0.37191280850970865,0.29976725578308105,168.0,0.0021243735365371608,pgabm
464,2154,4,8616,0.21281917383958054,0.25,0.1352606701190515,0.21295320539372709,2.4247474670410156,125.0,0.0001340315541465409,pgabm
464,10000,4,40000,0.11011729572280371,0.25,0.005693429814001255,0.11032388019669163,6.296421051025391,206.0,0.00020658447388792467,pgabm
2154,100,4,400,0.41621686271647385,0.25,0.5259525560495675,0.40959472148835563,0.16495060920715332,203.0,0.006622141228118217,pgabm
2154,464,4,1856,0.2738772813614558,0.25,0.47321416518035053,0.27390687001983616,0.18874907493591309,115.0,2.9588658380375055e-05,pgabm
2154,2154,4,8616,0.21154426525855613,0.25,0.17307001375568626,0.21118370130806238,1.7999398708343506,110.0,0.00036056395049374745,pgabm
2154,10000,4,40000,0.020782712443179197,0.25,0.012947290311331506,0.03745516062749607,12.27009391784668,407.0,0.016672448184316874,pgabm
10000,100,4,400,0.2160376893175765,0.25,0.24189346068008044,0.21469475067618857,0.09566473960876465,107.0,0.0013429386413879307,pgabm
10000,464,4,1856,0.07386931255730605,0.25,0.8583941832017463,0.07755433027128898,0.44457459449768066,274.0,0.003685017713982927,pgabm
10000,2154,4,8616,0.4818923587769781,0.25,0.06125767456325886,0.48065001939385293,3.186941385269165,277.0,0.0012423393831251794,pgabm
10000,10000,4,40000,0.2125525082490058,0.25,0.033236073190019484,0.2123262000212034,4.281035661697388,122.0,0.00022630822780239646,pgabm
100,100,1,100,0.07315968953320079,0.25,0.1402983288444286,0.08033948793999034,0.2092912197113037,268.0,0.007179798406789548,pgabm
100,464,1,464,0.4864402051135936,0.25,0.4022279419950763,0.47940239938763435,0.38077735900878906,289.0,0.007037805725959245,pgabm
100,2154,1,2154,0.008379175078041423,0.25,0.3656077736030903,0.03234898598056484,4.30720853805542,444.0,0.023969810902523418,pgabm
100,10000,1,10000,0.455101905013906,0.25,0.126669961371359,0.444390905202828,7.943291425704956,252.0,0.010710999811078037,pgabm
464,100,1,100,0.40045436939946727,0.25,0.2824892665897476,0.37678686710899073,0.21875238418579102,166.0,0.02366750229047654,pgabm
464,464,1,464,0.47884823111400965,0.25,0.9795847981238273,0.48976946795636006,0.2914927005767822,274.0,0.010921236842350412,pgabm
464,2154,1,2154,0.2722932934599663,0.25,0.0852202191457737,0.2690459698494308,1.2746694087982178,118.0,0.0032473236105354797,pgabm
464,10000,1,10000,0.4056443790289567,0.25,0.11013238558456238,0.3999118210363563,5.8669960498809814,195.0,0.005732557992600418,pgabm
2154,100,1,100,0.1226606813407351,0.25,0.4436108690627877,0.12149152134107379,0.14620304107666016,186.0,0.001169159999661315,pgabm
2154,464,1,464,0.08130761163752082,0.25,0.3708361946574189,0.08043578527052399,0.3511960506439209,261.0,0.0008718263669968279,pgabm
2154,2154,1,2154,0.19646332789795595,0.25,0.025197890585360195,0.19644138610415288,2.3442487716674805,125.0,2.194179380307637e-05,pgabm
2154,10000,1,10000,0.20169279199437357,0.25,0.12648728711030152,0.19940288546219884,5.121619462966919,121.0,0.002289906532174729,pgabm
10000,100,1,100,0.1666567022938527,0.25,0.706196701965199,0.1400177920018978,0.16502070426940918,165.0,0.02663891029195492,pgabm
10000,464,1,464,0.20816210122847822,0.25,0.09636005509935419,0.21033117808215596,0.2722620964050293,128.0,0.0021690768536777316,pgabm
10000,2154,1,2154,0.014298637568785466,0.25,0.009779777561642866,0.033587878292715825,6.8620500564575195,425.0,0.01928924072393036,pgabm
10000,10000,1,10000,0.24384152267584952,0.25,0.13941394789712044,0.24266777674264248,3.110677480697632,98.0,0.0011737459332070432,pgabm
100,100,2,200,0.038513423069230224,0.25,0.3094295130813094,0.04480397087245783,0.280350923538208,375.0,0.006290547803227603,pgabm
100,464,2,928,0.39859136114108096,0.25,0.26931866558166984,0.3972603600355739,0.2623114585876465,200.0,0.0013310011055070459,pgabm
100,2154,2,4308,0.3196723930404659,0.25,0.3280605990388045,0.31662820345043824,2.401857376098633,142.0,0.0030441895900276683,pgabm
100,10000,2,20000,0.4616917954239458,0.25,0.014945682577335417,0.4569999286709198,9.063960552215576,272.0,0.004691866753025964,pgabm
464,100,2,200,0.3955443636573152,0.25,0.7740494641320645,0.391204144505342,0.19951128959655762,190.0,0.00434021915197319,pgabm
464,464,2,928,0.10943598337800808,0.25,0.7133373014058977,0.11322152711483206,0.28252506256103516,205.0,0.003785543736823979,pgabm
464,2154,2,4308,0.13449244489784656,0.25,0.3222272402162837,0.13420281902340525,2.7490639686584473,168.0,0.0002896258744413127,pgabm
464,10000,2,20000,0.010483424333675773,0.25,0.03877246993698602,0.03465196268347054,15.852579593658447,422.0,0.024168538349794766,pgabm
2154,100,2,200,0.15948639153247635,0.25,0.12441380346232622,0.15812822747654068,0.11334943771362305,141.0,0.0013581640559356678,pgabm
2154,464,2,928,0.4599564308407101,0.25,0.3880927601686607,0.46108097251653446,0.36937546730041504,255.0,0.0011245416758243754,pgabm
2154,2154,2,4308,0.38997055990542095,0.25,0.01093662869201532,0.3880474045056248,2.494997262954712,180.0,0.0019231553997961504,pgabm
2154,10000,2,20000,0.2421264222256374,0.25,0.06315837366474096,0.2414307326048059,3.101818799972534,103.0,0.0006956896208314967,pgabm
10000,100,2,200,0.05889779614878382,0.25,0.7286189371991273,0.05910990257969946,0.2648305892944336,339.0,0.00021210643091564008,pgabm
10000,464,2,928,0.415952997738682,0.25,0.23153946856744378,0.4156732924732295,0.3880143165588379,207.0,0.0002797052654525123,pgabm
10000,2154,2,4308,0.14311884882048354,0.25,0.4525011736079519,0.1435106630566138,2.83658766746521,153.0,0.00039181423613027233,pgabm
10000,10000,2,20000,0.248734503400375,0.25,0.04739977693490233,0.24912239730475239,16.989545106887817,500.0,0.0003878939043773788,pgabm
100,100,4,400,0.02608631771523595,0.25,0.6754024291310317,0.04014545018242705,0.2700316905975342,407.0,0.0140591324671911,pgabm
100,464,4,1856,0.28559727806998064,0.25,0.7823298540582038,0.2860450351339108,0.24431633949279785,128.0,0.00044775706393013204,pgabm
100,2154,4,8616,0.20702868069515862,0.25,0.08656614908885558,0.21003804551207841,2.0385427474975586,130.0,0.003009364816919796,pgabm
100,10000,4,40000,0.03733600631446665,0.25,0.009246125634393915,0.04635153283095164,13.160929441452026,383.0,0.00901552651648499,pgabm
464,100,4,400,0.46536023522985076,0.25,0.7950531307568744,0.4578192203031577,0.19959545135498047,257.0,0.007541014926693068,pgabm
464,464,4,1856,0.24696218842916257,0.25,0.45902683634028496,0.2447599464833777,0.7413403987884521,500.0,0.0022022419457848608,pgabm
464,2154,4,8616,0.02086385794544543,0.25,0.11241459487070067,0.03813480479817687,4.72719669342041,408.0,0.017270946852731443,pgabm
464,10000,4,40000,0.12837305217811396,0.25,0.047616872875399015,0.127960747198172,6.103174209594727,178.0,0.00041230497994196313,pgabm
2154,100,4,400,0.16157685413557737,0.25,0.71947213764169,0.1544038265744368,0.11140990257263184,138.0,0.007173027561140577,pgabm
2154,464,4,1856,0.4361806245660532,0.25,0.5430639694109785,0.43813063165094857,0.31462621688842773,230.0,0.0019500070848953444,pgabm
2154,2154,4,8616,0.191533763630218,0.25,0.18882648972484478,0.19163738478538866,2.256488561630249,128.0,0.00010362115517065229,pgabm
2154,10000,4,40000,0.2964031605112847,0.25,0.020607264770251727,0.2963875969857439,4.965932369232178,122.0,1.556352554077378e-05,pgabm
10000,100,4,400,0.15161911628398922,0.25,0.30238119061149393,0.1565484555129875,0.13022661209106445,138.0,0.00492933922899827,pgabm
10000,464,4,1856,0.3053959173153629,0.25,0.4038305724199557,0.3072093299358243,0.2684645652770996,130.0,0.0018134126204613632,pgabm
10000,2154,4,8616,0.32046635537859747,0.25,0.01798160465296294,0.3205694434214567,2.617744207382202,112.0,0.00010308804285924511,pgabm
10000,10000,4,40000,0.24070464760505877,0.25,0.039444973072737345,0.24133451697260933,3.630378484725952,103.0,0.0006298693675505507,pgabm
100,100,1,100,0.05799722499720139,0.25,0.7235344614641739,0.05362803567381748,0.309354305267334,364.0,0.004369189323383912,pgabm
100,464,1,464,0.43077994814405174,0.25,0.9402381779554039,0.435288480954202,0.285825252532959,218.0,0.004508532810150234,pgabm
100,2154,1,2154,0.28579535819460894,0.25,0.3505832199765794,0.2864439092545175,2.3452396392822266,125.0,0.0006485510599085753,pgabm
100,10000,1,10000,0.4699530656636032,0.25,0.024038340780738323,0.46749077791947197,10.071090936660767,285.0,0.0024622877441312085,pgabm
464,100,1,100,0.2602986541581997,0.25,0.7027474645630438,0.24228399770729556,0.4308786392211914,500.0,0.018014656450904137,pgabm
464,464,1,464,0.13002973790888078,0.25,0.2441253724740471,0.13903095089857223,0.20315098762512207,163.0,0.009001212989691448,pgabm
464,2154,1,2154,0.3236516263199321,0.25,0.2337504588594422,0.3223654419820998,1.773179531097412,113.0,0.0012861843378322857,pgabm
464,10000,1,10000,0.19548896905940416,0.25,0.19875329457046226,0.19597989552667652,3.8087003231048584,125.0,0.0004909264672723623,pgabm
2154,100,1,100,0.24398267613582153,0.25,0.09138536391333252,0.2348937342168656,0.3842291831970215,500.0,0.009088941918955928,pgabm
2154,464,1,464,0.3741797281697592,0.25,0.8168513593563402,0.36724852143588715,0.25574302673339844,161.0,0.006931206733872042,pgabm
2154,2154,1,2154,0.21782481933784226,0.25,0.8277237428054212,0.21940664757883763,1.755894422531128,119.0,0.00158182824099537,pgabm
2154,10000,1,10000,0.3822266715468314,0.25,0.14107932713978147,0.3771093958443133,6.118109941482544,169.0,0.005117275702518076,pgabm
