,N,T,edge_per_t,tot_edges,epsilon,epsilon0,mu,epsilon_pgabm,time_pgabm,epsilon_calibration,time_calibration
16,100,464,1,464,0.13214874136345034,0.4547722946583827,0.31058725179421,0.11813166273596118,0.23350262641906738,0.1317,27.698865175247192
17,100,464,1,464,0.13214874136345034,0.4547722946583827,0.31058725179421,0.12467221757638466,0.19966626167297363,0.1316,36.83255171775818
18,100,1000,1,1000,0.13214874136345034,0.4547722946583827,0.31058725179421,0.12246708316225337,0.3109416961669922,0.13040000000000002,10.648730039596558
19,100,1000,1,1000,0.13214874136345034,0.4547722946583827,0.31058725179421,0.12651256468262426,0.2961282730102539,0.14150000000000001,14.710891723632812
20,100,1000,1,1000,0.3872386330075398,0.3314524916533012,0.889827341447375,0.3702189246972676,0.07095479965209961,0.3788,22.388774156570435
21,100,1000,1,1000,0.3872386330075398,0.3314524916533012,0.889827341447375,0.3762132709628757,0.06934022903442383,0.3846,29.325233459472656
22,100,1000,1,1000,0.3872386330075398,0.3314524916533012,0.889827341447375,0.375071045947775,0.07408714294433594,0.3836,53.2127366065979
23,100,1000,1,1000,0.3872386330075398,0.3314524916533012,0.889827341447375,0.36973452632380976,0.07656550407409668,0.3952,73.23803377151489
24,215,100,1,100,0.3872386330075398,0.3314524916533012,0.889827341447375,0.3794513964167232,0.0488581657409668,0.43010000000000004,1.4325528144836426
25,215,100,1,100,0.3872386330075398,0.3314524916533012,0.889827341447375,0.3673104181721798,0.04543328285217285,0.3788,1.7738828659057617
26,215,100,1,100,0.30857245681036194,0.331661225443024,0.5270581022576093,0.33396724592366367,0.0428774356842041,0.3627,2.765739679336548
27,215,100,1,100,0.30857245681036194,0.331661225443024,0.5270581022576093,0.31715411033462987,0.04483532905578613,0.3247,3.564992904663086
28,215,100,1,100,0.30857245681036194,0.331661225443024,0.5270581022576093,0.2674144091775162,0.0712592601776123,0.28350000000000003,6.9757399559021
29,215,100,1,100,0.30857245681036194,0.331661225443024,0.5270581022576093,0.3000556012253962,0.04648256301879883,0.2828,8.87029504776001
30,215,215,1,215,0.30857245681036194,0.331661225443024,0.5270581022576093,0.3059436276866995,0.04561114311218262,0.3264,2.5577027797698975
31,215,215,1,215,0.30857245681036194,0.331661225443024,0.5270581022576093,0.2931744723391867,0.044959068298339844,0.30560000000000004,3.4161877632141113
32,215,215,1,215,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.060120214005709695,0.31031274795532227,0.07050000000000001,5.137824058532715
33,215,215,1,215,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.05980864394560954,0.32206058502197266,0.0674,6.837175369262695
34,215,215,1,215,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.05699748790429859,0.36588048934936523,0.06420000000000001,12.909330606460571
35,215,215,1,215,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.05451733294557309,0.3523271083831787,0.059300000000000005,17.1004536151886
36,215,464,1,464,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.06424015512952896,0.32275891304016113,0.0761,5.105377912521362
37,215,464,1,464,0.06753957902336566,0.3764155414192242,0.021524805274197978,0.06235980612222559,0.33789825439453125,0.0699,6.961629152297974
38,215,464,1,464,0.13214874136345034,0.4547722946583827,0.31058725179421,0.1171143286327787,0.21335458755493164,0.12760000000000002,10.208227157592773
39,215,464,1,464,0.13214874136345034,0.4547722946583827,0.31058725179421,0.11513219735472183,0.22513699531555176,0.1213,13.959338188171387
40,215,464,1,464,0.13214874136345034,0.4547722946583827,0.31058725179421,0.11747743507196622,0.21267032623291016,0.1265,26.100064039230347
41,215,464,1,464,0.13214874136345034,0.4547722946583827,0.31058725179421,0.1176007939565248,0.20164799690246582,0.124,36.59415340423584
42,215,1000,1,1000,0.13214874136345034,0.4547722946583827,0.31058725179421,0.12453492620500829,0.29363584518432617,0.1345,10.630386352539062
43,215,1000,1,1000,0.13214874136345034,0.4547722946583827,0.31058725179421,0.12814651667457258,0.2802433967590332,0.13570000000000002,14.686163187026978
44,215,1000,1,1000,0.3872386330075398,0.3314524916533012,0.889827341447375,0.38053535808994693,0.07497739791870117,0.3874,21.18554997444153
45,215,1000,1,1000,0.3872386330075398,0.3314524916533012,0.889827341447375,0.3852644018981522,0.06631660461425781,0.3957,29.362473964691162
46,215,1000,1,1000,0.3872386330075398,0.3314524916533012,0.889827341447375,0.38318869640925024,0.07183265686035156,0.3869,53.14036846160889
47,215,1000,1,1000,0.3872386330075398,0.3314524916533012,0.889827341447375,0.36972456839200346,0.06733298301696777,0.37320000000000003,73.55735731124878
48,464,100,1,100,0.3872386330075398,0.3314524916533012,0.889827341447375,0.3743337301730895,0.04745030403137207,0.39080000000000004,1.4284555912017822
