N,T,edge_per_t,tot_edges,epsilon,epsilon0,mu,epsilon_pgabm,time_pgabm,epochs_pgabm,distance_epsilon_pgabm,epsilon_msm_20_batches,time_msm_20_batches,distance_epsilon_msm_20_batches,epsilon_msm_50_batches,time_msm_50_batches,distance_epsilon_msm_50_batches,epsilon_msm_100_batches,time_msm_100_batches,distance_epsilon_msm_100_batches
316,316,2,632,0.11549497433485195,0.25,0.4691344398333771,0.1187908954134694,0.11974382400512695,188,0.003295921078617453,0.10990000000000001,0.520169734954834,0.00559497433485194,0.11080000000000001,1.2766609191894531,0.004694974334851942,0.1184,2.5784597396850586,0.0029050256651480533
316,1000,2,2000,0.2331544946046707,0.25,0.3395408687963035,0.23415572478922575,0.18989133834838867,136,0.0010012301845550575,0.2156,1.5204858779907227,0.01755449460467068,0.234,3.8066253662109375,0.0008455053953293212,0.2263,7.619149923324585,0.006854494604670691
1000,100,2,200,0.24550426456646463,0.25,0.7044971982481261,0.2449238989059944,0.2537515163421631,500,0.0005803656604702334,0.25220000000000004,0.28403329849243164,0.00669573543353541,0.2492,0.6918306350708008,0.00369573543353538,0.27030000000000004,1.381727933883667,0.024795735433535415
1000,316,2,632,0.383431188163271,0.25,0.226095202432549,0.3759622114728067,0.10397672653198242,160,0.007468976690464313,0.37010000000000004,0.5182754993438721,0.013331188163270946,0.3715,1.2798633575439453,0.01193118816327099,0.384,2.5702900886535645,0.0005688118367290218
1000,1000,2,2000,0.3171403763869367,0.25,0.8449881373583452,0.31159474145634064,0.19632315635681152,132,0.005545634930596066,0.3149,2.080892324447632,0.0022403763869366933,0.3259,3.8145453929901123,0.008759623613063316,0.318,7.646733999252319,0.0008596236130632984
100,100,4,400,0.2337750265326698,0.25,0.5262296648916304,0.23076351345389448,0.24985814094543457,500,0.003011513078775313,0.2477,0.3371303081512451,0.01392497346733021,0.2432,0.8381450176239014,0.009424973467330205,0.24980000000000002,1.684152364730835,0.016024973467330228
100,316,4,1264,0.3334712715969876,0.25,0.5006195729230891,0.32203596119804956,0.35776710510253906,500,0.011435310398938026,0.33490000000000003,0.7357251644134521,0.001428728403012447,0.3247,1.8378608226776123,0.008771271596987595,0.3252,3.6770265102386475,0.008271271596987595
100,1000,4,4000,0.22668871326109918,0.25,0.12684290344384008,0.22519066484537495,0.5341057777404785,500,0.0014980484157242346,0.2175,2.470123291015625,0.009188713261099185,0.23820000000000002,6.18095326423645,0.011511286738900839,0.2222,12.9075288772583,0.004488713261099175
316,100,4,400,0.26285579567070483,0.25,0.18615566973666398,0.25901601132007623,0.2524886131286621,500,0.0038397843506285945,0.2399,0.3445708751678467,0.022955795670704826,0.2464,0.8403267860412598,0.01645579567070482,0.25120000000000003,1.6750545501708984,0.011655795670704794
316,316,4,1264,0.32928402077918095,0.25,0.4718190627375968,0.33181059813861863,0.07738065719604492,120,0.002526577359437676,0.3438,0.7424411773681641,0.014515979220819042,0.30560000000000004,1.8404991626739502,0.023684020779180914,0.34850000000000003,3.7013444900512695,0.01921597922081908
316,1000,4,4000,0.09059769097693082,0.25,0.49091220891262866,0.08901566899536004,0.25015997886657715,252,0.0015820219815707859,0.10360000000000001,2.4873557090759277,0.013002309023069189,0.14,6.213798999786377,0.04940230902306919,0.1061,12.972316026687622,0.015502309023069177
1000,100,4,400,0.39402477558615356,0.25,0.13290623766182708,0.40435161275299936,0.10475325584411621,205,0.010326837166845793,0.3764,0.3385739326477051,0.01762477558615355,0.3945,0.8480219841003418,0.0004752244138464534,0.40950000000000003,1.6873388290405273,0.015475224413846467
1000,316,4,1264,0.30143266876919866,0.25,0.28346243242805713,0.2999922263350193,0.08003687858581543,122,0.0014404424341793454,0.4071,0.7408173084259033,0.10566733123080135,0.3062,1.8550288677215576,0.004767331230801364,0.3259,3.7088522911071777,0.02446733123080136
1000,1000,4,4000,0.4901664425686639,0.25,0.400320587141728,0.47655091417992296,0.36073946952819824,273,0.013615528388740916,0.4702,2.4972527027130127,0.019966442568663867,0.4902,6.248694181442261,3.3557431336150856e-05,0.49060000000000004,13.041705131530762,0.0004335574313361623
100,100,8,800,0.11119159676558787,0.25,0.6647768985107549,0.11195174586425563,0.1006019115447998,201,0.0007601490986677562,0.1411,0.4600555896759033,0.02990840323441213,0.1097,1.1484460830688477,0.0014915967655878687,0.1155,2.3035106658935547,0.004308403234412131
100,316,8,2528,0.23313323708328676,0.25,0.22053671573847866,0.23048400446457445,0.3587758541107178,500,0.002649232618712305,0.254,1.175020456314087,0.020866762916713244,0.2543,2.924894332885742,0.021166762916713266,0.2569,6.386229991912842,0.023766762916713258
100,1000,8,8000,0.4478209012997233,0.25,0.07866190169377796,0.4473780913887445,0.2951643466949463,240,0.00044280991097878086,0.4657,4.379334449768066,0.017879098700276708,0.46240000000000003,11.479167938232422,0.014579098700276738,0.465,23.514954090118408,0.01717909870027673
316,100,8,800,0.30071670484939406,0.25,0.41994825440192907,0.30347341960319635,0.062435150146484375,122,0.002756714753802292,0.2636,0.4631662368774414,0.037116704849394055,0.26430000000000003,1.1464440822601318,0.03641670484939402,0.261,2.312110185623169,0.03971670484939405
316,316,8,2528,0.3629794229244075,0.25,0.47688826126763934,0.3465494355977515,0.1167764663696289,135,0.016429987326656015,0.33530000000000004,1.1994836330413818,0.02767942292440745,0.33640000000000003,2.935851573944092,0.02657942292440746,0.3331,6.451672554016113,0.029879422924407484
316,1000,8,8000,0.20683508210068013,0.25,0.17983469180526887,0.2021117085886212,0.16770291328430176,119,0.004723373512058926,0.21030000000000001,4.409890413284302,0.0034649178993198804,0.19260000000000002,12.11013126373291,0.014235082100680113,0.20600000000000002,23.24099040031433,0.0008350821006801179
1000,100,8,800,0.3421548109156599,0.25,0.8573003334512307,0.3482222517472,0.06917881965637207,134,0.006067440831540094,0.2929,0.46335816383361816,0.04925481091565992,0.3589,1.1564545631408691,0.016745189084340084,0.35860000000000003,2.3127996921539307,0.016445189084340117
1000,316,8,2528,0.4730275149237816,0.25,0.5388540114386152,0.46101229288333606,0.22443366050720215,263,0.012015222040445528,0.4984,1.1817090511322021,0.02537248507621842,0.48760000000000003,2.9476821422576904,0.014572485076218444,0.4889,6.460608959197998,0.015872485076218412
1000,1000,8,8000,0.10009303286966104,0.25,0.059245516117924585,0.10147352429553334,0.2913193702697754,221,0.0013804914258723072,0.14400000000000002,4.439380645751953,0.04390696713033898,0.1047,11.64644479751587,0.004606967130338965,0.1061,23.9025137424469,0.006006967130338964
100,100,16,1600,0.4036826319386602,0.25,0.92572053533626,0.40660008386524604,0.13837122917175293,208,0.0029174519265858234,0.39,0.9007568359375,0.013682631938660206,0.4142,1.7975668907165527,0.010517368061339794,0.4116,3.5940847396850586,0.007917368061339802
100,316,16,5056,0.4847690060499482,0.25,0.3090171679888315,0.48951215845955337,0.29358506202697754,328,0.004743152409605156,0.49560000000000004,2.643462657928467,0.010830993950051826,0.4717,5.332916021347046,0.013069006049948206,0.48150000000000004,11.119457721710205,0.0032690060499481755
100,1000,16,16000,0.007284365881665866,0.25,0.03842268505348054,0.033634269589554545,0.45847535133361816,423,0.02634990370788868,0.0317,9.710793256759644,0.024415634118334133,0.0014,24.15783190727234,0.005884365881665866,0.026500000000000003,46.70652747154236,0.019215634118334136
316,100,16,1600,0.10760479329721379,0.25,0.3049656416420632,0.11362099660400203,0.10553646087646484,205,0.006016203306788245,0.1378,0.9295353889465332,0.03019520670278622,0.13090000000000002,1.9397621154785156,0.02329520670278623,0.1401,3.708730459213257,0.03249520670278622
316,316,16,5056,0.05868846015656487,0.25,0.3485634171000414,0.06287041149648785,0.20587921142578125,320,0.004181951339922982,0.09720000000000001,2.140685558319092,0.03851153984343514,0.024800000000000003,6.004441022872925,0.03388846015656487,0.061700000000000005,10.8997962474823,0.003011539843435135
316,1000,16,16000,0.3837117588707266,0.25,0.01575981004964981,0.38172406203730375,0.23951387405395508,172,0.0019876968334228695,0.38420000000000004,8.951273918151855,0.00048824112927342567,0.3861,23.682819843292236,0.002388241129273383,0.3922,46.671602725982666,0.008488241129273377
1000,100,16,1600,0.040608292971366644,0.25,0.6334608342357256,0.05122502009861453,0.18757128715515137,360,0.010616727127247885,0.0521,0.735964298248291,0.011491707028633356,0.13390000000000002,1.8596272468566895,0.09329170702863337,0.0889,3.706434488296509,0.04829170702863336
1000,316,16,5056,0.49920677929545376,0.25,0.10985472012398109,0.4832459225559409,0.24541902542114258,278,0.015960856739512863,0.38580000000000003,2.091418981552124,0.11340677929545373,0.4932,5.7892327308654785,0.006006779295453735,0.48750000000000004,11.265588998794556,0.011706779295453718
1000,1000,16,16000,0.19480600793965258,0.25,0.10340004064241327,0.19289918346187562,0.20860624313354492,130,0.0019068244777769583,0.1602,10.1551992893219,0.03460600793965257,0.2126,24.055091857910156,0.01779399206034743,0.2104,47.50685381889343,0.015593992060347422
100,100,32,3200,0.4526013829665202,0.25,0.22782715472243018,0.45253321049714834,0.16992998123168945,254,6.817246937185217e-05,0.4364,1.7368884086608887,0.016201382966520184,0.48350000000000004,2.9483675956726074,0.030898617033479847,0.4087,5.859618663787842,0.043901382966520186
100,316,32,10112,0.09428880174973392,0.25,0.14504867374779154,0.10057014190753132,0.263411283493042,341,0.0062813401577973965,0.1637,4.355757713317871,0.06941119825026609,0.13190000000000002,10.49571967124939,0.0376111982502661,0.1739,20.9529230594635,0.07961119825026608
100,1000,32,32000,0.22043609991114543,0.25,0.012026118150858675,0.21971662142538767,0.17122459411621094,117,0.000719478485757763,0.18610000000000002,18.479848384857178,0.03433609991114542,0.2501,45.52841830253601,0.029663900088854556,0.2503,91.64811778068542,0.02986390008885459
316,100,32,3200,0.42240590950310175,0.25,0.30090368596296213,0.41705630209548833,0.138777494430542,206,0.0053496074076134215,0.38920000000000005,1.193941593170166,0.033205909503101705,0.4147,2.937645435333252,0.007705909503101738,0.41390000000000005,6.402795791625977,0.008505909503101705
316,316,32,10112,0.2976348903366281,0.25,0.15893881060740253,0.2948672777618468,0.34708309173583984,439,0.0027676125747813085,0.2975,3.8538804054260254,0.0001348903366281129,0.2962,10.516686201095581,0.0014348903366280807,0.2904,21.58140754699707,0.007234890336628108
316,1000,32,32000,0.23107904834567855,0.25,0.024811763229523373,0.22956266414398827,0.5923986434936523,500,0.001516384201690285,0.20550000000000002,18.066340923309326,0.025579048345678534,0.2424,46.34339261054993,0.011320951654321454,0.2363,91.51106858253479,0.00522095165432146
1000,100,32,3200,0.2563248733785588,0.25,0.10098377491005617,0.2530687215754186,0.29886889457702637,500,0.003256151803140206,0.2571,1.1895134449005127,0.0007751266214411912,0.28850000000000003,2.962189197540283,0.03217512662144123,0.24630000000000002,6.460551977157593,0.010024873378558785
1000,316,32,10112,0.2869427634461737,0.25,0.12835882568209006,0.28704024757581414,0.12361454963684082,135,9.748412964044606e-05,0.2702,3.8873488903045654,0.016742763446173703,0.2726,10.60360860824585,0.01434276344617369,0.2732,21.244168281555176,0.0137427634461737
1000,1000,32,32000,0.2201596037927966,0.25,0.04708286286839952,0.22006766127312286,0.18022465705871582,114,9.194251967373224e-05,0.23370000000000002,18.624335765838623,0.013540396207203431,0.2013,46.62895703315735,0.01885960379279658,0.20370000000000002,92.1014335155487,0.016459603792796568
100,100,1,100,0.09677947886190524,0.25,0.2801926353730937,0.07633468083387522,0.13994216918945312,284,0.020444798028030023,0.07400000000000001,0.24808192253112793,0.022779478861905234,0.08610000000000001,0.622107744216919,0.010679478861905234,0.0876,1.23111891746521,0.009179478861905246
100,316,1,316,0.05698288072959318,0.25,0.45136186123240163,0.07245540132491174,0.1744687557220459,286,0.015472520595318562,0.0694,0.4012327194213867,0.012417119270406826,0.0613,0.9950661659240723,0.004317119270406823,0.055200000000000006,1.9753568172454834,0.0017828807295931712
100,1000,1,1000,0.075613963685074,0.25,0.9004489123860653,0.08035371601343448,0.2514822483062744,266,0.0047397523283604776,0.08120000000000001,1.025364875793457,0.0055860363149260045,0.07830000000000001,2.5658342838287354,0.0026860363149260047,0.07930000000000001,5.137126445770264,0.0036860363149260056
316,100,1,100,0.02624548192656695,0.25,0.8719856311909184,0.040457454528804324,0.1956777572631836,392,0.014211972602237374,0.0261,0.2469043731689453,0.00014548192656694756,0.0327,0.6241466999053955,0.006454518073433051,0.0323,1.231058120727539,0.006054518073433053
316,316,1,316,0.27933820553181576,0.25,0.7071876097841823,0.2675550487458333,0.3157918453216553,500,0.011783156785982463,0.2791,0.3955576419830322,0.00023820553181574944,0.2771,0.9955551624298096,0.002238205531815751,0.2632,1.9792847633361816,0.016138205531815775
316,1000,1,1000,0.4238605070180053,0.25,0.5909005994904067,0.41723907498239654,0.27045297622680664,218,0.006621432035608776,0.42960000000000004,1.0354812145233154,0.0057394929819947205,0.42400000000000004,2.580094575881958,0.0001394929819947266,0.4194,5.165985584259033,0.004460507018005322
1000,100,1,100,0.17955966946205537,0.25,0.8173822703971256,0.18602199574776576,0.0649716854095459,128,0.00646232628571039,0.18480000000000002,0.24822282791137695,0.0052403305379446485,0.1869,0.6233062744140625,0.007340330537944639,0.18680000000000002,1.2374546527862549,0.00724033053794465
1000,316,1,316,0.03765543631790891,0.25,0.907644646099839,0.04358478289304634,0.2444608211517334,384,0.005929346575137433,0.045200000000000004,0.39620018005371094,0.007544563682091096,0.0328,0.9962701797485352,0.004855436317908905,0.039,1.9847333431243896,0.001344563682091092
1000,1000,1,1000,0.21286220599255812,0.25,0.0025075596679231538,0.20525257337974315,0.12053322792053223,114,0.0076096326128149705,0.2031,1.0365712642669678,0.009762205992558115,0.2051,2.5841524600982666,0.007762205992558113,0.20950000000000002,5.162978172302246,0.0033622059925580983
100,100,2,200,0.30100391923600067,0.25,0.39722776623376177,0.29683817787360456,0.2475740909576416,500,0.004165741362396114,0.2731,0.2773933410644531,0.027903919236000663,0.2692,0.6980373859405518,0.03180391923600068,0.2706,1.3849279880523682,0.030403919236000665
