,epsilon,distance_epsilon,mu,distance_mu,sum_ab,evidences_per_t,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
57,0.06330000000000001,0.0667,0.37,0.3899999999999999,1.0,40,31.844059467315674,0.13,0.7599999999999999,100,100,8,1,200
58,0.4879,0.07789999999999997,0.52,0.1600000000000001,1.0,10,38.009607791900635,0.41000000000000003,0.35999999999999993,100,100,8,1,200
59,0.1497,0.019699999999999995,0.76,1.1102230246251565e-16,0.1,10,42.87259793281555,0.13,0.7599999999999999,100,100,4,1,200
60,0.2821,0.0479,0.97,0.69,0.1,20,33.80955648422241,0.33,0.27999999999999997,100,100,1,1,200
61,0.46180000000000004,0.011800000000000033,0.79,0.67,10.0,40,44.08616256713867,0.45,0.12,100,100,16,1,200
62,0.1701,0.0401,0.29,0.09,10.0,40,38.534669160842896,0.13,0.19999999999999998,100,100,1,1,200
63,0.38330000000000003,0.013300000000000034,0.78,0.5,1.0,20,39.034045457839966,0.37,0.27999999999999997,100,100,16,1,200
64,0.0651,0.015100000000000002,0.77,0.01000000000000012,10.0,20,41.444995641708374,0.05,0.7599999999999999,100,100,4,1,200
65,0.229,0.01899999999999999,0.2,0.3199999999999999,1.0,5,30.580509662628174,0.21000000000000002,0.5199999999999999,100,100,1,1,200
66,0.40080000000000005,0.009199999999999986,0.85,0.25,1.0,40,42.06705927848816,0.41000000000000003,0.6,100,100,8,1,200
67,0.1164,0.10640000000000001,0.8,0.04000000000000015,10.0,20,39.71484732627869,0.01,0.7599999999999999,100,100,8,1,200
68,0.2142,0.07580000000000003,0.9500000000000001,0.8300000000000001,10.0,20,35.88242721557617,0.29000000000000004,0.12,100,100,16,1,200
69,0.2975,0.08749999999999997,0.02,0.4199999999999999,1.0,5,56.265920639038086,0.21000000000000002,0.4399999999999999,100,100,8,1,200
70,0.1429,0.012899999999999995,0.8,0.04000000000000015,0.1,5,33.317859411239624,0.13,0.7599999999999999,100,100,1,1,200
71,0.11470000000000001,0.0553,0.44,0.08000000000000007,10.0,40,35.975828409194946,0.17,0.35999999999999993,100,100,1,1,200
72,0.49920000000000003,0.04920000000000002,0.49,0.18999999999999995,10.0,10,30.810859441757202,0.45,0.6799999999999999,100,100,1,1,200
73,0.058100000000000006,0.03189999999999999,0.59,0.2499999999999999,0.1,20,40.19902300834656,0.09,0.8399999999999999,100,100,4,1,200
74,0.1268,0.0032000000000000084,0.47000000000000003,0.04999999999999988,10.0,40,40.15923738479614,0.13,0.5199999999999999,100,100,8,1,200
75,0.0183,0.0083,0.09,0.10999999999999999,10.0,5,36.50998306274414,0.01,0.19999999999999998,100,100,8,1,200
76,0.4665,0.016500000000000015,0.26,0.2599999999999999,1.0,20,35.851555585861206,0.45,0.5199999999999999,100,100,4,1,200
77,0.0597,0.0497,0.35000000000000003,0.31000000000000005,1.0,40,39.86219120025635,0.01,0.04,100,100,8,1,200
78,0.4853,0.0353,0.16,0.7599999999999999,1.0,20,33.047945976257324,0.45,0.9199999999999999,100,100,1,1,200
79,0.0077,0.0823,0.44,0.24000000000000002,10.0,20,35.78590989112854,0.09,0.19999999999999998,100,100,8,1,200
80,0.0485,0.0385,0.25,0.5899999999999999,0.1,5,33.85969591140747,0.01,0.8399999999999999,100,100,16,1,200
81,0.1553,0.054700000000000026,0.59,0.08999999999999997,0.1,10,42.77476382255554,0.21000000000000002,0.6799999999999999,100,100,8,1,200
82,0.46380000000000005,0.053800000000000014,0.07,0.7699999999999998,10.0,5,41.41476583480835,0.41000000000000003,0.8399999999999999,100,100,16,1,200
83,0.08700000000000001,0.002999999999999989,0.97,0.77,10.0,10,42.05014729499817,0.09,0.19999999999999998,100,100,8,1,200
84,0.1995,0.14950000000000002,0.64,0.040000000000000036,10.0,10,44.40443134307861,0.05,0.6,100,100,8,1,200
85,0.0848,0.005199999999999996,0.2,0.39999999999999997,10.0,10,35.795275926589966,0.09,0.6,100,100,4,1,200
86,0.3561,0.0539,0.65,0.53,0.1,5,42.557708978652954,0.41000000000000003,0.12,100,100,8,1,200
87,0.10070000000000001,0.010700000000000015,0.89,0.53,1.0,40,44.73664927482605,0.09,0.35999999999999993,100,100,4,1,200
88,0.0196,0.1104,0.55,0.11000000000000015,10.0,40,46.68719124794006,0.13,0.4399999999999999,100,100,8,1,200
89,0.3115,0.021499999999999964,0.91,0.2300000000000001,10.0,5,60.515833139419556,0.29000000000000004,0.6799999999999999,100,100,16,1,200
90,0.1153,0.09470000000000002,0.32,0.040000000000000036,10.0,20,64.08293414115906,0.21000000000000002,0.27999999999999997,100,100,4,1,200
91,0.29510000000000003,0.005099999999999993,0.66,0.09999999999999987,1.0,20,48.044153928756714,0.29000000000000004,0.7599999999999999,100,100,16,1,200
92,0.47500000000000003,0.065,0.91,0.79,10.0,20,39.50238823890686,0.41000000000000003,0.12,100,100,4,1,200
93,0.3778,0.04780000000000001,0.7000000000000001,0.02000000000000013,1.0,20,37.23321485519409,0.33,0.6799999999999999,100,100,4,1,200
94,0.1012,0.1488,0.7000000000000001,0.02000000000000013,10.0,20,41.38513994216919,0.25,0.6799999999999999,100,100,16,1,200
95,0.31170000000000003,0.13829999999999998,0.92,1.1102230246251565e-16,0.1,10,40.884570598602295,0.45,0.9199999999999999,100,100,16,1,200
96,0.47500000000000003,0.10500000000000004,0.87,0.4300000000000001,10.0,10,39.81433391571045,0.37,0.4399999999999999,100,100,16,1,200
97,0.2265,0.023499999999999993,0.28,5.551115123125783e-17,0.1,40,34.36088752746582,0.25,0.27999999999999997,100,100,8,1,200
98,0.34340000000000004,0.026599999999999957,0.93,0.81,1.0,10,37.618035078048706,0.37,0.12,100,100,8,1,200
99,0.0183,0.0083,0.34,0.019999999999999907,0.1,10,36.270427942276,0.01,0.35999999999999993,100,100,1,1,200
100,0.1904,0.059599999999999986,0.34,0.25999999999999995,10.0,10,31.544276475906372,0.25,0.6,100,100,1,1,200
101,0.0322,0.017800000000000003,0.97,0.21000000000000008,10.0,5,41.12819957733154,0.05,0.7599999999999999,100,100,8,1,200
102,0.1369,0.07310000000000003,0.96,0.040000000000000036,0.1,20,37.78900480270386,0.21000000000000002,0.9199999999999999,100,100,4,1,200
103,0.3634,0.006599999999999995,0.66,0.54,1.0,20,37.9033420085907,0.37,0.12,100,100,8,1,200
104,0.38620000000000004,0.023799999999999988,0.23,0.44999999999999996,10.0,20,37.714925050735474,0.41000000000000003,0.6799999999999999,100,100,16,1,200
105,0.2721,0.06209999999999999,0.01,0.8299999999999998,10.0,40,42.64280366897583,0.21000000000000002,0.8399999999999999,100,100,4,1,200
106,0.0692,0.0208,0.68,0.56,10.0,5,39.65672063827515,0.09,0.12,100,100,16,1,200
107,0.3891,0.059099999999999986,0.9,0.30000000000000004,1.0,20,37.56234121322632,0.33,0.6,100,100,8,1,200
108,0.0227,0.1073,0.99,0.71,10.0,40,39.403398513793945,0.13,0.27999999999999997,100,100,16,1,200
109,0.20720000000000002,0.002799999999999997,0.17,0.7499999999999999,1.0,40,41.681896924972534,0.21000000000000002,0.9199999999999999,100,100,4,1,200
110,0.4975,0.08749999999999997,0.6900000000000001,0.22999999999999987,1.0,5,29.465405702590942,0.41000000000000003,0.9199999999999999,100,100,1,1,200
111,0.4021,0.007900000000000018,0.88,0.4400000000000001,0.1,40,38.078760623931885,0.41000000000000003,0.4399999999999999,100,100,1,1,200
112,0.309,0.01899999999999996,0.19,0.73,1.0,40,32.06825876235962,0.29000000000000004,0.9199999999999999,100,100,1,1,200
113,0.0196,0.0096,0.8300000000000001,0.15000000000000013,1.0,10,36.63648772239685,0.01,0.6799999999999999,100,100,16,1,200
114,0.20220000000000002,0.007800000000000001,0.46,0.02000000000000013,0.1,40,41.000826597213745,0.21000000000000002,0.4399999999999999,100,100,4,1,200
