N,evidences_per_t,edge_per_t,T,epsilon_estimated,time,num_epochs,real_epsilon,mu,rho,distance_epsilon,early_stopping
100,8,1,256,0.48322471719864135,5.756665945053101,201,0.4757460355536409,0.3989502975740736,16,0.007478681645000429,201
100,8,4,16,0.4958054088204633,0.41820621490478516,201,0.4757460355536409,0.3989502975740736,16,0.02005937326682239,201
100,8,4,32,0.4632651983814297,0.7276120185852051,201,0.4757460355536409,0.3989502975740736,16,0.012480837172211212,201
100,8,4,64,0.5284893501603382,1.3154706954956055,201,0.4757460355536409,0.3989502975740736,16,0.052743314606697234,201
100,8,4,128,0.485938988100296,2.5095765590667725,201,0.4757460355536409,0.3989502975740736,16,0.010192952546655087,201
100,8,4,256,0.4768583550084306,5.625399351119995,201,0.4757460355536409,0.3989502975740736,16,0.0011123194547896786,201
100,8,16,16,0.4669241464692149,0.40137767791748047,201,0.4757460355536409,0.3989502975740736,16,0.008821889084426049,201
100,8,16,32,0.4611007554223664,0.7373490333557129,201,0.4757460355536409,0.3989502975740736,16,0.01464528013127453,201
100,8,16,64,0.4923598385381378,1.3666844367980957,201,0.4757460355536409,0.3989502975740736,16,0.016613802984496884,201
100,8,16,128,0.46459558965569636,2.5145692825317383,201,0.4757460355536409,0.3989502975740736,16,0.011150445897944561,201
100,8,16,256,0.4649899901492677,5.67795467376709,201,0.4757460355536409,0.3989502975740736,16,0.010756045404373249,201
100,8,64,16,0.47139308803259267,0.40291643142700195,201,0.4757460355536409,0.3989502975740736,16,0.004352947521048256,201
100,8,64,32,0.4637668238179109,0.7402710914611816,201,0.4757460355536409,0.3989502975740736,16,0.011979211735730022,201
100,8,64,64,0.4796950340899195,1.3723444938659668,201,0.4757460355536409,0.3989502975740736,16,0.0039489985362785585,201
100,8,64,128,0.48106386797292805,2.5326337814331055,201,0.4757460355536409,0.3989502975740736,16,0.005317832419287127,201
100,8,64,256,0.4693554669847243,5.669916868209839,201,0.4757460355536409,0.3989502975740736,16,0.006390568568916621,201
100,8,1,16,0.02830313850548179,0.41800880432128906,201,0.07162593102657355,0.26583135157100607,16,0.043322792521091766,201
100,8,1,32,0.028644175731550446,0.7409398555755615,201,0.07162593102657355,0.26583135157100607,16,0.04298175529502311,201
100,8,1,64,0.11189255085008454,1.2902288436889648,201,0.07162593102657355,0.26583135157100607,16,0.040266619823510985,201
100,8,1,128,0.08192853845108984,2.4919395446777344,201,0.07162593102657355,0.26583135157100607,16,0.010302607424516289,201
100,8,1,256,0.08466810018648864,5.744644403457642,201,0.07162593102657355,0.26583135157100607,16,0.013042169159915087,201
100,8,4,16,0.05986752820442383,0.41528844833374023,201,0.07162593102657355,0.26583135157100607,16,0.011758402822149724,201
100,8,4,32,0.08591677320214836,0.7425460815429688,201,0.07162593102657355,0.26583135157100607,16,0.014290842175574803,201
100,8,4,64,0.0912364621550695,1.3707492351531982,201,0.07162593102657355,0.26583135157100607,16,0.01961053112849595,201
100,8,4,128,0.06684784657925855,2.549909830093384,201,0.07162593102657355,0.26583135157100607,16,0.004778084447315006,201
100,8,4,256,0.07632714852588132,5.721855640411377,201,0.07162593102657355,0.26583135157100607,16,0.004701217499307769,201
100,8,16,16,0.0629756967932717,0.3822472095489502,201,0.07162593102657355,0.26583135157100607,16,0.008650234233301857,201
100,8,16,32,0.054688094180618964,0.7191123962402344,201,0.07162593102657355,0.26583135157100607,16,0.01693783684595459,201
100,8,16,64,0.07018354762921353,1.331007957458496,201,0.07162593102657355,0.26583135157100607,16,0.0014423833973600253,201
100,8,16,128,0.07682596726071711,2.5514392852783203,201,0.07162593102657355,0.26583135157100607,16,0.005200036234143557,201
100,8,16,256,0.06727920295979292,5.842209100723267,201,0.07162593102657355,0.26583135157100607,16,0.004346728066780631,201
100,8,64,16,0.05544796128950451,0.3933701515197754,201,0.07162593102657355,0.26583135157100607,16,0.016177969737069045,201
100,8,64,32,0.08238279572843739,0.6996603012084961,201,0.07162593102657355,0.26583135157100607,16,0.010756864701863836,201
100,8,64,64,0.07962493902655544,1.3440678119659424,201,0.07162593102657355,0.26583135157100607,16,0.007999007999981891,201
100,8,64,128,0.07037431172833448,2.608128070831299,201,0.07162593102657355,0.26583135157100607,16,0.0012516192982390678,201
