N,T,edge_per_t,evidences_per_t,optimizer_name,num_epochs,lr,model_name,minibatch_size,epsilon_estimated,time,real_epsilon,mu,rho,distance_epsilon,X0_r2,early_stopping,max_epochs
100,64,16,8,adam,401,0.0001,BC_with_evidence,16,0.24284363895924832,34.63508319854736,0.0797605053747168,0.2816593051486279,16,0.16308313358453153,-1.3108484745025635,401,401
100,64,16,8,adam,401,0.0001,BC_with_evidence,32,0.24285736753721238,33.329350233078,0.0797605053747168,0.2816593051486279,16,0.16309686216249558,-0.9129164218902588,401,401
100,64,16,8,adam,401,0.0001,BC_observed_positive,0,0.24265728663128766,2.7599728107452393,0.0797605053747168,0.2816593051486279,16,0.16289678125657087,,401,401
100,64,16,8,adam,401,0.0001,BC_observed_positive,16,0.24266224571201198,2.7075774669647217,0.0797605053747168,0.2816593051486279,16,0.16290174033729518,,401,401
100,64,16,8,adam,401,0.0001,BC_observed_positive,32,0.24264297793646644,2.7829670906066895,0.0797605053747168,0.2816593051486279,16,0.16288247256174965,,401,401
100,64,16,8,adam,401,0.0005,simple_BC,0,0.2166580165228241,0.16362905502319336,0.0797605053747168,0.2816593051486279,16,0.1368975111481073,,401,401
100,64,16,8,adam,401,0.0005,simple_BC,16,0.21764197344039946,0.17587995529174805,0.0797605053747168,0.2816593051486279,16,0.13788146806568266,,401,401
100,64,16,8,adam,401,0.0005,simple_BC,32,0.2177021118071576,0.22490310668945312,0.0797605053747168,0.2816593051486279,16,0.1379416064324408,,401,401
100,64,16,8,adam,401,0.0005,BC_with_evidence,0,0.2167175182138818,32.14399766921997,0.0797605053747168,0.2816593051486279,16,0.136957012839165,-1.1692070960998535,401,401
100,64,16,8,adam,401,0.0005,BC_with_evidence,16,0.21959399058526352,31.978374242782593,0.0797605053747168,0.2816593051486279,16,0.13983348521054673,-1.206716537475586,401,401
100,64,16,8,adam,401,0.0005,BC_with_evidence,32,0.22010487236793455,31.930740118026733,0.0797605053747168,0.2816593051486279,16,0.14034436699321776,-1.2032887935638428,401,401
100,64,16,8,adam,401,0.0005,BC_observed_positive,0,0.21620605359654732,2.7004332542419434,0.0797605053747168,0.2816593051486279,16,0.13644554822183053,,401,401
100,64,16,8,adam,401,0.0005,BC_observed_positive,16,0.21635420520730952,2.7904953956604004,0.0797605053747168,0.2816593051486279,16,0.13659369983259273,,401,401
100,64,16,8,adam,401,0.0005,BC_observed_positive,32,0.21636017906434832,2.7707724571228027,0.0797605053747168,0.2816593051486279,16,0.13659967368963152,,401,401
