N,T,edge_per_t,evidences_per_t,optimizer_name,lr,model_name,minibatch_size,epsilon_estimated,time,num_epochs,X0_r2,real_epsilon,mu,rho,distance_epsilon
100,64,16,8,adagrad,0.05,simple_BC,64,0.28227239117404945,0.01620793342590332,47,,0.27937964383820185,0.0819367168762507,16,0.002892747335847601
100,64,16,8,adagrad,0.05,BC_with_evidence,0,0.15726098829455165,55.61536908149719,801,-0.21173834800720215,0.27937964383820185,0.0819367168762507,16,0.1221186555436502
100,64,16,8,adagrad,0.05,BC_with_evidence,16,0.2301142984457822,70.84820437431335,801,-0.8633897304534912,0.27937964383820185,0.0819367168762507,16,0.04926534539241964
100,64,16,8,adagrad,0.05,BC_with_evidence,32,0.20994146745677256,61.972931146621704,801,-0.9208593368530273,0.27937964383820185,0.0819367168762507,16,0.0694381763814293
100,64,16,8,adagrad,0.05,BC_with_evidence,64,0.10611745296713401,60.93204116821289,801,-0.9981722831726074,0.27937964383820185,0.0819367168762507,16,0.17326219087106784
100,64,16,8,adagrad,0.05,BC_observed_positive,0,0.287540145931999,5.4459686279296875,801,,0.27937964383820185,0.0819367168762507,16,0.00816050209379715
100,64,16,8,adagrad,0.05,BC_observed_positive,16,0.28604102679052024,5.424103260040283,801,,0.27937964383820185,0.0819367168762507,16,0.006661382952318384
100,64,16,8,adagrad,0.05,BC_observed_positive,32,0.28614005302964807,5.415226221084595,801,,0.27937964383820185,0.0819367168762507,16,0.006760409191446215
100,64,16,8,adagrad,0.05,BC_observed_positive,64,0.28665101633212736,5.448034763336182,801,,0.27937964383820185,0.0819367168762507,16,0.00727137249392551
100,64,16,8,adagrad,0.1,simple_BC,0,0.2822726872225054,0.016192913055419922,42,,0.27937964383820185,0.0819367168762507,16,0.002893043384303573
100,64,16,8,adagrad,0.1,simple_BC,16,0.2822726872225054,0.013262271881103516,42,,0.27937964383820185,0.0819367168762507,16,0.002893043384303573
100,64,16,8,adagrad,0.1,simple_BC,32,0.2822726872225054,0.013830184936523438,42,,0.27937964383820185,0.0819367168762507,16,0.002893043384303573
100,64,16,8,adagrad,0.1,simple_BC,64,0.2822726872225054,0.018286943435668945,42,,0.27937964383820185,0.0819367168762507,16,0.002893043384303573
100,64,16,8,adagrad,0.1,BC_with_evidence,0,0.0722356437896847,38.24804663658142,456,-13.329837799072266,0.27937964383820185,0.0819367168762507,16,0.20714400004851716
100,64,16,8,adagrad,0.1,BC_with_evidence,16,0.1862036829639782,61.88505959510803,801,-0.3358505964279175,0.27937964383820185,0.0819367168762507,16,0.09317596087422364
100,64,16,8,adagrad,0.1,BC_with_evidence,32,0.11564026386763077,69.28487753868103,801,-0.46703672409057617,0.27937964383820185,0.0819367168762507,16,0.1637393799705711
100,64,16,8,adagrad,0.1,BC_with_evidence,64,0.12885535101505635,62.59855127334595,801,-0.14460957050323486,0.27937964383820185,0.0819367168762507,16,0.1505242928231455
100,64,16,8,adagrad,0.1,BC_observed_positive,0,0.2844178766177653,5.422186613082886,801,,0.27937964383820185,0.0819367168762507,16,0.005038232779563445
100,64,16,8,adagrad,0.1,BC_observed_positive,16,0.28719215971233525,5.394730567932129,801,,0.27937964383820185,0.0819367168762507,16,0.007812515874133397
100,64,16,8,adagrad,0.1,BC_observed_positive,32,0.2864268112600943,5.441922187805176,801,,0.27937964383820185,0.0819367168762507,16,0.007047167421892431
100,64,16,8,adagrad,0.1,BC_observed_positive,64,0.28825633019799607,5.45973539352417,801,,0.27937964383820185,0.0819367168762507,16,0.008876686359794217
100,64,16,8,nadam,5e-05,simple_BC,0,0.25035291850599173,0.019808053970336914,42,,0.27937964383820185,0.0819367168762507,16,0.029026725332210124
100,64,16,8,nadam,5e-05,simple_BC,16,0.25035291850599173,0.020148277282714844,42,,0.27937964383820185,0.0819367168762507,16,0.029026725332210124
100,64,16,8,nadam,5e-05,simple_BC,32,0.25035291850599173,0.01724839210510254,42,,0.27937964383820185,0.0819367168762507,16,0.029026725332210124
100,64,16,8,nadam,5e-05,simple_BC,64,0.25035291850599173,0.014800071716308594,42,,0.27937964383820185,0.0819367168762507,16,0.029026725332210124
100,64,16,8,nadam,5e-05,BC_with_evidence,0,0.2496473156938954,3.7270989418029785,42,-1.0873780250549316,0.27937964383820185,0.0819367168762507,16,0.029732328144306458
100,64,16,8,nadam,5e-05,BC_with_evidence,16,0.24999125363136676,3.923741102218628,42,-0.9256280660629272,0.27937964383820185,0.0819367168762507,16,0.02938839020683509
100,64,16,8,nadam,5e-05,BC_with_evidence,32,0.24970295871516693,3.514909267425537,42,-0.9560410976409912,0.27937964383820185,0.0819367168762507,16,0.029676685123034924
100,64,16,8,nadam,5e-05,BC_with_evidence,64,0.24964837679486715,3.6481101512908936,42,-0.8399807214736938,0.27937964383820185,0.0819367168762507,16,0.029731267043334703
100,64,16,8,nadam,5e-05,BC_observed_positive,0,0.25034930880595624,0.2914597988128662,42,,0.27937964383820185,0.0819367168762507,16,0.029030335032245613
100,64,16,8,nadam,5e-05,BC_observed_positive,16,0.25052257995176547,0.4170234203338623,61,,0.27937964383820185,0.0819367168762507,16,0.028857063886436385
100,64,16,8,nadam,5e-05,BC_observed_positive,32,0.25035042741998703,0.2826550006866455,42,,0.27937964383820185,0.0819367168762507,16,0.02902921641821482
100,64,16,8,nadam,5e-05,BC_observed_positive,64,0.2503502605034551,0.2830321788787842,42,,0.27937964383820185,0.0819367168762507,16,0.02902938333474675
100,64,16,8,nadam,0.0001,simple_BC,0,0.26352008119829706,0.3420741558074951,801,,0.27937964383820185,0.0819367168762507,16,0.01585956263990479
100,64,16,8,nadam,0.0001,simple_BC,16,0.26352008119829706,0.33193063735961914,801,,0.27937964383820185,0.0819367168762507,16,0.01585956263990479
100,64,16,8,nadam,0.0001,simple_BC,32,0.26352008119829706,0.33444809913635254,801,,0.27937964383820185,0.0819367168762507,16,0.01585956263990479
100,64,16,8,nadam,0.0001,simple_BC,64,0.26352008119829706,0.3347911834716797,801,,0.27937964383820185,0.0819367168762507,16,0.01585956263990479
100,64,16,8,nadam,0.0001,BC_with_evidence,0,0.23682837962331313,70.14668083190918,801,-0.7555110454559326,0.27937964383820185,0.0819367168762507,16,0.04255126421488872
100,64,16,8,nadam,0.0001,BC_with_evidence,16,0.24143078958542555,57.12754249572754,801,-1.0767388343811035,0.27937964383820185,0.0819367168762507,16,0.037948854252776304
100,64,16,8,nadam,0.0001,BC_with_evidence,32,0.2556852481927032,67.13432621955872,801,-1.317411184310913,0.27937964383820185,0.0819367168762507,16,0.023694395645498634
100,64,16,8,nadam,0.0001,BC_with_evidence,64,0.23664262338076633,64.56885576248169,801,-0.7954739332199097,0.27937964383820185,0.0819367168762507,16,0.04273702045743552
100,64,16,8,nadam,0.0001,BC_observed_positive,0,0.26367357399805447,5.446822881698608,801,,0.27937964383820185,0.0819367168762507,16,0.015706069840147385
100,64,16,8,nadam,0.0001,BC_observed_positive,16,0.26362679970076675,5.510976791381836,801,,0.27937964383820185,0.0819367168762507,16,0.015752844137435107
100,64,16,8,nadam,0.0001,BC_observed_positive,32,0.26363196386842846,5.472288131713867,801,,0.27937964383820185,0.0819367168762507,16,0.015747679969773387
100,64,16,8,nadam,0.0001,BC_observed_positive,64,0.26369347387984704,5.4672441482543945,801,,0.27937964383820185,0.0819367168762507,16,0.015686169958354812
100,64,16,8,nadam,0.0005,simple_BC,0,0.28120284214745206,0.2711324691772461,645,,0.27937964383820185,0.0819367168762507,16,0.0018231983092502069
100,64,16,8,nadam,0.0005,simple_BC,16,0.28120284214745206,0.2743949890136719,645,,0.27937964383820185,0.0819367168762507,16,0.0018231983092502069
